"%s Item(s)","%s件の商品"
"(Shift-)Click or drag to change value","クリックまたはドラッグして価格変更"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","より速く実行されるようにこれ以上マウスボタンを押さないでください＊"
"- Use the %s, %s buttons to select year"," %s, %s ボタンで都市を選択 "
"- or Shift-click to decrease it"," Shift-clickで減らす＊"
"- or click and drag for faster selection.","またはクリックアンドドラッグでより迅速な選択を可能＊."
"-- Please Select --","-- 選択してください --"
"1 column","1カラム"
"2 columns with left bar","2カラム左ナビ付き"
"2 columns with right bar","2カラム右ナビ付き"
"3 columns","3カラム"
"About the calendar","カレンダーについて"
"Account","アカウント"
"All Pages","全てのページ"
"Allow","許可"
"Click <a href=""%s"">here</a> if nothing has happened","もし何も起こらない場合は <a href=""%s"">ここをクリック</a>してください。"
"Close","閉じる"
"Close Window","ウインドウを閉じる"
"DHTML Date/Time Selector","DHTML 日付/時間 選択"
"Date selection:","日付選択:"
"Default Description","初期説明"
"Default welcome msg!","標準のウェルカムメッセージ!"
"Display %s first","はじめに%sを表示"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL.  詳細は%sを参照"
"Drag to move","ドラッグして移動"
"Empty","空"
"For latest version visit: %s","最新のバージョンへ: %s"
"Go Today","今日へ"
"Help Us to Keep Magento Healthy","Magentoをよりよくするために私達に協力お願い致します。"
"Interface Language","言語"
"Items %s to %s of %s total","商品 %s から %s の %s 合計"
"JavaScript seems to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。"""
"Left Column","左カラム"
"Menu","メニュー"
"Next","次"
"Next month (hold for menu)","次月 (hold for menu)"
"Next year (hold for menu)","次年 (hold for menu)"
"Page:","ページ:"
"Prev. month (hold for menu)","前月(メニューに適用)"
"Prev. year (hold for menu)","前年 (メニューに適用)"
"Previous","前"
"Redirecting...","リダイレクトしています。。"
"Report All Bugs","バグを報告する"
"Right Column","右カラム"
"Search","検索"
"Select Store","ストア選択"
"Select date","日付選択"
"Show","表示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。実際に請求されることはありません。"
"Time selection:","時間選択:"
"Time:","時間:"
"View All","全て表示"
"Welcome, %s!","ようこそ、%s様!"
"Your Language","あなたの言語"
"Your Language:","あなたの言語:"
"per page","件"
