"10 minutes","10 分"
"15 minutes","15 分"
"20 minutes","20 分"
"30 minutes","30 分"
"5 minutes","5 分"
"Cron (Scheduled Tasks) - all the times are in minutes","クーロン (スケジュールタスク) - 分で全ての時間を示す"
"Daily","毎日"
"Failure History Lifetime","失敗履歴保持期間"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","クーロンが動作している間に生成される正確なＵＲＬサイトが作成されます > セキュアと非セキュアＵＲＬが決定されます。"
"Generate Schedules Every","スケジュール生成間隔"
"History Cleanup Every","履歴削除間隔"
"Hourly","1時間ごと"
"Invalid callback: %s::%s does not exist","無効な呼び戻し: %s::%s が存在しません"
"Invalid model/method definition, expecting ""model/class::method"".","無効な モデル/メソッドが定義されています。 期待する内容 ""model/class::method"""
"Minute Intervals","分間隔"
"Missed if Not Run Within","失敗しているか、処理中です。"
"Monthly","月次"
"No callbacks found","呼び戻さない"
"Schedule Ahead for","事前作成するスケジュール"
"Success History Lifetime","成功履歴保持期間"
"Unable to delete the cron task.","cronタスクを削除できません。"
"Weekly","週次"
