"Add Option","オプションを追加"
"Attempt to add an invalid object","正しくないオブジェクトの追加を試みる"
"Attribute Code","属性コード"
"Attribute Label","属性ラベル"
"Attribute Properties","属性のプロパティ"
"Attribute object is undefined","属性オブジェクトが未定義です"
"Attribute with the same code","同じコードの属性"
"Catalog Input Type for Store Owner","店舗管理者のカタログ入力形式"
"Data integrity: No header row found for attribute","データ整合性: 属性用のヘッダなしの行が見つかりました"
"Date","日付"
"Decimal Number","10進数"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","標準の商品リスト表示順は利用できる候補に存在していません。"
"Default Value","標準の値"
"Default option value is not defined","ディフォルトのオプション値は定義されていません"
"Delete","削除"
"Dropdown","ドロップダウン"
"Email","Eメール"
"Entity is not initialized","エンティティのインスタンスが未作成です"
"Entity object is undefined","エンティティオブジェクトが未定義です"
"Form Element with the same attribute","フォームの要素に同じ属性があります"
"Form Fieldset with the same code","フォームのフィールドセットに同じコードがあります"
"Form Type with the same code","フォームタイプと同じコードです"
"Frontend label is not defined","フロントエンドラベルは定義されていません"
"Input Validation for Store Owner","管理画面で値チェックを行う"
"Integer Number","自然数"
"Invalid alias, already exists in joint attributes","不正なエイリアスです。既に結合属性で定義されています"
"Invalid attribute name: %s","不正な属性名: %s"
"Invalid attribute requested: %s","不正な属性の要求: %s"
"Invalid attribute type","不正な属性タイプ"
"Invalid character encountered in increment ID: %s","インクリメントIDに不正な文字が含まれています: %s"
"Invalid date","不正な日付"
"Invalid entity specified","特定の不正な属性"
"Invalid entity supplied: %s","不正なエンティティが与えられました: %s"
"Invalid entity type","不正な要素タイプ"
"Invalid entity_type specified: %s","不正なエントリタイプです: %s"
"Invalid foreign key","不正な外部キー"
"Invalid joint fields","不正な結合フィールド"
"Invalid store specified","不正なストア特定"
"Joined field with this alias is already declared","別名をつけた結合フィールドはすでに定義されています"
"Joint field or attribute expression with this alias is already declared","結合フィールドか属性のエイリアスは既に定義されています"
"Letters","文字列"
"Letters (a-z, A-Z) or Numbers (0-9)","アルファベット(a-z, A-Z)または数字(0-9)"
"Loaded %d records","%dレコードを読み込みました。"
"Multiple Select","複数選択"
"No","いいえ"
"No options found in config node %s","コンフィグノード %sにオプションが見つかりません"
"None","なし"
"Not shared with other products","ほかの商品と共有されていません"
"Problem loading the collection, aborting. Error: %s","コレクション読み込み中に問題が発生したため中止しました。エラー: %s"
"Problem saving the collection, aborting. Error: %s","コレクションを保存中にエラーが発生しました: %s"
"Required","必須"
"System","システム"
"Text Area","テキストエリア"
"Text Field","テキストフィールド"
"Unique Value","一意な値"
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Unknown parameter","未知のパラメータ"
"Values Required","値が必要"
"Wrong attribute group ID","間違った属性グループID"
"Wrong attribute set ID","間違った属性セットID"
"Wrong entity ID","間違った要素ID"
"Yes","はい"
"Yes/No","はい/いいえ"
