"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s Item(s)","%s件の商品"
"(Copy data from: %s)","(コピーしています: %s)"
"* Required Fields","* 必須項目"
"-- Please Select --","-- 選択してください --"
"A group with the same name already exists.","同じ名前のグループが既に存在しています。"
"A name is required","名前が必要です。"
"A product type is not defined for the indexer.","商品種別はインデックス処理で未定義です。"
"ALL GROUPS","全てのグループ"
"Action","アクション"
"Actual Price","実価格"
"Add","追加"
"Add Attribute","属性の追加"
"Add Design Change","デザインの変更を追加"
"Add Group","グループの追加"
"Add New","新規作成"
"Add New Attribute","新しい属性を追加"
"Add New Attribute Set","新規属性の追加"
"Add New Group","新規グループの追加"
"Add New Images","新規画像の追加"
"Add New Option","オプションの追加"
"Add New Row","新しい行の追加"
"Add New Search Term","新しい検索キーワードを追加"
"Add New Set","新規セットの追加"
"Add Product","新規商品の追加"
"Add Product To Websites","商品をウェブサイトに追加"
"Add Root Category","ルートカテゴリを追加"
"Add Subcategory","サブカテゴリを追加"
"Add Tax","税を追加"
"Add Tier","新規階層の追加"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに入れる"
"Add to Wishlist","欲しい物リストに追加"
"Additional Information","追加情報"
"All","Default Category"
"All Product Types","全ての商品種別"
"All Websites","すべてのウェブサイト"
"All products","すべての商品"
"All products - recently added products, New products - products marked as new","すべての商品 - 最近登録した商品 - 新着商品"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","全ての商品からこのセットが削除されます！ この属性セットを削除してもよろしいですか？"
"Allow All Products per Page","全商品を1ページに表示させる"
"Amount","金額"
"Anchor Custom Text","アンカーカスタムテキスト"
"Anchor Custom Title","アンカーカスタムタイトル"
"Apply To","適用先"
"Approved","受付済"
"Are you sure you want to delete this category?","このカテゴリを削除してもよろしいですか？"
"Are you sure you would like to remove all products from your comparison?","本当に比較の中からすべての商品を取り除きますか?"
"Are you sure you would like to remove this item from the compare products?","この商品を比較対象リストから削除してもいいですか？"
"Are you sure?","よろしいですか？"
"As low as:","できるだけ低く:"
"Assign","割り当て"
"Assign product link","割り当てた商品のリンク"
"Assign product to category","商品をカテゴリに割り当て"
"Assigned Products","割り当て済み商品"
"Associated Products","紐付け済み商品"
"Attrib. Set Name","属性・セット名"
"Attribute Information","属性情報"
"Attribute Model","属性モデル"
"Attribute Name:","属性の名前:"
"Attribute Set","属性セット"
"Attribute Sets","属性セット"
"Attribute with the same code already exists","同じコードの属性が既に存在します。"
"Attributes","属性"
"Attrribute names can be specified per store.","属性名は店舗ごとに指定できます。"
"Autogenerate","自動生成"
"Availability:","在庫状況:"
"Back","戻る"
"Backend Model","バックエンドモデル"
"Backend Table","バックエンドテーブル"
"Backend Table Title","バックエンドテーブルタイトル"
"Backorders","バックオーダー"
"Based On","基準にするフォーム"
"Before Order Confirmation","注文確認前"
"Best Value","お買い得"
"Block after Info Column","情報列の後にブロックを配置する"
"Bottom/Left","下部/左"
"Bottom/Right","下部/右"
"Browse By","閲覧数"
"Bundle Items","セット商品"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s お買い上げごとに %2$s (税込み %3$s) "
"Buy %1$s for %2$s each","%1$s お買い上げごとに %2$s"
"Cache Lifetime (Seconds)","キャッシュ有効期間 (秒)"
"Can be used only with catalog input type Dropdown","カタログのドロップダウンとだけ一緒に使用できます"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ドロップダウンリストは複数選択または価格でのみ利用可能です"
"Cancel","キャンセル"
"Cart Item Attribute","カートアイテム属性"
"Catalog","カタログ"
"Catalog Category Link","カテゴリリンク"
"Catalog New Products List","新着商品リスト"
"Catalog Price Scope","カタログ価格スコープ"
"Catalog Product Link","商品リンク"
"Catalog Section","カタログセクション"
"Catalog, Search","カタログ, 検索"
"Categories","カテゴリ"
"Categories Sitemap","カテゴリのサイトマップ"
"Category","カテゴリ"
"Category API","カテゴリAPI"
"Category Data","カテゴリデータ"
"Category Flat Data","カテゴリフラットデータ"
"Category Link Block Template","カテゴリリンクブロックテンプレート"
