"-- Please Select --","-- 選択してください --"
"Actions","アクション"
"Add Layout Update","レイアウト更新追加"
"All","Default Category"
"All Pages","全てのページ"
"All Product Types","全ての商品種別"
"Anchor Categories","カテゴリのアンカー"
"Apply","適用"
"Assign to Store Views","ストアビューにアサインする"
"Big Image","拡大画像"
"CMS","コンテンツ管理"
"Categories","カテゴリ"
"Choose...","選択してください..."
"Close","閉じる"
"Continue","続ける"
"Default Template","標準テンプレート"
"Delete","削除"
"Design Package/Theme","デザインパッケージ/テーマ"
"Export to:","エクスポート先:"
"Frontend Properties","フロントエンドプロパティ"
"Generic Pages","一般ページ"
"Images","画像"
"Insert Widget","ウィジェット挿入"
"Layout Updates","レイアウト更新"
"New Widget Instance","新しいウィジェットインスタンス"
"Next page","次のページ"
"Non-Anchor Categories","アンカーではないカテゴリ"
"Not Selected","選択されていません"
"Open Chooser","選択を開く"
"Page","ページ"
"Previous page","前のページ"
"Products","商品"
"Remove Layout Update","レイアウト更新削除"
"Save and Continue Edit","保存して編集を続ける"
"Select All","全て選択"
"Select Visible","表示中を選択"
"Settings","設定"
"Sort Order","表示順"
"Specified Page","特定のページ"
"Template","テンプレート"
"The information in this tab has been changed.","このタブの情報が変更されています。"
"The widget instance has been deleted.","ウィジェットを削除しました。"
"The widget instance has been saved.","ウィジェットを保存しました。"
"This tab contains invalid data. Please solve the problem before saving.","このタブは不正なデータを含んでいます。保存するには問題を解決してください。"
"Thumbnail","サムネイル"
"Total %d records found","合計%d件見つかりました"
"Type","種別"
"Unselect All","全て未選択にする"
"Unselect Visible","表示を解除する"
"View","表示"
"Widget","ウィジェット"
"Widget ID","ウィジェットID"
"Widget Insertion","ウィジェット挿入"
"Widget Options","ウィジェットオプション"
"Widget Type","ウィジェットタイプ"
"Widgets","ウィジェット"
"items selected","件選択しました"
"of %s pages","中 %s ページ"
"per page","件"
