"Actions","アクション"
"Active","アクティブ"
"Add New Rule","新規ルールの追加"
"Alphabetical","半角英字"
"Alphanumeric","半角英数字"
"Apply","適用"
"Apply To","適用先"
"Apply the rule only if the following conditions are met (leave blank for all products)","下記の条件を満たす場合のみ規定が適用されます。（全ての製品欄は空白のままにしてください。）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カートの商品が下記の条件を満たす場合のみ規定が適用されます。(全ての商品欄は空白のままにしてください。）"
"Apply the rule to cart items matching the following conditions","以下の条件にマッチするカートの商品に適用する"
"Apply to Shipping Amount","配送料に適用する"
"Are you sure you want to delete the selected coupon(s)?","選択したクーポンを削除してもよろしいですか？"
"Auto","自動"
"Auto Generated Specific Coupon Codes","クーポンコードを自動生成する"
"Buy X get Y free (discount amount is Y)","X を買うと Y を無料に (Y の金額だけディスカウントする)"
"By Fixed value","固定値"
"By Percentage","固定率"
"Can't acquire coupon.","クーポンを適用できません。"
"Cart Attribute","カート属性"
"Catalog","カタログ"
"Code Format","コードフォーマット"
"Code Length","コード長さ"
"Code Prefix","コードプレフィックス"
"Code Suffix","コードサフィックス"
"Conditions","条件"
"Conditions combination","条件の組み合わせ"
"Coupon","クーポン"
"Coupon Code","クーポンコード"
"Coupon Qty","クーポン数量"
"Coupon with the same code","同じコードのクーポンがあります"
"Created On","作成日"
"Customer Groups","顧客グループ"
"Dash Every X Characters","X文字ごとにハイフンを入れる"
"Date Expire","終了日"
"Date Start","開始日"
"Default Label","標準のラベル"
"Default Rule Label for All Store Views","全てのストアビューに対する標準クーポン名"
"Description","概要"
"Discount Amount","割引価格"
"Discount Qty Step (Buy X)","ディスカウント対象個数の段階 (X を買った場合)"
"Edit Rule","ルールの編集"
"Edit Rule '%s'","ルール編集 '%s'"
"Excluding prefix, suffix and separators.","プレフィックスとサフィックス、区切り文字を入力してください。"
"FOUND","存在する"
"Fixed amount discount","定額割引"
"Fixed amount discount for whole cart","カート全体に対する固定値引き量"
"For matching items only","一致する商品のみ"
"For shipment with matching items","一致する商品の配送"
"Free Shipping","送料無料"
"From Date","開始日"
"General Information","全般情報"
"Generate","生成"
"If empty no separation.","空白の場合は分割しない"
"Inactive","未アクティブ"
"Labels","ラベル"
"Manage Coupon Codes","クーポンコード管理"
"Maximum Qty Discount is Applied To","値引を適用する最大個数"
"NOT FOUND","存在しない"
"NOT LOGGED IN","ログインしていません"
"New Rule","新しいルール"
"No","いいえ"
"No Coupon","自動適用クーポン"
"Number of Uses","利用回数"
"Numeric","数字"
"Payment Method","お支払方法"
"Percent of product price discount","商品価格値引率"
"Period","期間"
"Price in cart","カートの中の価格"
"Priority","優先度"
"Product attribute combination","商品属性の組み合わせ"
"Products subselection","商品の仮選択"
"Promotions","プロモーション"
"Public In RSS Feed","RSSフィードに公開"
"Quantity in cart","カートの中の個数"
"Row total in cart","カートの中の行数"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Rule is not defined","クーポンが未定義です"
"Save and Continue Edit","保存して編集を続ける"
"Shipping Country","配送先の国"
"Shipping Method","お届け方法"
"Shipping Postcode","配送先郵便番号"
"Shipping Region","配送エリア"
"Shipping State/Province","配送先の県/地方"
"Shopping Cart Price Rule","ショッピングカート価格ルール"
"Shopping Cart Price Rules","ショッピングカート価格ルール"
"Special Price","特別価格"
"Specific Coupon","特定のクーポン"
"Status","ステータス"
"Store View Specific Labels","ストアビュー固有のラベル"
"Subtotal","小計"
"Subtotal Amount","小計個数"
"This rule no longer exists.","このルールは存在していません。"
"Times Used","使用回数"
"To Date","公開日"
"To Fixed Value","固定値"
"To Percentage","割合"
"Total","合計"
"Total Amount","合計金額"
"Total Items Quantity","合計商品点数"
"Total Weight","総重量"
"Update prices using the following information","商品の価格を以下の条件で更新する"
"Update product's %s %s: %s","商品更新 %s %s: %s"
"Update the Product","商品を更新"
"Use Auto Generation","自動生成を使用する"
"Used","使用済"
"Uses per Coupon","クーポンごとの使用可能数"
"Uses per Customer","顧客ごとの使用可能数"
"Website","ウェブサイト"
"Websites","ウェブサイト"
"Yes","はい"
"total amount","合計額"
"total quantity","合計数量"
