"-- Please select --","-- 選択してください --"
"API Key","APIキー"
"Allowed Currencies","許可する通貨"
"An invalid base currency has been entered.","無効な基本通貨が入力されています。"
"Base Currency","基本通貨"
"Connection Timeout in Seconds","タイムアウトとみなす時間"
"Continue &raquo;","続ける &raquo;"
"Country","国"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります"
"Currency","通貨"
"Currency Options","通貨オプション"
"Currency Setup","通貨セットアップ"
"Currency Update Warnings","通貨更新警報"
"Currency rates can't be retrieved.","通貨レートを取得できません。"
"Default Display Currency","標準表示通貨"
"Directory","階層"
"Enabled","有効"
"Error Email Recipient","エラーメール受信者"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"FATAL ERROR:","致命的なエラー:"
"Frequency","頻度"
"Installed Currencies","インストール済み通貨"
"Invalid country code: %s","不正な国コードです: %s"
"Invalid rates received","不正なレートを受信しました"
"List of countries","国リスト"
"List of regions in specified country","特定の国の地域リスト"
"No API Key was specified or an invalid API Key was specified.","API キーが指定されていないか、無効な API キーが指定されました。"
"Region","地域"
"Scheduled Import Settings","インポートスケジュール設定"
"Select Your Currency","通貨を選択してください"
"Service","サービス"
"Start Time","開始時間"
"State/Province","都道府県"
"Strikeiron Email Update Warnings","メールでアップデート通知を行う"
"The account this API request is coming from is inactive.","この APIリクエストの送信元アカウントは非アクティブです。"
"WARNING:","警告:"
"Your current currency is: %s","現在の通貨: %s"
