"Actions","アクション"
"Are you sure?","よろしいですか？"
"Date Added","登録日"
"Last Update","最終更新"
"Mark as Read","既読にする"
"Mark as read","読み取り用としてマーク"
"Message","メッセージ"
"Messages Inbox","受信箱"
"Notifications","お知らせ"
"Please select messages.","メッセージを選択してください"
"Read Details","詳細を読む"
"Remove","削除"
"Severity","重要度"
"Show List","リスト表示"
"Show Toolbar","ツールバーを表示"
"The message has been removed.","メッセージを削除しました。"
"Update Frequency","更新頻度"
"Use HTTPS to Get Feed","HTTPSを使ってフィードを得る"
"Wrong message type","不正なメッセージ種別"
"critical","致命的な"
"major","メジャー"
"minor","マイナー"
"notice","通知"
