" [deleted]"," [削除済]"
" and ","と＊ "
"(For US 2-letter state names)","(米国の2文字の州名)"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)"
"(Leave empty for first spreadsheet)","(空を残すための最初のスプレッドシート)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(インポートファイル内の店舗の項目が空白、または抜けている場合、商品はこの店舗に対して追加・更新されます。)"
"(Shift-)Click or drag to change value","クリックまたはドラッグして価格変更"
"(Starting with)","(で始まる)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","「いいえ」の場合はマップされた項目のみインポートされます。マッピングする場合は'column1'、'column2'のように指定してください"
"(You have to increase php memory_limit before changing this value)","(この値を変更する前に php memory_limit の値を増やしてください)"
"(\t for tab)","(t for tab)"
"* Required Fields","* 必須項目"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","より速く実行されるようにこれ以上マウスボタンを押さないでください＊"
"- Use the %s, %s buttons to select year"," %s, %s ボタンで都市を選択 "
"- or Shift-click to decrease it"," Shift-clickで減らす＊"
"- or click and drag for faster selection.","またはクリックアンドドラッグでより迅速な選択を可能＊."
"-- Not Selected --","-- 選択されていません --"
"-- Please Select --","-- 選択してください --"
"-- Please Select Billing Agreement--","-- 支払合意を選択してください--"
"-- Please Select a Category --","-- カテゴリを選択してください --"
"-- Please select --","-- 選択してください --"
"--Please Select--","--選択してください--"
"1 Hour","1時間"
"12 Hours","12時間"
"12h AM/PM","12時間表記"
"2 Hours","2時間"
"24 Hours","24時間"
"24h","24時間"
"2YTD","2年間"
"6 Hours","6時間"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。"
"A user with the same user name or email already exists.","同じユーザーネームかEメールアドレスをお持ちのユーザーが既に存在します。"
"API Key","APIキー"
"Abandoned Carts","無効になったショッピングカート"
"About the calendar","カレンダーについて"
"Account Created in:","作成されたアカウント:"
"Account Created on (%s):","アカウント作成日時 (%s):"
"Account Created on:","アカウント作成日時"
"Account Information","アカウント情報"
"Account Status","アカウントステータス"
"Account status","アカウント状態"
"Action","アクション"
"Actions","アクション"
"Actions XML","アクションのXML"
"Active","アクティブ"
"Add","追加"
"Add Exception","例外の追加"
"Add Field Mapping","列定義を追加する"
"Add Field with URL:","URLにフィールドを追加"
"Add New","新規作成"
"Add New Block","新規ブロック追加"
"Add New Image","新規画像の追加"
"Add New Profile","新規プロフィールの追加"
"Add New Role","新しい権限の追加"
"Add New Template","新しいテンプレートの追加"
"Add New URL Rewrite","新しいURL書換えを追加"
"Add New User","新しいユーザーを追加"
"Add New Variable","新しい変数を追加"
"Add Products","商品を追加"
"Add URL Rewrite","URL書換追加"
"Add URL Rewrite for a Category","カテゴリのURL書換を追加"
"Add URL Rewrite for a Product","商品のURL書換を追加"
"Add after","追加後"
"Additional Cache Management","追加キャッシュ管理"
"Address Type:","住所タイプ:"
"Admin","管理者"
"Advanced Profiles","拡張プロフィール"
"All","Default Category"
"All Allowed Countries","全ての許可された国"
"All Cache","全てのキャッシュ"
"All Files","全てのファイル"
"All Reviews","全てのレビュー"
"All Store Views","全てのストアビュー"
"All Tags","全てのタグ"
"All Websites","すべてのウェブサイト"
"All countries","全ての国"
"All fields","全てのフィールド"
"All valid rates have been saved.","正しいレートが保存されました。"
"Always (during development)","常時 (開発中)"
"Amounts","売上高"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS cacheの消去中に問題が発生しました。"
"An error occurred while clearing the image cache.","画像cacheの消去中に問題が発生しました"
"An error occurred while deleting this role.","このロールを削除中にエラーが発生しました。"
"An error occurred while saving account.","アカウント保存中に問題が発生しました。"
"An error occurred while saving this role.","このロールを保存中にエラーが発生しました。"
"Any","すべて"
"Any Attribute Set","任意の属性"
"Any Group","任意のグループ"
"Any Status","任意のステータス"
"Any Store","任意の店舗"
"Any Type","任意のタイプ"
"Any Visibility","任意の規程"
"Archive file name:","アーカイブファイル名:"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Are you sure that you want to strip tags?","本当にタグを分割してよろしいですか？"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Area","地域"
"As low as:","できるだけ低く:"
"Assigned","アサイン済"
"Attribute Set Name:","属性名:"
"Attributes","属性"
"Authorize","権限"
"Automatic (equalize price ranges)","自動 (価格範囲と同じ)"
"Automatic (equalize product counts)","自動 (商品カウントと同じ)"
"Average Order Amount","平均注文額"
"Average Orders","平均注文数"
"Back","戻る"
"Back to Login","ログイン画面に戻る"
"Backup","バックアップ"
"Backup Name","バックアップ名"
"Backup options","バックアップオプション"
"Backups","バックアップ"
"Base currency","基本通貨"
"Bcc","BCC"
"Bestsellers","ベストセラー"
"Billing Address","請求先住所"
"Billing Address: ","請求先住所: "
"Billing Agreement","支払合意"
"Billing Agreements","支払い同意"
"Block Information","ブロック情報"
"Blocks","ブロック"
"Both (without and with tax)","両方(税金なしと税金込み）"
"Browse Files...","ファイルを選択...."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","価格が変化するようなセット商品はカスタム定義オプションを含めることができません。オプションは保存されません。"
"By Email","メールアドレス"
"By IP","IPアドレス"
"By IP and Email","IPアドレスとメールアドレス"
"CMS","コンテンツ管理"
"CRITICAL","致命的な"
"CSV","CSVファイル"
"CSV / Tab separated","タブ区切りのCSVファイル"
"Cache Control","キャッシュコントロール"
"Cache Control (beta)","キャッシュコントロール(beta)"
"Cache Management","キャッシュ管理"
"Cache Type","キャッシュタイプ"
"Cancel","キャンセル"
"Cannot add new comment.","コメントを追加できません。"
"Cannot add tracking number.","荷物追跡番号を追加できません。"
"Cannot do shipment for the order separately from invoice.","請求書と別に配送伝票を作成できません。"
"Cannot do shipment for the order.","配送伝票を作成できません。"
"Cannot save shipment.","配送伝票を保存できません。"
"Cannot send shipment information.","配送案内を送信できません。"
"Cannot update item quantity.","商品点数を更新できません。"
"Card Verification Number","セキュリティコード"
"Catalog","カタログ"
"Catalog Price Rules","カタログ価格ルール"
"Catalog Rewrites","カタログ書き換え"
"Categories","カテゴリ"
"Category","カテゴリ"
"Category:","カテゴリ:"
"Checkbox","チェックボックス"
"Child Transactions","子トランザクション"
"Choose Store View:","ストアビューを選択:"
"Choose an attribute","属性を選択"
"Clear","クリア"
"Close","閉じる"
"Code","コード"
"Complete","完了"
"Config form fieldset clone model required to be able to clone fields","フィールドセットからの複製モデルはフィールドの複製ができることが必要です。"
"Configuration","設定"
"Confirm New Password","新パスワード確認"
"Confirmed email:","確認メール:"
"Continue","続ける"
"Convert to Plain Text","プレーンテキストに変換"
"Cookie (unsafe)","Cookie (安全ではない)"
"Country","国"
"Country:","国:"
"Coupons","クーポン"
"Create","作成"
"Create DB Backup","データベースバックアップを生成"
"Create New Attribute","新規属性作成"
"Created At","作成日"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Memo History","クレジットメモ履歴"
"Credit Memo Totals","クレジットメモの合計"
"Credit Memos","クレジットメモ"
"Currency","通貨"
"Currency Information","通貨情報"
"Current Configuration Scope:","現在の設定スコープ:"
"Current Month","現在の月"
"Custom","カスタム"
"Custom Variables","カスタム変数"
"Customer","顧客"
"Customer Group:","顧客グループ:"
"Customer Groups","顧客グループ"
"Customer Name","顧客名"
"Customer Reviews","顧客レビュー"
"Customer Shopping Carts","ショッピングカート"
"Customer Since:","レビューから:"
"Customer Tax Classes","顧客税区分"
"Customer with the same email already exists.","同じメールアドレスの顧客が存在しています"
"Customers","顧客"
"Customers by Number of Orders","顧客ごとの注文件数"
"Customers by Orders Total","顧客ごとの購入合計"
"DHTML Date/Time Selector","DHTML 日付/時間 選択"
"Dashboard","ダッシュボード"
"Data Format","データフォーマット"
"Data transfer:","データ転送:"
"Database","データベース"
"Date","日付"
"Date & Time","日付時刻"
"Date Added","登録日"
"Date Updated","更新日"
"Date selection:","日付選択:"
"Date selector","日付選択"
"Day","日"
"Debug","デバッグ"
"Decimal separator:","桁区切り:"
"Default (Admin) Values","ディフォルト(管理者)値"
"Default Billing Address","標準ご連絡先住所"
"Default Config","標準の設定"
"Default Template from Locale","標準のテンプレート"
"Default Values","標準の値"
"Default scope","標準のスコープ"
"Delete","削除"
"Delete %s","%sを削除"
"Delete %s '%s'","削除 %s '%s'"
"Delete Block","ブロックの削除"
"Delete File","ファイルを削除"
"Delete Image","画像を削除"
"Delete Profile","プロファイルの削除"
"Delete Role","権限の削除"
"Delete Store","店舗を削除"
"Delete Store View","ストアビューを削除"
"Delete Template","テンプレートの削除"
"Delete User","ユーザーの削除"
"Delete Website","ウェブサイトの削除"
"Description","概要"
"Design","デザイン"
"Details","詳細"
"Direction:","方向:"
"Disable","無効"
"Disabled","無効"
"Display %s first","はじめに%sを表示"
"Display default currency","標準通貨の表示"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL.  詳細は%sを参照"
"Do you really want to KILL parallel process and start new indexing process?","本当にparallel processを終了して新しいindexing processを始めますか＊?"
"Download","ダウンロード"
"Downloads","ダウンロード"
"Drag to move","ドラッグして移動"
"Drop-down","ドロップダウン"
"Edit","編集"
"Edit Block","ブロックを編集"
"Edit Block '%s'","'%s'ブロックを編集"
"Edit Design Change","デザイン変更の編集"
"Edit Email Template","メールテンプレートの編集"
"Edit Order","注文編集"
"Edit Poll","投票の編集"
"Edit Queue","キューを編集"
"Edit Review","レビュー編集"
"Edit Role","権限の編集"
"Edit Store View","ストアビューを編集"
"Edit System Template","システムテンプレートの編集"
"Edit Template","テンプレートの編集"
"Edit URL Rewrite","URL書き換えを編集"
"Edit User","ユーザーの編集"
"Edit User '%s'","ユーザー'%s'の編集"
"Edit Variable","変数を編集"
"Edit Website","ウェブサイトの編集"
"Email","Eメール"
"Email Address:","メールアドレス:"
"Email to a Friend","友達にメールを送る"
"Email:","メール:"
"Enable","有効"
"Enabled","有効"
"Enclose Values In:","同封の値:"
"Entity Attributes","エンティティ属性"
"Entity Type","エンティティタイプ"
"Entity type:","エンティティタイプ:"
"Error","エラー"
"Excel XML","Excel形式XML"
"Excl. Tax","税抜"
"Exclude media folder from backup","メディアフォルダをバックアップから除外する"
"Expiration Date","有効期限日"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Export","エクスポート"
"Export CSV","CSVでエクスポート"
"Export Filters","エクスポートフィルタ"
"Export to:","エクスポート先:"
"Export:","エクスポート:"
"FTP Host","FTPホスト"
"FTP Host[:Port]","FTPホスト名[:ポート番号]"
"FTP Login","FTPログインID"
"FTP Password","FTPパスワード"
"FTP credentials","FTP証明書"
"Failed","失敗"
"Field","フィールド"
"Field Mapping","フィールド定義"
"File","ファイル"
"File Information","ファイル情報"
"File System","ファイルシステム"
"File name:","ファイル名:"
"File size should be more than 0 bytes","ファイルサイズは0バイトより大きくなくてはいけません"
"Finished profile execution.","プロファイルの実行を終了"
