"* Required Fields","* 必須項目"
"--Please Select--","--選択してください--"
"<label>Make Check payable to:</label> %s","<label>小切手の振出先を指定:</label> %s"
"Automatically Invoice All Items","自動ですべての商品を請求する。"
"Bank Transfer Payment","銀行振込"
"Card Verification Number","セキュリティコード"
"Cash On Delivery Payment","代引き支払い"
"Check / Money Order","小切手 / 現金支払"
"Credit Card Number","クレジットカード番号"
"Credit Card Number: xxxx-%s","クレジットカード番号: xxxx-%s"
"Credit Card Type","クレジットカード会社"
"Credit Card Type: %s","クレジットカード会社: %s"
"Credit Card Types","クレジットカード種別"
"Credit card type is not allowed for this payment method.","クレジットカード会社が支払方法で許可されていません。"
"Currency","通貨"
"Day","日"
"Debug Mode","ディバクモード"
"Enabled","有効"
"Expiration Date","有効期限日"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Incorrect credit card expiration date.","正しくない有効期限です。"
"Instructions","説明"
"Invalid Credit Card Number","不正なクレジットカード番号"
"Issue Number","取引番号"
"Make Check Payable to","小切手の振出先を指定"
"Make Check payable to:","小切手支払を可能にする:"
"Make Check payable to: %s","小切手の振出先を指定: %s"
"Maximum Order Total","注文合計最大値"
"Merchant ID","マーチャントID"
"Minimum Order Total","注文合計最小値"
"Month","月"
"N/A","該当無し"
"Name on Card","カード名義"
"Name on the Card: %s","カードの名義: %s"
"New Order Status","新規注文ステータス"
"Password","パスワード"
"Payment Method","お支払方法"
"Payment Methods","支払方法"
"Payment Services","Paymentサービス"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Purchase Order","配送"
"Purchase Order Number","配送番号"
"Purchase Order Number: %s","出荷番号: %s"
"Saved CC","保存したクレジットカード"
"Selected payment type is not allowed for billing country.","選ばれた支払いタイプは支払いを行う国にて許可されていません。"
"Send Check to","小切手の宛先"
"Send Check to:","小切手の宛先を指定:"
"Shipping Amount","配送料金"
"Sort Order","表示順"
"Start Date","開始日"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro発行番号"
"Switch/Solo/Maestro Only","Switch/Solo/Maestroのみ"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro開始日"
"Tax Amount","税"
"Test Mode","テストモード"
"The payment review action is unavailable.","支払レビューは利用できません。"
"The requested Payment Method is not available.","指定された決済方法は利用できません。"
"Title","タイトル"
"Unable to save Billing Agreement:","支払合意が保存できませんでした:"
"What is this?","これは何ですか？"
"Year","年"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
