"Add","Bæta við"
"Add New Role","Bæta við nýju hlutverki"
"Back","Til baka"
"Country","Land"
"Discount","Afsláttur"
"Email","Rafpóstur"
"First Name","Fornafn"
"ID","Auðkenni"
"Last Name","Eftirnafn"
"Order Comments","Athugasemdir pöntunar"
"Order Date","Dags. pöntunar"
"Order Status","Pöntunarstaða"
"Orders","Pantanir"
"Payment Method","Greiðsluaðferð"
"Phone Number","Símanúmer"
"Price","Verð"
"Product","Vara"
"Qty","Magn"
"Role Info","Hlutverksuppl."
"Role Information","Hlutverksupplýsingar"
"Role Name","Hlutverksnafn"
"Role Users","Hlutverksnotendur"
"Roles","Hlutverk"
"Shipping Amount","Sendingarkostnaður"
