"(\t for tab)","(t for tab)"
"--Please Select--","--Vinsamlega veldu--"
"1 Hour","1 klst."
"12 Hours","12 klst."
"2 Hours","2 klst."
"24 Hours","24 klst."
"6 Hours","6 klst."
"Action","Aðgerð"
"Active","Virkur"
"Add","Bæta við"
"Add New","Bæta nýjum við"
"Add New Role","Bæta við nýju hlutverki"
"Add New User","Bæta við nýjum notanda"
"Add Products","Bæta við vörum"
"All","Allt"
"Are you sure you want to do this?","Ert þú viss um að þú viljir gera þetta?"
"Back","Til baka"
"Cancel","Hætta við"
"Close","Loka"
"Configuration","Stilling"
"Country","Land"
"Custom","Sérsniðið"
"Customer Groups","Viðskiptavinahópar"
"Customers","Viðskiptavinir"
"Delete Role","Eyða hlutverki"
"Delete User","Eyða notanda"
"Details","Ítarupplýsingar"
"Email","Rafpóstur"
"Email:","Rafpóstur:"
"FTP Login","FTP Innskráning"
"First Name","Fornafn"
"From","Frá"
"ID","Auðkenni"
"Inactive","Óvirkur"
"Last Name","Eftirnafn"
"Login","Innskráning"
"Messages Inbox","Innhólf skilaboða"
"Name","Nafn"
"New Invoice","Nýr reikningur"
"New Password","Nýtt aðgangsorð"
"New Search","Ný leit"
"New Shipment","Ný sending"
"New User","Nýr notandi"
"No","Nei"
"None","Ekkert"
"Notifications","Tilkynningar"
"Options","Valmöguleikar"
"Orders","Pantanir"
"Out of stock","Uppselt"
"Password","Aðgangsorð"
"Password Confirmation","Aðgangsorðsstaðfesting"
"Password:","Aðgangsorð:"
"Price","Verð"
"Processing","Í vinnslu"
"Product","Vara"
"Quantity","Magn"
"Regular Price:","Verð áður:"
"Remove","Fjarlægja"
"Reset Password","Endurstilla aðgangsorð"
"Resources","Auðlindir"
"Role Info","Hlutverksuppl."
"Role Information","Hlutverksupplýsingar"
"Role Name","Hlutverksnafn"
"Role Users","Hlutverksnotendur"
"Roles","Hlutverk"
"Save Role","Vista hlutverk"
"Save User","Vista notanda"
"Search","Leita"
"Search Term","Leitarorð"
"Search Terms","Leitarorð"
"Select","Velja"
"Select All","Velja allt"
"Shopping Cart","Karfa"
"Special Price:","Tilboð:"
"Status","Staða"
"Submit","Senda"
"Terms and Conditions","Skilmálar"
"To","Til"
"Upload File","Upphlaða skrá"
"User Email","Notandarafpóstur"
"User ID","Notandaauðkenni"
"User Info","Notandauppl."
"User Information","Notandaupplýsingar"
"User Name","Notandanafn"
"User Role","Notandahlutverk"
"User Roles","Notandahlutverk"
"Users","Notendur"
"Warning","Aðvörun"
"Yes","Já"
"close","loka"
"critical","Alvarlegt"
"from","frá"
"major","meiriháttar"
"minor","minniháttar"
"notice","tilkynning"
"to","til"
