"Add All to Cart","Setja allt í körfu"
"Add to Cart","Setja í körfu"
"Add to Compare","Bæta í Bera saman"
"Add to Wishlist","Bæta við óskalista"
"Are you sure you want to remove this product from your wishlist?","Ertu viss um að þú viljir fjarlægja þessa vöru frá óskalistanum?"
"Are you sure you would like to remove this item from the wishlist?","Ertu viss um að þú viljir fjarlægja þessa vöru frá óskalistanum?"
"Back","Til baka"
"Can't save description %s","Get ekki vistað lýsinguna %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Hakaðu hér ef þú vilt bæta við rss hlekk í óskalistann þinn"
"Email address can't be empty.","Netfang getur ekki verið tómt"
"Email addresses, separated by commas","Netföng, aðgreind með kommu"
"Go to Wishlist","Fara í óskalistann"
"Last Added Items","Seinasta vara sem bætt var við"
"Message","Skilaboð"
"My Wishlist (%d item)","Óskalistinn minn (%d vara)"
"My Wishlist (%d items)","Óskalistinn minn (%d vörur)"
"Out of stock","Uppselt"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Vinsamlega sláið inn lögleg netföng, aðgreind með kommu. Til dæmis johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Vinsamlega sláðu inn athugasemdir"
"Price","Verð"
"Product","Vara"
"Qty","Magn"
"RSS link to %s's wishlist","RSS hlekkur í %s's óskalisti"
"Remove This Item","Fjarlægja þetta atriði"
"Share Wishlist","Deila óskalista"
"Share Your Wishlist","Deildu óskalistanum"
"Sharing Information","Deili upplýsingar"
"Update Wishlist","Uppfæra óskalistann"
"View Product","Sjá vöru"
"Wishlist Sharing","Deiling óskalistans"
"Wishlist is empty now.","Óskalistinn er núna tómur"
"You have no items in your wishlist.","Þú hefur engar vörur á óskalistanum."
