"Add to Cart","Setja í körfu"
"Add to Compare","Bæta í Bera saman"
"Add to Wishlist","Bæta við óskalista"
"Apply Coupon","Skrá"
"Are you sure you would like to remove this item from the shopping cart?","Ertu viss um að þú viljir fjarlægja þessa vöru úr körfunni þinni?"
"Back","Til baka"
"Back to Shopping Cart","Tilbaka til körfu"
"Cancel","Hætta við"
"Cart Subtotal:","Samtals:"
"Change Billing Address","Edit"
"Checkout","Ganga frá kaupum"
"Clear Shopping Cart","Tæma körfu"
"Close","Loka"
"Country","Land"
"Details","Ítarupplýsingar"
"Discount Codes","Afsláttarkóði eða Gjafabréf"
"Enter your coupon code if you have one.","Sláðu inn afsláttarkóða eða númer gjafabréfs."
"ID","Auðkenni"
"Login","Innskráning"
"Terms and Conditions","Skilmálar"
"My Cart (%s item)","Karfan mín (%s vara)"
"My Cart (%s items)","Karfan mín (%s vörur)"
"Order #","Pöntun #"
"Password","Aðgangsorð"
"Payment Method","Greiðsluaðferð"
"Price","Verð"
"Product","Vara"
"Qty","Magn"
"Quantity","Magn"
"Recently added item(s)","Vörur sem nýlega hefur verið bætt við körfuna þína"
"Remove This Item","Fjarlægja þetta atriði"
"Shopping Cart","Karfa"
"Status","Staða"
"Submitting order information...","Sendi inn pöntun..."
"View Shopping Cart","Sýna körfu"
"You have no items in your shopping cart.","Það eru engar vörur í körfunni þinni."
