" Copy","複製"
"Action","操作"
"Add New Template","新增範本"
"Add to Queue","添加到隊列"
"Are you sure that you want to delete this template?","您確認要刪除該模板嗎？ "
"Are you sure that you want to strip all tags?","您確認要刪除所有標籤嗎？ "
"Back","上一步"
"Cancel","取消"
"Cancelled","已取消"
"Confirmation Email Sender","確認郵件的發件人"
"Confirmation Email Template","確認郵件的模板"
"Convert to Plain Text","轉換為文字"
"Create Newsletter Template","新建郵件列表模板"
"Customer","客戶"
"Date Added","新增日期"
"Date Updated","更新日期"
"Delete","刪除"
"Delete Selected Problems","刪除已選問題"
"Delete Template","刪除模板"
"Do you really want to cancel the queue?","您確認要取消隊列嗎？ "
"Edit Newsletter","修改郵件列表"
"Edit Newsletter Template","修改郵件列表模板"
"Edit Queue","修改隊列"
"Edit Template","修改模板"
"Email","電郵"
"Error Code","錯誤代碼"
"Error Text","錯誤文字"
"Guest","訪客"
"ID","編號"
"Message","訊息"
"Need to Confirm","需要確認"
"New Newsletter Template","新增郵件列表模板"
"New Template","新建模板"
"Newsletter","郵件列表"
"Newsletter Message Preview","郵件列表內容預覽"
"Newsletter Problem Reports","郵件列表錯誤報告"
"Newsletter Queue","郵件列表隊列"
"Newsletter Subscribers","郵件列表訂閱人"
"Newsletter Templates","郵件列表模板"
"Newsletter subscription confirmation","郵件列表訂閱確認"
"Newsletter subscription success","郵件列表訂閱成功"
"Newsletter unsubscription success","郵件列表退訂成功"
"No Templates Found","沒有找到模板"
"Not Sent","沒有發送"
"Pause","暫停"
"Paused","暫停"
"Please enter new template name","請輸入新的模板名"
"Please select subscriber(s)","請選擇訂閱人"
"Preview","預覽"
"Preview Template","預覽模板"
"Processed","已處理"
"Queue Date Start","隊列日期開始"
"Queue Finish","隊列結束"
"Queue Information","隊列信息"
"Queue Start","隊列開始"
"Queue Subject","隊列主題"
"Recipients","收件人"
"Reset","重置"
"Resume","繼續"
"Save As","另存為"
"Save Newsletter","保存郵件列表"
"Save Template","保存模板"
"Sender","發件人"
"Sender Email","寄件者電郵"
"Sender Name","寄件者名稱"
"Sending","正在發送"
"Sent","已發出"
"Sign up for our newsletter","登記我們的郵件列表"
"Start","開始"
"Status","狀態"
"Store","商店"
"Store View","店面"
"Subject","主題"
"Submit","提交"
"Subscribe","訂閱"
"Subscriber","訂閱人"
"Subscribers","訂閱人"
"Subscribers From","訂閱表單"
"Subscription Options","訂閱選項"
"Success Email Sender","訂閱成功的郵件發送人"
"Success Email Template","訂閱成功的郵件模板"
"Template Content","模板內容"
"Template Information","模板信息"
"Template Name","模板名稱"
"Template Subject","模板主題"
"Template Type","模板類型"
"There was a problem with the subscription: %s","訂閱出現問題：%s "
"There was a problem with the un-subscription.","退訂出現問題。 "
"Type","類別"
"Unsubscribe","退訂"
"Unsubscribe Selected","退訂已選"
"Unsubscription Email Sender","退訂郵件的發件人"
"Unsubscription Email Template","退訂郵件的模板"
"View Newsletter","查看郵件列表"
"Website","網站"
