"API Password","API密碼"
"API Signature","API簽名"
"Address","位址"
"Allowed Credit Card Types","允許的信用卡類型"
"Authorization","授權"
"Billing Information","賬單信息"
"City","城市"
"Close","關閉"
"Company","公司"
"Configure","設定"
"Continue","繼續"
"Country","國家"
"Credit","積分"
"Custom","自訂"
"Daily","每天"
"Discount","折扣"
"Display on Shopping Cart","在購物車上的顯示"
"Dynamic","動態"
"Edit","編輯"
"Edit Shopping Cart","修改購物車"
"Email Address","電子郵件地址"
"Enable this Solution","啟用此解決方案"
"Enabled","啟用"
"Fax","傳真"
"Items in Your Shopping Cart","購物車中商品"
"Learn More","詳細內容"
"Login","登錄"
"N/A","不適用 "
"Never","從不"
"No","否"
"Order","訂單"
"Order ID","訂單編號"
"Partner","Partner "
"Password","密碼"
"Payment Action","付款操作"
"Payment Method","支付方式"
"Place Order","確認訂單"
"Please agree to all the terms and conditions before placing the order.","請在提交訂單之前同意所有條款及條件。"
"Please select a shipping method...","請選擇配送方式... "
"Please select region, state or province","請選擇地區、 州或省"
"Position","位置"
"Price","價格"
"Product","商品"
"Product Name","產品名稱"
"Qty","數量"
"Reports","報表"
"Require Customer's Billing Address","需要客戶的帳單地址"
"Review Order","查看訂單"
"Sale","促銷"
"Schedule","日程表 "
"Shipping","物流"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Size","大小"
"Sorry, no quotes are available for this order at this time.","對不起，目前沒有該訂單的報價。 "
"Sort Order","訂單排序"
"State/Province","州/省"
"Static","靜態"
"Street Address","首行地址"
"Submitting order information...","提交訂單信息... "
"Subtotal","小計"
"Telephone","電話"
"Test Mode","測試模式"
"Title","標題"
"Transaction ID","交易編號"
"Update Shipping Method","更新配送方式"
"User","用戶"
"VAT Number","增值稅號"
"View","每頁"
"Void","Void "
"Website Payments Standard","Website Payments Standard "
"Yes","是"
"Zip/Postal Code","郵政編碼"
