"Add Option","新增選項"
"Attempt to add an invalid object","要增加的對像不正確"
"Attribute Code","屬性代碼"
"Attribute Label","屬性標籤"
"Attribute Properties","屬性參數"
"Attribute with the same code","屬性代碼相同"
"Catalog Input Type for Store Owner","店主的目錄輸入類型"
"Data integrity: No header row found for attribute","數據完整性：屬性中沒有標題行"
"Date","日期"
"Decimal Number","小數"
"Default Value","預設值"
"Default option value is not defined","缺省選項值未定義"
"Delete","刪除"
"Dropdown","下拉菜單"
"Email","電郵"
"Entity is not initialized","實體未初始化"
"Frontend label is not defined","前台標籤未定義"
"Input Validation for Store Owner","店主的輸入驗證"
"Integer Number","整數"
"Invalid attribute name: %s","屬性名不正確：%s "
"Invalid attribute requested: %s","請求的屬性不正確：%s "
"Invalid attribute type","屬性類型不正確"
"Invalid character encountered in increment ID: %s","有無效的字符在增量編號中：%s "
"Invalid entity specified","指定的實體不正確"
"Invalid entity supplied: %s","提供的實體不正確: %s "
"Invalid entity type","實體類型不正確"
"Invalid entity_type specified: %s","指定的entity_type不正確：%s "
"Invalid foreign key","外鍵不正確"
"Invalid store specified","指定的商店不正確"
"Joined field with this alias is already declared","別名的聯合字段已聲明"
"Letters","字母"
"Loaded %d records","加載了%d個記錄"
"Multiple Select","選擇多個"
"No","否"
"None","無"
"Not shared with other products","沒有與其它商品共享"
"Problem loading the collection, aborting. Error: %s","加載組合出錯，退出。錯誤：%s "
"Problem saving the collection, aborting. Error: %s","保存組合時出錯，退出。錯誤：%s "
"Required","必要"
"System","系統"
"Text Area","文字區域"
"Text Field","文字欄目"
"URL","網址"
"Unique Value","獨特值"
"Unique Value (not shared with other products)","（不能與其他產品共用） 的獨特值"
"Unknown parameter","未知參數"
"Values Required","必填項"
"Wrong attribute group ID","屬性組編號錯誤"
"Wrong attribute set ID","屬性組合編號錯誤"
"Wrong entity ID","實體編號錯誤"
"Yes","是"
"Yes/No","是/否"
