"-- Please Select --","-- 請選擇 --"
"Add Secret Key to URLs","將金鑰添加到 Url"
"Add Store Code to Urls","將店舖代碼添加到 Url"
"Admin","管理員"
"Admin Base URL","管理面版基礎網址"
"Admin User Emails","管理員電郵"
"Advanced","進階"
"Allow Countries","允許國家"
"Allow Symlinks","允許符號連結"
"Allowed IPs (comma separated)","允許的IP地址(用逗號分開) "
"Anchor Text for Next","下一張的錨文本"
"Anchor Text for Previous","上頁的連結文字"
"Are you sure?","是否確認?"
"Auto-redirect to Base URL","自動導向至基礎網址"
"Back","上一步"
"Backup Options","備份選項"
"Base JavaScript URL","基準JavaScript網址"
"Base Link URL","基礎連結網址"
"Base Media URL","基準媒體網址"
"Base Skin URL","基準皮膚網址"
"Base URL","基礎網址"
"Block with name ""%s"" already exists","方框""%s""已存在"
"CSS Settings","CSS 設定"
"Cache Storage Management","緩存記憶管理"
"Can't retrieve request object","無法獲取請求的對象"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s "
"Cancel","取消"
"Code","代號"
"Controller file was loaded but class does not exist","控製文件已加載但類不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie時效"
"Cookie Path","Cookie路徑"
"Country","國家"
"Create Store","創建商店"
"Create Store View","創建店面"
"Create Website","創建網站"
"Custom Admin Path","自訂管理路徑"
"Custom Admin URL","自訂管理面版網址"
"Custom Design","自訂設計"
"Custom Email 1","自訂電郵 1"
"Custom Email 2","自訂電郵 2"
"Customer Support","客戶支援"
"Dashboard","總覽"
"Date From","從日期"
"Date To","到日期"
"Debug","除錯"
"Default","預設"
"Default Country","預設國家"
"Default No-route URL","預設無路徑網址"
"Default Pages","預設頁面"
"Default Store","預設商店"
"Default Store View","預設店面"
"Default Title","預設標題"
"Default Web URL","預設網址"
"Delete","刪除"
"Delete Store","刪除商店"
"Delete Store View","刪除店面"
"Delete Website","刪除網站"
"Design","設計"
"Design Change","設計修正"
"Developer","開發人員"
"Developer Client Restrictions","程序員客戶限制"
"Disable Email Communications","停用電郵通訊"
"Disable Modules Output","停用模組輸出"
"Edit Design Change","編輯設計修正"
"Edit Store","編輯商店"
"Edit Store View","編輯店面"
"Edit Website","修改網址"
"Empty identifier field name","標識字段名為空"
"Empty main table name","主數據表名為空"
"Enable Charts","啟用圖表"
"Enabled","啟用"
"Enabled for Admin","於管理面版啟用"
"Enabled for Frontend","在前台啟用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s錯誤"
"European Union Countries","歐洲聯盟國家"
"First Day of Week","一周的第一天"
"Flush Cache Storage","清空緩存記憶"
"Flush Magento Cache","清空Magento緩存"
"Forgot Password Email Sender","忘記密碼的電子郵件發件人"
"Forgot Password Email Template","忘記密碼電郵範本"
"General","一般"
"General Contact","一般聯絡人"
"General Settings","一般設定"
"Global","全球"
"Host","主機"
"How many links to display at once.","一次顯示多少連結。"
"Invalid base url type","Invalid base url type "
"Invalid block type: %s","方框類型不正確：%s "
"Invalid block: %s","方框不正確：%s "
"Invalid layout update handle","版面更新句柄不正確"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存儲不正確"
"JavaScript Settings","JavaScript 設定"
"Layout","版面"
"Locale","語言"
"Locale Options","地區設定選項"
"Login is Case Sensitive","登錄名是區分大小寫"
"Mail Sending Settings","郵件發送設定"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","請確保基礎網址是以 '/' 斜線結尾，例如 http://yourdomain/magento/"
"Manage Stores","管理商店"
"Merge CSS Files","合併 CSS 檔案"
"Merge JavaScript Files","合併 JavaScript 檔案"
"Name","名稱"
"New Design Change","新界面設計"
"New Store","新增商店"
"New Store View","新增店面"
"New Website","新建網站"
"No","否"
"Offloader header","缷載器標頭"
"Package","安裝包"
"Pagination","分頁"
"Pagination Frame","分頁框架"
"Pagination Frame Skip","跳頁數量"
"Please enter a number 0 or greater in this field.","請在該字段中輸入大過於0的數字。"
"Please enter a number 1 or greater in this field.","請在此欄位中輸入1或更大的數字。"
"Please enter a number greater than 0 in this field.","請在該欄目輸入大於0的數字。 "
"Please enter a valid $ amount. For example $100.00.","請輸入正確的金額，例如$100.00 "
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入正確的網址，例如http://www.example.com或www.example.com "
"Please enter a valid credit card number.","請輸入正確的信用卡號碼。 "
"Please enter a valid date.","請輸入正確的日期。 "
"Please enter a valid email address. For example johndoe@domain.com.","請輸入正確的電子郵件地址。例如johndoe@domain.com "
"Please enter a valid number in this field.","請在該欄目輸入正確的數字。 "
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","請輸入正確的電話號碼。例如(123) 456-7890或123-456-7890 "
"Please enter a valid social security number. For example 123-45-6789.","請輸入正確的社會保險號。例如123-45-6789 "
"Please enter a valid zip code.","請輸入正確的郵遞區號。 "
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入正確的郵遞區號。例如90602或90602-1234 "
"Please make sure your passwords match.","請確認密碼一致。 "
"Please select State/Province.","請選擇省份。 "
"Please select an option.","請選擇選項。 "
"Please select one of the above options.","請在上面選擇。 "
"Please select one of the options.","請選擇。 "
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","請在該欄目中僅使用字母(az)、數字(0-9)、下劃線(_)，第一個字符必須為字母。 "
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","請用該日期格式：dd/mm/yyyy例如17/03/2006表示2006年3月17日"
"Please wait, loading...","請等待，加載中... "
"Port (25)","連接埠（25）"
"Profiler","配置器"
"Recovery Link Expiration Period (hours)","恢復鏈接到期時間（小時）"
"Return-Path Email","返回路徑電郵"
"Root Category","根類別"
"Sales Representative","銷售代表"
"Save","儲存"
"Save Store","儲存商店"
"Save Store View","儲存店面"
"Save Website","保存網站"
"Search Engines Optimization","搜索引擎優化"
"Secure","安全"
"Security","安全性"
"Select Date","選擇日期"
"Sender Email","寄件者電郵"
"Sender Name","寄件者名稱"
"Services","服務"
"Session Validation Settings","登錄環節驗證設定"
"Set Return-Path","設定返回路徑"
"Set as Default","設為預設"
"Skin (Images / CSS)","皮膚(圖像/CSS) "
"Sort Order","訂單排序"
"Startup Page","起始頁面"
"Status","狀態"
"Store","商店"
"Store Email Addresses","存儲電郵地址"
"Store Hours of Operation","商店上班時間"
"Store Information","商店資訊"
"Store Name","商店名稱"
"Store View","店面"
"Store View Information","店面資訊"
"Store View Name","商店界面名稱"
"Store view doesn't exist","店面不存在"
"Store with the same code","商店代碼重複"
"System","系統"
"Template Path Hints","模板路徑提示"
"Template Settings","範本設定"
"Templates","模板"
"The store does not exist","商店不存在"
"The website does not exist.","網站不存在。"
"Themes","主題"
"This category only","僅限該分類"
"This is a required field.","這是必填欄目。 "
"This store cannot be deleted.","不能刪除此商店。"
"This store view cannot be deleted.","不能刪除此店面。"
"This website cannot be deleted.","不能刪除此網站。"
"Timezone","時區"
"Transactional Emails","交易郵件"
"Translate Inline","內嵌翻譯"
"Translations","翻譯"
"Unsecure","未加密"
"Url Options","Url 選項"
"Use Custom Admin Path","使用自訂管理路徑"
"Use Custom Admin URL","使用自訂管理面版網址"
"None","無"
"Use Secure URLs in Admin","在管理面版使用加密網址"
"Use Secure URLs in Frontend","前台使用安全鏈接"
"Use Web Server Rewrites","使用網站伺服器重寫"
"VAT Number","增值稅號"
"Validate HTTP_USER_AGENT","驗證 HTTP_USER_AGENT"
"Validate HTTP_VIA","驗證 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","驗證 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","驗證 REMOTE_ADDR"
"Web","網頁"
"Website","網站"
"Website Information","網站信息"
"Website Name","網站名稱"
"Website with the same code","網站代碼重複"
"Weekend Days","週末天"
"Wrong number of arguments for %s","%s的參數數量錯誤"
"Yes","是"
"Frontend","前台"
