" and ","和"
"(For US 2-letter state names)","(美國是2個字母的省份名) "
"(If left empty will be auto-generated)","(如果留空將自動生成) "
"(Leave empty for first spreadsheet)","(留空為第一個電子表) "
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果導入文件中'商店'欄目為空或者缺少，商品將被增加/更新到該商店。) "
"(Starting with)","(開頭) "
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(為'否'時，僅導入映射字段。當映射時，用'column1'、'column2'等。) "
"(You have to increase php memory_limit before changing this value)","改變這個值之前，你必須提高php的memory_limit"
"(\t for tab)","(t for tab)"
"* Required Fields","* 為必填項"
"-- Please Select --","-- 請選擇 --"
"--Please Select--","-請選擇-"
"1 Hour","1 小時"
"12 Hours","12 小時"
"2 Hours","2 小時"
"24 Hours","24 小時"
"2YTD","兩年度"
"6 Hours","6 小時"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 錯誤</h1><p>找不到頁面。</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>︰ 驗證碼是區分大小寫。"
"About the calendar","關於日曆"
"Account Created in:","帳戶創建於： "
"Account Created on:","帳號創建日期： "
"Account Information","帳戶資訊"
"Account status","帳戶狀態"
"Action","操作"
"Actions","動作"
"Actions XML","操作XML "
"Active","激活"
"Add Field Mapping","增加字段映射"
"Add New","新增"
"Add New Block","增加新方框"
"Add New Image","新增圖片"
"Add New Profile","增加新的配置文件"
"Add New Role","增加新的角色"
"Add New Template","新增範本"
"Add New User","增加新用戶"
"Add Products","新增商品"
"Additional Cache Management","額外的緩存管理"
"Address Type:","地址類型： "
"Admin","管理員"
"Advanced Profiles","高級配置文件"
"All","全部"
"All Allowed Countries","所有允許的國家"
"All Cache","所有緩存"
"All Files","所有檔案"
"All Reviews","所有評論"
"All Store Views","所有店面"
"All Tags","所有標籤"
"All Websites","所有網站"
"All countries","所有國家"
"All fields","所有欄目"
"Amounts","金額"
"An error occurred while clearing the JavaScript/CSS cache.","清理JavaScript/CSS緩存時出錯。"
"An error occurred while clearing the image cache.","清空圖像緩存時出錯。"
"An error occurred while saving account.","儲存帳戶時出錯。"
"Any","任何"
"Any Attribute Set","任意屬性集"
"Any Group","任意分組"
"Any Status","任意狀態"
"Any Store","任意商店"
"Any Type","任意類型"
"Any Visibility","任意可見性"
"Archive file name:","存檔文件名： "
"Are you sure that you want to delete this template?","您確認要刪除該模板嗎？ "
"Are you sure that you want to strip tags?","您確認要刪除標籤嗎？ "
"Are you sure you want to do this?","你確定你想要這樣做？"
"As low as:","低至： "
"Assigned","指定"
"Attribute Set Name:","屬性集名稱： "
"Attributes","屬性"
"Authorize","授權"
"Average Order Amount","平均訂單金額"
"Average Orders","平均訂單金額"
"Back","上一步"
"Back to Login","返回登錄"
"Backup","備份"
"Backup Name","備份名稱"
"Backup options","備份選項"
"Backups","備份"
"Base currency","基準貨幣"
"Bestsellers","暢銷產品"
"Billing Address","賬單地址"
"Block Information","區塊資訊"
"Both (without and with tax)","同時(無論是否含稅) "
"Browse Files...","瀏覽檔案⋯"
"CMS","CMS "
"CSV","CSV "
"CSV / Tab separated","CSV/Tab分割"
"Cache Control","緩存控制"
"Cache Management","緩存管理"
"Cache Type","緩存類型"
"Cancel","取消"
"Card Verification Number","信用卡驗證號碼"
"Catalog","目錄"
"Catalog Price Rules","目錄價格規則"
"Catalog Rewrites","目錄重寫"
"Categories","分類"
"Category","類別"
"Checkbox","選取方塊"
"Choose an attribute","選擇屬性"
"Clear","清除"
"Close","關閉"
"Code","代號"
"Complete","完成"
"Configuration","配置"
"Confirm New Password","確認新的密碼"
"Continue","繼續"
"Convert to Plain Text","轉換為文字"
"Country","國家"
"Country:","國家： "
"Coupons","優惠價"
"Create DB Backup","創建資料庫備份"
"Create New Attribute","創建新的屬性"
"Created At","新增於"
"Credit Card Number","信用卡卡號"
"Credit Card Number: xxxx-%s","信用卡號：xxxx-%s "
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型：%s "
"Credit Memo History","付款記錄"
"Credit Memo Totals","付款總計"
"Credit Memos","付款"
"Currency","貨幣"
"Currency Information","貨幣信息"
"Current Configuration Scope:","當前設置範圍： "
"Current Month","這個月"
"Custom","自訂"
"Customer","客戶"
"Customer Group:","客戶分組： "
"Customer Groups","客戶群組"
"Customer Name","客戶姓名"
"Customer Reviews","客戶評論"
"Customer Since:","註冊日期： "
"Customer Tax Classes","客戶稅種"
"Customer with the same email already exists.","已有相同郵件地址的客戶。 "
"Customers","顧客"
"Dashboard","總覽"
"Data Format","數據格式"
"Data transfer:","數據傳送： "
"Database","資料庫"
"Date","日期"
"Date Added","新增日期"
"Date Updated","更新日期"
"Date selector","選擇日期"
"Day","日"
"Debug","除錯"
"Default (Admin) Values","缺省(管理)值"
"Default Billing Address","缺省賬單地址"
"Default Config","缺省設置"
"Default Values","預設值"
"Default scope","缺省範圍"
"Delete","刪除"
"Delete Block","刪除方框"
"Delete Profile","刪除配置文件"
"Delete Role","刪除角色"
"Delete Store","刪除商店"
"Delete Store View","刪除店面"
"Delete Template","刪除模板"
"Delete User","刪除用戶"
"Delete Website","刪除網站"
"Description","描述"
"Design","設計"
"Details","詳細資料"
"Direction:","方向： "
"Disable","停用"
"Disabled","停用"
"Display default currency","顯示缺省貨幣"
"Download","下載"
"Drop-down","下拉"
"Edit","編輯"
"Edit Block","修改方框"
"Edit Block '%s'","修改方框'%s' "
"Edit Design Change","編輯設計修正"
"Edit Email Template","修改郵件模板"
"Edit Poll","修改投票"
"Edit Queue","修改隊列"
"Edit Role","修改角色"
"Edit Store View","編輯店面"
"Edit System Template","修改系統模板"
"Edit Template","修改模板"
"Edit User","修改用戶"
"Edit User '%s'","修改用戶'%s' "
"Edit Website","修改網址"
"Email","電郵"
"Email Address:","電子郵件： "
"Email:","電子郵件： "
"Enable","啟用"
"Enabled","啟用"
"Enclose Values In:","包括值： "
"Entity Type","實體類型"
"Entity type:","實體類型： "
"Error","錯誤 "
"Excl. Tax","不含稅"
"Exclude media folder from backup","從備份中排除媒體檔案夾"
"Expiration Date","到期日期"
"Expiration Date: %s/%s","有效期：%s/%s "
"Export","匯出"
"Export CSV","匯出 CSV"
"Export Filters","導出條件"
"Export to:","匯出至 "
"Export:","導出： "
"FTP Host","FTP 主機"
"FTP Host[:Port]","FTP主機[:端口] "
"FTP Login","FTP 登錄名"
"FTP Password","FTP 密碼"
"FTP credentials","FTP 憑據"
"Failed","失敗"
"Field Mapping","字段映射"
"File","檔案"
"File Information","文件信息"
"File name:","文件名： "
"File size should be more than 0 bytes","文件要大於0字節"
"Finished profile execution.","完成運行配置文件。 "
"First Name","名字"
"First Name:","名字： "
"Fixed","已修復"
"Flush Catalog Images Cache","清空產品圖片緩存"
"Flush JavaScript/CSS Cache","清空 JavaScript/CSS 緩存"
"Forgot your password?","忘記您的密碼了？ "
"Forgot your user name or password?","忘記您的用戶名或密碼了？ "
"From","由"
"Gb","Gb "
"General Information","基本信息"
"Get Image Base64","獲取圖片Base64 "
"Get help for this page","查看本頁面的幫助"
"Global Attribute","全局屬性"
"Global Record Search","全站搜索"
"Global Search","全域搜索"
"Go Today","今天去"
"Grand Total","總計"
"Grid (default) / List","格子(缺省) /列表"
"Group:","分組： "
"Guest","訪客"
"HTTP (unsecure)","HTTP (不安全) "
"HTTPS (SSL)","HTTPS (SSL) "
"Home","首頁"
"ID","編號"
"ID Path","編號路徑"
"IP Address","IP地址"
"Images (.gif, .jpg, .png)","圖片（.gif、.jpg、.png）"
"Images Cache","圖片緩存"
"Import","匯入"
"Import Service","導入服務"
"Import/Export","導入/導出"
"Import/Export Profile","導入/導出配置文件"
"Imported <strong>%s</strong> records","導入<strong>%s</strong>個記錄"
"In","貨幣"
"In Database:","在數據庫： "
"In File:","在文件： "
"Inactive","閒置"
"Incl. Tax","含稅"
"Incoming Message","收到訊息"
"Interactive","交互式"
"Interface Locale: %s","界面語言：%s "
"Invalid Form Key. Please refresh the page.","無效表單金鑰，請刷新頁面。"
"Invalid Import Service Specified","輸入的導入服務不正確"
"Invalid data","數據不正確"
"Invalid directory: %s","目錄不正確：%s "
"Invalid file: %s","文件不正確：%s "
"Invalid input data for %s => %s rate","輸入的%s => %s比率數據不正確"
"Invalidated","無效"
"Inventory Stock Status","庫存狀態"
"Invoice #%s comment added","發票%s增加了新備註"
"Invoice #%s created","生成發票%s "
"Invoice History","發票記錄"
"Invoice Totals","發票總計"
"Invoices","發票"
"Is Default","是預設"
"Issue Number","發行號碼"
"Items","項目"
"JavaScript/CSS","JavaScript 和 CSS"
"JavaScript/CSS Cache","JavaScript 和 CSS 緩存"
"Kb","字節"
"Last 24 Hours","最近 24 小時"
"Last 5 Orders","最近5個訂單"
"Last 5 Search Terms","最近5個搜索關鍵詞"
"Last 7 Days","最近 7 天"
"Last Logged In:","最近登錄： "
"Last Name","姓氏"
"Last Name:","姓氏： "
"Lifetime Sales","累計銷售"
"List (default) / Grid","列表(缺省)/格子"
"Load Template","加載模板"
"Load default template","加載缺省模板"
"Loading...","載入中..."
"Local Server","本地服務器"
"Local/Remote Server","本地/遠程服務器"
"Locale","語言"
"Log In","登錄"
"Log Out","登出"
"Log in to Admin Panel","登錄管理面板"
"Logged in as %s","登錄用戶%s "
"Login","登錄"
"MS Excel XML","MS Excel XML "
"OpenMage Admin","OpenMage 管理員"
"Magento Logo","OpenMage標誌"
"Magento root directory","OpenMage 根目錄"
"Content","內容"
"Tax Rules","稅則"
"Mb","Mb "
"Media (.avi, .flv, .swf)","媒體（.avi、.flv，.swf）"
"Messages Inbox","收件匣訊息"
"Month","月"
"Most Viewed","查看次數最多"
"Most Viewed Products","最受歡迎的產品"
"Multiple Select","選擇多個"
"My Account","我的帳戶"
"N/A","不適用 "
"Name","名稱"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s "
"Name:","姓名: "
"New ","新增 "
"New Accounts","新建帳號"
"New Attribute","新屬性"
"New Block","新方框"
"New Category","新分類"
"New Class","新稅種"
"New Customer","新客戶"
"New Customers","新客戶"
"New Design Change","新界面設計"
"New Email Template","新的郵件模板"
"New Group","新分組"
"New Invoice","新發票"
"New Page","新頁面"
"New Password","新密碼"
"New Poll","新增投票"
"New Profile","新建配置文件"
"New Rating","新的評級"
"New Review","新評論"
"New Rule","新規則"
"New Search","新搜索"
"New Set","新集"
"New Shipment","新配送"
"New Sitemap","新建網站地圖"
"New Store View","新增店面"
"New System Template","新建系統模板"
"New Tag","新建標籤"
"New Template","新建模板"
"New User","新建用戶"
"New Website","新建網站"
"Newsletter","郵件列表"
