"* Required Fields","* 為必填項"
"Add New Address","增加新地址"
"Add to Cart","加到購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入願望清單中"
"Address","位址"
"Address %s of %s","第%s個地址，共%s個"
"Allow Guest Checkout","允許訪客結帳"
"Already registered?","已註冊？ "
"Apply","套用"
"Apply Coupon","申請優惠券"
"Are you sure you would like to remove this item from the shopping cart?","您確認要從購物車中刪除該商品嗎？ "
"Back","上一步"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基於您的選擇，您也許對以下商品感興趣： "
"Billing Address","賬單地址"
"Billing Information","賬單信息"
"Billing Information - %s","賬單信息- %s "
"Cancel","取消"
"Card Verification Number Visual Reference","卡驗證碼視覺參考"
"Cart Subtotal:","購物車小計： "
"Change","更改 "
"Change Billing Address","修改賬單地址"
"Checkout","結帳"
"Checkout Options","結帳選項"
"Checkout as Guest","訪客結帳"
"Checkout as a Guest or Register","訪客結帳或註冊"
"Checkout with Multiple Addresses","用多個地址結帳"
"City","城市"
"Close","關閉"
"Company","公司"
"Confirm Password","確認密碼"
"Content","內容"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue to Billing Information","繼續賬單信息"
"Continue to Review Your Order","繼續查看訂單"
"Continue to Shipping Information","繼續配送信息"
"Country","國家"
"Coupon code ""%s"" is not valid.","優惠券代碼""%s""不正確"
"Create Billing Address","創建賬單地址"
"Create Shipping Address","創建配送地址"
"Customer Information","客戶信息"
"Data saving problem","保存數據錯誤"
"Default Billing","缺省賬單"
"Default Shipping","缺省配送"
"Details","詳細資料"
"Disabled","停用"
"Discount Codes","優惠券代碼"
"Display Cart Summary","顯示購物車摘要"
"Display item quantities","顯示商品數量"
"Display number of items in cart","顯示購物車中商品數量"
"Easy access to your order history and status","方便查閱訂單記錄和狀態"
"Edit","編輯"
"Edit Address","修改地址"
"Edit Billing Address","修改賬單地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Your Cart","修改購物車"
"Edit item parameters","修改参數"
"Email Address","電子郵件地址"
"Enabled","啟用"
"Enter a New Address","輸入新的地址"
"Enter your coupon code if you have one.","如果有優惠券代碼，請輸入。 "
"Enter your destination to get a shipping estimate.","輸入目的地估計運費。 "
"Estimate Shipping and Tax","運費及稅估價"
"Excl. Tax","不含稅"
"Fast and easy check out","快速簡易結帳"
"Fax","傳真"
"Forgot an Item?","忘記商品了？ "
"Forgot your password?","忘記您的密碼了？ "
"Get a Quote","詢價"
"Gift Message","禮物信息"
"Grand Total:","總計："
"ID","編號"
"Incl. Tax","含稅"
"Invalid shipping method.","配送方式不正確。 "
"Items","項目"
"Load customer quote error","加載客戶詢價錯誤"
"Loading next step...","加載下一步... "
"Login","登錄"
"Maximum qty allowed for Shipping to multiple addresses is %s","允許發貨到多個地址的最大數量是%s "
"Move to Wishlist","移到收藏"
"My Cart","我的購物車"
"My Cart (%s item)","我的購物車(%s件商品) "
"My Cart (%s items)","我的購物車(%s件商品) "
"My Cart Link","我的購物車鏈接"
"New Address","New Address "
"No Payment Methods","沒有支付方式"
"Order Review","查看訂單"
"Order Success","訂單成功"
"Password","密碼"
"Payment Information","付款資訊"
"Payment Method","支付方式"
"Payment method is not defined","支付方式為定義"
"Place Order","確認訂單"
"Please agree to all the terms and conditions before placing the order.","請在提交訂單之前同意所有條款及條件。"
"Please log in below:","請在下面登錄： "
"Please select region, state or province","請選擇地區、 州或省"
"Please select shipping methods for all addresses","請選擇所有地址的配送方式"
"Price","價格"
"Proceed to Checkout","結帳"
"Product","商品"
"Product Name","產品名稱"
"Products","產品"
"Qty","數量"
"Quantity","數量"
"Quote Lifetime (days)","報價有效期(天) "
"Register","註冊"
"Register and save time!","註冊節省時間！ "
"Register to Create an Account","註冊帳戶"
"Register with us for future convenience:","註冊以便將來： "
