"Actions","動作"
"Active","激活"
"Add New Rule","添加新規則"
"Apply","套用"
"Apply To","應用於"
"Apply the rule only if the following conditions are met (leave blank for all products)","僅以下條件成立才應用規則(所有商品留空) "
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","僅應用規則到購物車中符合以下條件的商品(所有商品留空) "
"Apply the rule to cart items matching the following conditions","應用規則到購物車中符合以下條件的商品"
"Buy X get Y free (discount amount is Y)","買X送Y(優惠金額為Y) "
"By Fixed value","根據固定價格"
"By Percentage","根據百分比"
"Cart Attribute","購物車屬性"
"Catalog","目錄"
"Conditions","條件"
"Conditions combination","條件組合"
"Coupon Code","優惠券代碼"
"Created On","創建日期"
"Customer Groups","客戶群組"
"Date Expire","有效期"
"Date Start","開始日期"
"Description","描述"
"Discount Amount","折扣金額"
"Discount Qty Step (Buy X)","優惠數量遞增(買X) "
"Edit Rule","編輯規則"
"Edit Rule '%s'","修改規則'%s' "
"Fixed amount discount","固定金額優惠"
"Fixed amount discount for whole cart","整個購物車固定金額優惠"
"For matching items only","僅用於匹配商品"
"For shipment with matching items","For shipment with matching items "
"From Date","開始日期"
"General Information","基本信息"
"ID","編號"
"Inactive","閒置"
"NOT LOGGED IN","未登錄"
"New Rule","新規則"
"No","否"
"Number of Uses","使用次數"
"Payment Method","支付方式"
"Percent of product price discount","商品價格優惠百分比"
"Period","區間"
"Price in cart","購物車中價格"
"Priority","優先級"
"Product attribute combination","商品屬性組合"
"Promotions","促銷"
"Public In RSS Feed","發布RSS Feed "
"Quantity in cart","購物車中數量"
"Row total in cart","購物車總計"
"Rule Information","規則信息"
"Rule Name","規則名稱"
"Save and Continue Edit","保存並繼續編輯"
"Shipping Country","配送國家"
"Shipping Method","配送方式"
"Shipping Postcode","配送郵編"
"Shipping Region","配送地區"
"Shipping State/Province","配送省份"
"Shopping Cart Price Rules","購物車價格規則"
"Special Price","特價"
"Status","狀態"
"Subtotal","小計"
"Subtotal Amount","小計"
"This rule no longer exists.","此規則不再存在。"
"To Date","結束日期"
"To Fixed Value","為固定值"
"To Percentage","為百分比"
"Total","總計"
"Total Amount","總金額"
"Total Items Quantity","總數量"
"Total Weight","總重量"
"Update prices using the following information","用下面的內容更新價格"
"Update product's %s %s: %s","感謝商品的%s %s: %s"
"Update the Product","更新商品"
"Website","網站"
"Websites","網站"
"Yes","是"
