"Add New Role","增加新的角色"
"Admin","管理員"
"Assigned","指定"
"Attribute Set","屬性集"
"Attributes","屬性"
"Back","上一步"
"Backorders","缺貨訂單"
"Catalog","目錄"
"City","城市"
"Company","公司"
"Country","國家"
"Coupon Code","優惠券代碼"
"Create Permanent Redirect for old URL","tcpu. idv. tw/shoppingcar"
"Customer","客戶"
"Delete","刪除"
"Discount","折扣"
"Discount Amount","折扣金額"
"Edit","編輯"
"Edit Role","修改角色"
"Email","電郵"
"Exclude","排除"
"First Name","名字"
"Gift Message","禮物信息"
"Grand Total","總計"
"Group","分組"
"Guest","訪客"
"ID","編號"
"Label","標籤"
"Last Name","姓氏"
"Maximum Qty Allowed in Shopping Cart","購物車中允許的最多商品數量"
"Minimum Qty Allowed in Shopping Cart","購物車中必須的最少商品數量"
"Notify for Quantity Below","提醒數量低於"
"Order","訂單"
"Order Comments","訂單備註"
"Order Date","訂單日期"
"Order ID","訂單編號"
"Order Status","Order Status "
"Orders","訂單"
"Original Price","Original Price "
"Payment Method","支付方式"
"Position","位置"
"Price","價格"
"Product","商品"
"Product ID","商品編號"
"Product Type","商品類型"
"Qty","數量"
"Qty Uses Decimals","數量用十進制"
"Role Info","角色信息"
"Role Information","角色信息"
"Role Name","角色名稱"
"Role Users","角色用戶"
"Roles","角色"
"SKU","商品編號"
"Save","儲存"
"Shipping Amount","配送金額"
"Shipping Method","配送方式"
"State","省份"
"Stock Availability","庫存情況"
"Store Name","商店名稱"
"Subtotal","小計"
"System","系統"
"Tax Amount","稅額"
"Tax Rate","稅率"
"Total Due","總欠額"
"Total Paid","總付款"
"Total Refunded","所有退款"
"Type","類別"
"URL","網址"
"ZIP/Postal Code","郵遞區號"
