"* Required Fields","* 為必填項"
"Address","位址"
"Address Information","地址信息"
"Already registered?","已註冊？ "
"Back","上一步"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","註冊您自己的帳戶，結帳方便迅速，而且可以保存多個送貨地址、查看訂單狀態等。 "
"Checkout as Guest","訪客結帳"
"Checkout as a Guest or Register","訪客結帳或註冊"
"City","城市"
"Close","關閉"
"Company","公司"
"Confirm Password","確認密碼"
"Continue","繼續"
"Country","國家"
"Create an Account","創建帳號"
"Easy access to your order history and status","方便查閱訂單記錄和狀態"
"Email Address","電子郵件地址"
"Fast and easy check out","快速簡易結帳"
"Fax","傳真"
"Forgot Your Password?","忘記您的密碼了？ "
"Forgot your password?","忘記您的密碼了？ "
"General Options","基本選項"
"If you have an account with us, please log in.","如果您已有帳號，請登錄。 "
"Loading next step...","加載下一步... "
"Login","登錄"
"Login Information","登錄信息"
"Login or Create an Account","登錄或註冊新帳號"
"New Customers","新客戶"
"Password","密碼"
"Personal Information","個人信息"
"Please log in below:","請在下面登錄： "
"Please select region, state or province","請選擇地區、 州或省"
"Register","註冊"
"Register and save time!","註冊節省時間！ "
"Register to Create an Account","註冊帳戶"
"Register with us for future convenience:","註冊以便將來： "
"Registered Customers","老客戶"
"Select State/Province...","選擇省份... "
"Select a billing address from your address book or enter a new address.","從您的地址簿中選擇賬單地址，或者輸入新的地址。 "
"Ship to different address","發貨到不同地址"
"Ship to this address","發貨到該地址"
"Sign Up for Newsletter","登記郵件列表"
"State/Province","州/省"
"Street Address","首行地址"
"Submit","提交"
"Telephone","電話"
"VAT Number","增值稅號"
"Welcome, %s!","歡迎您，%s! "
"What's this?","這是什麼？"
"Zip/Postal Code","郵政編碼"
