"* Required Fields","* 為必填項"
"--Please Select--","-請選擇-"
"<label>Make Check payable to:</label> %s","<label>支票收款人</label> %s "
"Card Verification Number","信用卡驗證號碼"
"Credit Card Number","信用卡卡號"
"Credit Card Number: xxxx-%s","信用卡號：xxxx-%s "
"Credit Card Type","信用卡類型"
"Credit Card Type: %s","信用卡類型：%s "
"Credit Card Types","信用卡類型"
"Credit card type is not allowed for this payment method.","對於此付款條件不允許這信用卡類型。"
"Currency","貨幣"
"Day","日"
"Enabled","啟用"
"Expiration Date","到期日期"
"Expiration Date: %s/%s","有效期：%s/%s "
"Issue Number","發行號碼"
"Make Check payable to: %s","支票收款人：%s"
"Maximum Order Total","最大訂單總計"
"Merchant ID","商戶 ID"
"Minimum Order Total","最小訂單總數"
"Month","月"
"N/A","不適用 "
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s "
"New Order Status","新訂單狀態"
"Password","密碼"
"Payment Method","支付方式"
"Payment Methods","支付方式"
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Purchase Order Number","購貨合同號"
"Purchase Order Number: %s","購貨合同號：%s "
"Saved CC","保存的CC "
"Selected payment type is not allowed for billing country.","計費國家不允許所選的付款類型。"
"Send Check to","支付寄給"
"Send Check to:","支付寄給： "
"Shipping Amount","配送金額"
"Sort Order","訂單排序"
"Start Date","開始日期"
"Tax Amount","稅額"
"Test Mode","測試模式"
"Title","標題"
"What is this?","這是什麽？"
"Year","年 "
"Zero Subtotal Checkout","零金額結帳"
