"* Required Fields","* 為必填項"
"ALL GROUPS","所有群組"
"Account Dashboard","帳戶儀表板"
"Account Information","帳戶資訊"
"Account Sharing Options","帳戶共享選項"
"Action","操作"
"Add New Address","增加新地址"
"Add New Customer","增加新的客戶"
"Add New Customer Group","增加新的客戶分組"
"Added From","加自"
"Additional Address Entries","其它地址項"
"Address","位址"
"Address Book","通訊錄"
"Address Information","地址信息"
"Addresses","地址"
"Admin","管理員"
"All","全部"
"All Store Views","所有店面"
"All countries","所有國家"
"Amount","金額"
"Approved","已批准"
"Are you sure that you want to remove this item?","您確認要刪除該項目嗎？ "
"Are you sure you want to cancel adding of this address?","您確認要取消增加該地址嗎？ "
"Are you sure you want to delete this address?","您確認要刪除該地址嗎？ "
"Are you sure?","是否確認?"
"Average Sale","平均銷售"
"Back","上一步"
"Back to Login","返回登錄"
"Bad request.","錯誤的請求."
"Bought From","購買自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","註冊您自己的帳戶，結帳方便迅速，而且可以保存多個送貨地址、查看訂單狀態等。 "
"CSV","CSV "
"Cancel","取消"
"Change Account Password","修改帳戶密碼"
"Change Billing Address","修改賬單地址"
"Change Password","修改密碼"
"Change Shipping Address","修改配送地址"
"City","城市"
"Company","公司"
"Config","設置"
"Configure","設定"
"Confirm New Password","確認新的密碼"
"Confirm Password","確認密碼"
"Contact Information","聯繫信息"
"Continue Shopping","繼續購物"
"Country","國家"
"Create New Account Options","新建帳號選項"
"Create New Customer Account","新建客戶帳號"
"Create Order","創建訂單"
"Create an Account","創建帳號"
"Current Password","當前密碼"
"Customer","客戶"
"Customer Addresses","客戶地址"
"Customer Configuration","客戶設置"
"Customer Group","客戶組"
"Customer Groups","客戶群組"
"Customer Information","客戶信息"
"Customer Login","用戶名"
"Customer Since","註冊日期"
"Customer View","客戶介面"
"Customers","顧客"
"Customers Only","僅限客戶"
"Date","日期"
"Date Added","新增日期"
"Day","日"
"Days in Wishlist","收藏的天數"
"Default Addresses","缺省地址"
"Default Billing Address","缺省賬單地址"
"Default Email Domain","缺省郵件域名"
"Default Group","缺省分組"
"Default Shipping Address","缺省配送地址"
"Delete","刪除"
"Delete Address","刪除地址"
"Delete Customer","刪除客戶"
"Delete Customer Group","刪除客戶分組"
"Deleted Stores","刪除商店"
"Details","詳細資料"
"Disabled","停用"
"Edit","編輯"
