"# of Uses","使用次數"
"Action","操作"
"Add New Tag","增加新標籤"
"Add Tags","增加標籤"
"Add Your Tags:","增加您的標籤： "
"Add to Cart","加到購物車"
"Add to Wishlist","加入願望清單中"
"All Tags","所有標籤"
"Approved","已批准"
"Are you sure you want to delete this tag?","您確認要刪除該標籤嗎？ "
"Are you sure you want to do this?","你確定你想要這樣做？"
"Are you sure?","是否確認?"
"Back","上一步"
"Back to Tags List","返回標籤列表"
"Block Information","區塊資訊"
"CSV","CSV "
"Change status","修改狀態"
"Click on a tag to view your corresponding products.","點擊標籤查看相應的商品。 "
"Country","國家"
"Customer Since","註冊日期"
"Customers","顧客"
"Customers Tagged '%s'","客戶標籤'%s' "
"Delete","刪除"
"Delete Tag","刪除標籤"
"Disabled","停用"
"Edit Tag '%s'","修改標籤'%s' "
"Email","電郵"
"First Name","名字"
"General Information","基本信息"
"Grid","格狀"
"ID","編號"
"Last Name","姓氏"
"List","列表"
"My Recent Tags","我最近的標籤"
"My Tags","我的標籤"
"Name","名稱"
"New Tag","新建標籤"
"No matches found.","沒有匹配的。 "
"Other people marked this product with these tags:","其它客戶對該商品的標籤： "
"Pending","等待"
"Pending Tags","等待中的標籤"
"Popular","熱門"
"Popular Tags","熱門標籤"
"Price","價格"
"Product Name","產品名稱"
"Product SKU","商品SKU "
"Product Tags","商品標籤"
"Products","產品"
"Products Tagged with '%s'","標記為'%s'的商品"
"Products tagged with '%s'","標記為'%s'的商品"
"Remove","移除"
"SKU","商品編號"
"Save Tag","保存標籤"
"Save and Continue Edit","保存並繼續編輯"
"Status","狀態"
"Store View","店面"
"Tag","標籤"
"Tag Name","標籤名稱 "
"Tags","標籤"
"Tags:","標籤： "
"Telephone","電話"
"Unable to find any products tagged with '%s' in the current store","本商店沒有找到任何標記為'%s'的商品"
"Unable to remove tag. Please, try again later.","無法刪除標籤，請稍後再試。 "
"Use spaces to separate tags. Use single quotes (') for phrases.","用空格分開標籤，短語用單引號(')。 "
"View All Tags","查看所有標籤"
"View Customers","查看客戶"
"View Products","查看商品"
"XML","XML "
"You have not tagged any products yet.","您還沒有任何商品標籤。 "
"ZIP/Post Code","郵編"
"[STORE VIEW]","[商店總覽]"
