"Abandoned carts","清空購物車"
"Action","操作"
"Add to Cart","加到購物車"
"Add to Compare","加入比較"
"Add to Wishlist","加入願望清單中"
"Any","任何"
"Applied Coupon","使用優惠券"
"Are you sure?","是否確認?"
"Bestsellers","暢銷產品"
"Bought from wishlists","從收藏購買"
"CSV","CSV "
"Carts","購物車"
"Coupons","優惠價"
"Created At","新增於"
"Customer","客戶"
"Customer Name","客戶姓名"
"Customer Tags","客戶標籤"
"Customers","顧客"
"Customers Report","客戶報表"
"Customers Reviews","客戶評論"
"Customers Tags","客戶標籤"
"Customers by number of orders","根據訂單數排列的客戶"
"Customers by orders total","根據訂單總額排列的客戶"
"Customers that have wishlist: %s%","有收藏的客戶：%s% "
"Dashboard","總覽"
"Day","日"
"Description","描述"
"Detail","內容"
"Email","電郵"
"First Name","名字"
"From","由"
"General","一般"
"Guest","訪客"
"Hits","點擊"
"ID","編號"
"IP Address","IP地址"
"Invoiced","已開票"
"Items in Cart","購物車中商品"
"Last Name","姓氏"
"Last Review","最後評論"
"Low stock","低庫存"
"Month","月"
"Most Viewed","查看次數最多"
"Name","名稱"
"New Accounts","新建帳號"
"No","否"
"Number Added","增加數"
"Number Fulfilled","使用數"
"Number Of Reviews","評論數量"
"Number Purchased","購買次數"
"Number Viewed","查看次數"
"Number of Items","商品數"
"Number of New Accounts","新帳號數量"
"Number of Reviews","評論數量"
"Number of Total Tags","總標籤數量"
"Number of Unique Tags","唯一標籤數量"
"Number of Views","查看數量"
"Number of items bought from a wishlist: %s","通告收藏購買的商品數量：%s "
"Number of times wishlists have been shared (emailed): %s","收藏共享次數(發郵件)：%s "
"Number of wishlist conversions: %s","收藏轉換次數：%s "
"Number of wishlist referrals: %s","收藏推薦次數：%s "
"Number of wishlists: %s","收藏數量：%s "
"Order Status","Order Status "
"Orders","訂單"
"Out of stock","缺貨"
"Period","區間"
"Poducts Report","商品報表"
"Popular Tags","熱門標籤"
"Popularity","熱門度"
"Price","價格"
"Product Name","產品名稱"
"Product Reviews","商品評論"
"Product SKU","商品SKU "
"Product Tags","商品標籤"
"Products","產品"
"Products Report","商品報表"
"Products Reviews","商品評論"
"Products Tags","商品標籤"
"Products in carts","購物車中商品"
"Quantity Ordered","訂購數量"
"Quantity of Items","商品數量"
"Recently Compared Products","最近比較的商品"
"Recently Viewed","最近查看"
"Recently Viewed Products","最近查看的商品"
"Recently Viewed/Compared Products","最近查看的產品/正在比較中的產品"
"Refunds","退款"
"Reports","報表"
"Results","結果"
"Revenue","收入"
"Review","評論"
"Reviews","評論"
"Sales Report","銷售報表"
"Search Query","搜尋查詢"
"Search Terms","搜索關鍵詞"
"Shipping","物流"
"Shopping Cart","購物車"
"Show for Current","顯示當前"
"Stock Qty","庫存數量"
"Submitted In","提交"
"Submitted On","提交日期"
"Subtotal","小計"
"Tag","標籤"
"Tag ""%s"" details","標籤""%s""內容"
"Tag Detail","標籤內容"
"Tag Name","標籤名稱 "
"Tags submitted to %s","標籤提交給%s "
"Tax","稅金"
"Title","標題"
"To","至"
"Total","總計"
"Total Tags","標籤總計"
"Total invoiced","發票總計"
"Total refunded","退款總計"
"Updated At","更新於"
"Visible In","可見"
"Wishlist Report","購物清單報表"
"Wishlist vs. Regular Order","收藏與訂購"
"Wishlists","收藏"
"Year","年 "
"Yes","是"
"Your Recently Compared","您最近比較的"
"Your Recently Viewed","您最近查看的"
