"%d Review(s)","%d個評論"
"%s Review(s)","%s個評論"
"(Posted on %s)","(評論日期%s) "
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","發表新的評論"
"Add Your Review","發表評論"
"Administrator","管理員"
"All Reviews","所有評論"
"Approved","已批准"
"Are you sure you want to do this?","你確定你想要這樣做？"
"Are you sure?","是否確認?"
"Average Customer Rating","平均客戶評級"
"Average Customer Rating:","平均客戶評級： "
"Back","上一步"
"Back to My Reviews","返回我的評論"
"Back to Product Reviews","返回商品評論"
"Be the first to review this product","第一個給該商品發表評論"
"Created On","創建日期"
"Customer","客戶"
"Customer Reviews","客戶評論"
"Customers Reviews","客戶評論"
"Delete","刪除"
"Delete Review","刪除評論"
"Detailed Rating","評級情況"
"Edit Review '%s'","修改評論'%s' "
"Guest","訪客"
"How do you rate this product?","您對該商品的評級是？ "
"ID","編號"
"My Product Reviews","我的商品評論"
"My Recent Reviews","我最近的評論"
"Name","名稱"
"New Review","新評論"
"Nickname","暱稱"
"Pending","等待"
"Pending Reviews","待審評論"
"Please select a product","請選擇商品"
"Please select one of each of the ratings above","請選擇上面的一個評級"
"Posted By","Posted By "
"Price","價格"
"Product","商品"
"Product Name","產品名稱"
"Product Rating","商品評級"
"Product Rating:","商品評級： "
"Product Review (submitted on %s):","商品評論(提交日期%s): "
"Product Reviews","商品評論"
"Product SKU","商品SKU "
"Products Reviews","商品評論"
"Qty","數量"
"Rating:","評級： "
"Review","評論"
"Review Details","評論內容"
"Review by %s","評論人%s "
"Reviews","評論"
"SKU","商品編號"
"Save Review","保存評論"
"Status","狀態"
"Submit Review","提交評論"
"Summary Rating","評級"
"Summary of Review","評論內容"
"Summary of Your Review","您的評論內容"
"Title","標題"
"Type","類別"
"View All Reviews","查看所有評論"
"View Details","檢視詳細資料"
"Visible In","可見"
"Websites","網站"
"Write Your Own Review","發表您自己的評論"
"You have submitted no reviews.","您沒有提交評論。 "
"Your Rating:","您的評級： "
"Your Review (submitted on %s):","您的評論(提交日期%s): "
