"* Required Fields","* 필수 항목"
"--Please Select--","--선택해 주십시오--"
"Card Verification Number","카드 인증 번호"
"Credit Card Number","신용카드 번호"
"Credit Card Type","신용카드 타입"
"Credit Card Types","신용카드 타입"
"Currency","통화"
"Day","일"
"Enabled","활성화"
"Expiration Date","유효기간"
"Maximum Order Total","최대 주문 합계"
"Minimum Order Total","최소 주문 합계"
"Month","월"
"N/A","해당없음"
"New Order Status","새 주문 진행상태"
"Password","비밀번호"
"Payment Method","결제방법"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Shipping Amount","배송 금액"
"Sort Order","정렬 순서"
"Start Date","시작 날짜"
"Tax Amount","세액"
"Test Mode","테스트 모드"
"The requested Payment Method is not available.","요청된 결제수단을 사용할 수 없습니다."
"Title","타이틀"
"What is this?","이게 뭐죠?"
"Year","연도"
"Zero Subtotal Checkout","제로 소계 체크아웃"
