" for more information or "," 추가 정보, 또는 "
"Allow Shipping to Multiple Addresses","복수 주소로 배송 허용"
"City","시/군 "
"Close Window","창 닫기"
"Condition","조건"
"Country","국가"
"Date","날짜"
"Description","상세 설명"
"Divide to equal weight (one request)","동등한 중량으로 나누기 (1회 요청)"
"Enabled","활성화"
"Export","내보내기"
"Fixed","고정 요금"
"Flat Rate","고정배송비"
"Free Shipping","무료 배송"
"Import","가져오기"
"Maximum Qty Allowed for Shipping to Multiple Addresses","복수 주소 배송시 허용된 최대 수량"
"Minimum Order Amount","최소 주문 금액"
"N/A","해당없음"
"None","없음"
"Options","옵션"
"Order Subtotal (and above)","주문 소계"
"Percent","퍼센트"
"Price","가격"
"Shipping Methods","배송 방법"
"Sort Order","정렬 순서"
"Status:","상태:"
"Street Address","도로명주소"
"Title","타이틀"
"Type","타입"
"Weight (and above)","중량 (이상)"
"ZIP/Postal Code","우편번호"
"contact us","사용 문의"
"email us at ","로 이메일을 주세요. "
