"Action","동작"
"Back","이전"
"Cancel","취소"
"Cancelled","취소됨"
"Customer","고객"
"Customer First Name","고객 이름"
"Customer Last Name","고객 성"
"Delete","삭제"
"Email","이메일 주소"
"Enter your email address","이메일 주소를 입력하세요"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","구독을 취소하시려면 다음 링크를 따라가세요 <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">
 {{var subscriber.getUnsubscriptionLink()}}</a>
 "
"Guest","비회원"
"Message","메세지"
"Newsletter","뉴스레터"
"Newsletter Subscribers","뉴스레터 구독자"
"Newsletter Subscription","뉴스레터 구독"
"Newsletter Subscriptions","뉴스레터 구독"
"Newsletter subscription confirmation","뉴스레터 구독 확인"
"Newsletter subscription success","뉴스레터 가입 성공"
"Newsletter unsubscription success","뉴스레터 구독 해지 성공"
"Not Sent","전송 안됨"
"Paused","일시정지"
"Please enter a valid email address.","올바른 이메일 주소를 입력하세요."
"Preview","미리보기 "
"Reset","초기화"
"Sender Email","보내는 사람 이메일"
"Sender Name","보내는 사람 이름"
"Sending","전송"
"Sent","전송됨"
"Sign Up for Our Newsletter:","뉴스레터를 받아보겠습니다:"
"Start","시작"
"Status","상태"
"Store","스토어"
"Store View","스토어뷰"
"Subject","제목"
"Submit","전송"
"Subscribe","구독"
"Subscriber","구독자"
"Subscribers","구독자"
"Subscription Options","구독 옵션"
"Template Information","템플릿 정보"
"Type","타입"
"Unsubscribe","미구독"
"Unsubscribe Selected","구독 취소"
"View Newsletter","뉴스레터 보기"
"Website","웹사이트"
