"* Required Fields","* 필수 항목"
"Address","주소 "
"Address Information","주소 정보 "
"Back","이전"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","회원으로 등록하시면, 더 빠른 결제와 복수 배송지 등록, 구매 진행상황 확인하기 등 더욱 편리한 서비스를 받으실 수 있습니다."
"City","시/군 "
"Close","닫기"
"Company","회사"
"Confirm Password","비밀번호 확인"
"Continue","계속"
"Country","국가"
"Create an Account","회원 가입"
"Email Address","이메일 주소"
"Fax","팩스"
"Forgot Your Password?","비밀번호를 잊으셨나요?"
"Forgot your password?","비밀번호를 잊으셨나요?"
"If you have an account with us, please log in.","이미 등록이 되어있으신 분은 로그인하세요."
"Login","로그인"
"Login Information","로그인 정보"
"Login or Create an Account","로그인 또는 계정 만들기"
"New Customers","신규 고객"
"Password","비밀번호"
"Personal Information","개인 정보"
"Please select region, state or province","지역을 선택하세요."
"Registered Customers","회원 로그인"
"Remember Me","자동 로그인"
"Save in address book","주소록에 저장"
"Sign Up for Newsletter","뉴스레터를 받아보겠습니다"
"State/Province","시/도"
"Street Address","도로명주소"
"Submit","전송"
"VAT Number","VAT 번호 "
"Welcome, %s!","%s 환영합니다."
"What's this?","이게 뭐죠?"
"Zip/Postal Code","우편번호"
