"* Required Fields","* 필수 항목"
"-- Select --","-- 선택 --"
"Add New Option","신규 옵션 추가"
"Bundle Items","번들 아이템"
"Checkbox","체크박스"
"Click for price","클릭하여 가격확인"
"Close","닫기"
"Default","기본"
"Default Qty","기본 수량"
"Default Title","기본 타이틀"
"Drop-down","드롭다운"
"Dynamic","동적"
"Excl. Tax","세금 제외"
"Fixed","고정 요금"
"From","보낸 사람"
"From:","보낸 사람:"
"Gift Message","선물 메시지"
"Incl. Tax","세금 포함"
"Input Type","입력 타입"
"Message:","메시지:"
"Multiple Select","다중선택"
"N/A","해당없음"
"No options of this product are available.","상품의 옵션이 없습니다."
"None","없음"
"Percent","퍼센트"
"Percent Discount","비율 할인"
"Please enter a number greater 0 in this field.","0보다 큰 숫자를 입력해 주세요."
"Please specify product option(s).","상품 옵션을 지정해 주십시오."
"Position","기본"
"Price Range","가격 범위"
"Price Type","가격 타입"
"Qty:","수량:"
"Radio Buttons","라디오 버튼"
"Separately","별도로"
"Ship Bundle Items","번들상품 배송"
"Store View Title","스토어뷰 타이틀"
"To","받는 사람"
"Together","같이"
"Use Default Value","기본값 사용"
"save","저장"
