" [deleted]"," [삭제됨]"
"(For US 2-letter state names)","(영어 두 글자로 이름을 지정)"
"(\t for tab)","(t for tab)"
"* Required Fields","* 필수 항목"
"-- Please Select --","--선택하세요--"
"-- Please Select a Category --","-- 카테고리를 선택하세요 --"
"-- Please select --","--선택하세요--"
"--Please Select--","--선택해 주십시오--"
"1 Hour","1시간"
"12 Hours","12시간"
"2 Hours","2시간"
"24 Hours","24시간"
"6 Hours","6시간"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 에러</h1><p>페이지가 없습니다.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> 주의</strong>: 보안문자(Captcha) 는 대소문자를 구분합니다."
"Account Created in:","회원가입:"
"Account Information","계정 정보"
"Account Status","계정 상태"
"Action","동작"
"Actions","동작"
"Active","활성화"
"Add","추가"
"Add New","신규 추가"
"Add New Block","신규 블럭 추가"
"Add New Image","신규 이미지 추가"
"Add Products","상품 추가"
"Additional Cache Management","추가 캐시 관리"
"Admin","관리자"
"All","모두"
"All Allowed Countries","모든 허용된 국가"
"All Cache","모든 캐시"
"All Files","모든 파일"
"All Reviews","모든 리뷰"
"All Store Views","모든 스토어뷰"
"All Websites","모든 웹사이트 "
"All countries","전체 국가"
"All valid rates have been saved.","유효한 모든 환율이 저장되었습니다."
"Always (during development)","항상 (개발기간중)"
"Amounts","금액"
"An error occurred while clearing the JavaScript/CSS cache.","자바스크립트/CSS 캐시를 삭제하는 도중 에러가 발생 했습니다."
"An error occurred while clearing the image cache.","이미지 캐시를 비우는 도중 에러가 발생했습니다."
"An error occurred while saving account.","계정 저장중 에러가 발생했습니다."
"Any","모든"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Attributes","어트리뷰트"
"Authorize","인증"
"Back","이전"
"Backup","백업"
"Backup Name","백업 이름"
"Backup options","백업 옵션"
"Backups","백업"
"Base currency","기본 통화"
"Bcc","숨은 참조"
"Bestsellers","베스트 셀러"
"Billing Address","청구 주소"
"Billing Agreements","결제약관"
"Block Information","블럭 정보"
"Blocks","블럭 "
"Browse Files...","파일 찾기..."
"Cache Control","캐시 제어"
"Cache Management","캐시 관리"
"Cache Type","캐시 타입"
"Cancel","취소"
"Card Verification Number","카드 인증 번호"
"Catalog","카탈로그"
"Catalog Price Rules","카탈로그 가격 규칙"
"Catalog Rewrites","카탈로그 다시 작성"
"Categories","분류"
"Category","카테고리"
"Category:","카테고리:"
"Checkbox","체크박스"
"Clear","지우기"
"Close","닫기"
"Code","코드"
"Configuration","환경설정"
"Confirm New Password","신규 비밀번호 확인"
"Confirmed email:","확인된 이메일:"
"Continue","계속"
"Country","국가"
"Create DB Backup","DB 백업 생성"
"Create New Attribute","신규 어트리뷰트 추가"
"Credit Card Number","신용카드 번호"
"Credit Card Type","신용카드 타입"
"Currency","통화"
"Current Configuration Scope:","현재 설정 적용범위:"
"Current Month","이번 달"
"Custom","사용자 정의"
"Customer","고객"
"Customer Group:","고객 그룹:"
"Customer Groups","고객 그룹"
"Customer Name","고객 이름"
"Customer Reviews","고객 리뷰"
"Customer Tax Classes","고객 세금 유형"
"Customers","고객"
"Dashboard","대시보드"
"Database","데이터베이스"
"Date","날짜"
"Date & Time","날짜와 시간"
"Date selector","날짜 선택기"
"Day","일"
"Default Billing Address","기본 결제 주소"
"Default Config","기본 설정"
"Default Values","기본값"
"Default scope","기본 적용범위"
"Delete","삭제"
"Delete Block","블럭 삭제"
"Delete File","파일 삭제"
"Delete Image","이미지 삭제"
"Delete Store","스토어 삭제"
"Delete Store View","스토어뷰 삭제"
"Description","상세 설명"
"Design","디자인"
"Details","상세 정보"
"Disable","비활성"
"Disabled","비활성화"
"Display default currency","기본 표시 통화"
"Download","다운로드"
"Downloads","다운로드"
"Drop-down","드롭다운"
"Edit","수정"
"Edit Block","블럭 수정 "
"Edit Design Change","디자인 변경 수정"
"Edit Review","리뷰 수정"
"Edit Store View","스토어뷰 수정"
"Email","이메일 주소"
"Email Address:","이메일 주소:"
"Email to a Friend","친구에게 이메일보내기"
"Email:","이메일: "
"Enable","활성"
"Enabled","활성화"
"Error","에러"
"Excl. Tax","세금 제외"
"Exclude media folder from backup","미디어 폴더를 백업에서 제외"
"Expiration Date","유효기간"
"Export","내보내기"
"Export to:","다음으로 내보내기"
"FTP Host","FTP 호스트"
"FTP Login","FTP 로그인"
"FTP Password","FTP 비밀 번호"
"FTP credentials","FTP 자격 증명"
"File","파일"
"First Invoice Created Date","첫 청구서 작성 날짜"
"First Name","이름"
"First Name:","이름:"
"Fixed","고정 요금"
"Flush Catalog Images Cache","카탈로그 이미지 캐시 비우기"
"Flush JavaScript/CSS Cache","자바스크립트/CSS Cache 비우기"
"Forgot your password?","비밀번호를 잊으셨나요?"
"From","보낸 사람"
"General Information","일반 정보"
"Global Search","글로벌 검색"
"Go Today","오늘로 가기"
"Go to Top","맨 위로 이동"
"Grand Total","합계"
"Grid (default) / List","그리드(기본) / 리스트"
"Grid Only","그리드만 표시"
"Guest","비회원"
"Home","홈 "
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)"
"Images Cache","이미지 캐시"
"Import","가져오기"
"Import Service","가져오기 서비스"
"Inactive","비활성화"
"Incl. Tax","세금 포함"
"Incoming Message","받은 메시지"
"Invalid Form Key. Please refresh the page.","잘못된 폼키 입니다. 페이지를 리로드 해주십시오."
"Invalid data","유효하지 않은 데이터"
"Invalidated","잘못된 날짜"
"Inventory Stock Status","재고 상태"
"Invoices","청구서"
"Items","항목"
"JavaScript/CSS","자바스크립트/CSS"
"JavaScript/CSS Cache","자바스크립트/CSS 캐시"
"Last 24 Hours","지난 24시간"
"Last 7 Days","지난 7일"
"Last Invoice Created Date","마지막 청구서 작성 날짜"
"Last Name","성"
"Last Name:","성:"
"Lifetime Sales","총 판매"
"Links","링크"
"List (default) / Grid","리스트 (기본) / 그리드"
"List Only","리스트만 표시"
"Loading...","불러오는 중..."
"Locale","언어"
"Log In","로그인"
"Login","로그인"
"Magento Admin","마젠토 관리자"
"Magento root directory","마젠토 루트 디렉터리"
"Manage Attribute Sets","어트리뷰트 세트 관리"
"Manage Categories","카테고리 관리"
"Manage Currency Rates","환율 관리"
"Manage Customers","고객 관리"
"Manage Stores","스토어 관리"
"Manage Titles (Size, Color, etc.)","타이틀 관리(사이즈, 색상 등)"
"Manual","수동"
"Maximum sender name length is 255. Please correct your settings.","보내는 사람 이름은 최대 255자 입니다."
"Media (.avi, .flv, .swf)","미디어 (.avi,.flv,.swf)"
"Messages Inbox","받은 메시지함"
"Month","월"
"Most Viewed Products","가장 많이 본 상품"
"Multiple Select","다중선택"
"My Account","내 계정"
"N/A","해당없음"
"Name","이름 "
"Never (production)","절대(프로덕션 환경)"
"New ","신규 "
"New Accounts","새 계정"
"New Attribute","신규 어트리뷰트"
"New Block","신규 블럭 "
"New Category","신규 카테고리"
"New Condition","신규 조건"
"New Customer","신규 고객"
"New Customers","신규 고객"
"New Group","신규 그룹"
"New Invoice","신규 청구서"
"New Page","신규 페이지 "
"New Password","새로운 비밀번호"
"New Review","상품평 추가"
"New Rule","신규 규칙"
"New Set","신규 세트"
"New Sitemap","신규 사이트맵"
"New Store View","신규 스토어뷰"
"Newsletter","뉴스레터"
"Newsletter Subscribers","뉴스레터 구독자"
"No","아니오"
"No Data Found","데이터가 없습니다"
"No change","변화 없음"
"No records found.","결과 없음"
"No search modules were registered","검색 모듈이 등록되지 않았습니다"
"None","없음"
"Notifications","알림"
"OK","확인"
"Old rate:","구 환율:"
"Online Customers","온라인 고객"
"Only Once (version upgrade)","한번만(버전 업그레이드)"
"Optional","선택사항"
"Options","옵션"
"Order","주문"
"Order ID","주문 ID"
"Order Totals","주문 합계"
"Orders","주문"
"Out of stock","품절"
"Pages","페이지 "
"Parent Product Thumbnail","상위 상품 썸네일"
"Password","비밀번호"
"Password Confirmation","비밀번호 확인"
"Password:","비밀번호: "
"Pending Reviews","보류 중인 리뷰"
"Percent","퍼센트"
"Personal Information","개인 정보"
"Please Select","선택하세요"
"Please enter a number greater than 0 in this field.","0보다 큰 숫자를 입력해 주십시오."
"Please enter a valid $ amount. For example $100.00.","올바른 $ 금액을 입력해 주십시오. 예: $ 100.00"
"Please enter a valid date.","올바른 날짜를 입력해 주십시오."
"Please enter a valid email.","올바른 이메일 주소를 입력해주세요"
"Please enter a valid number in this field.","올바른 숫자를 입력해 주십시오."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","올바른 전화번호를 입력해 주십시오. 예: (123) 456-789, 123-456-7890"
"Please enter a valid value, ex: 10,20,30","올바른 값을 입력해 주십시오. 예: 10,20,30"
"Please enter a valid zip code.","올바른 우편번호를 입력해 주십시오."
"Please make sure that all global admin search modules are installed and activated.","모든 글로벌 관리자 검색 모듈이 설치되고 활성화되었는지 확인하십시오."
"Please make sure your passwords match.","비밀번호가 맞는지 확인해 주십시오."
"Please select State/Province.","시/도 선택 하십시오."
"Please select an option.","옵션을 선택해주세요."
"Please select customer(s).","고객을 선택해 주십시오."
"Please select one of the options.","위의 옵션 중 하나를 선택 하십시오."
"Please select review(s).","리뷰를 선택하세요."
"Please specify the admin custom URL.","관리자의 커스텀 URL을 선택해 주십시오."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","이 날짜 형식을 이용해 주시기 바랍니다: 일/월/년. 예를 들어 2006년 3월 17일은 17/03/2006 입니다."
"Please wait...","잠시 기다려주세요..."
"Position","기본"
"Preview","미리보기 "
"Price","가격"
"Price:","가격:"
"Processing","결제 완료"
"Product","상품"
"Product Name","상품명"
"Product Reviews","상품 리뷰"
"Product:","상품:"
"Products","상품"
"Promo","프로모션"
"Promotions","프로모션"
"Quantity","수량"
"Radio Buttons","라디오 버튼"
"Rebuild","리빌드"
"Rebuild Catalog Index","카탈로그 인덱스 리빌드"
"Rebuild Flat Catalog Category","플랫 카탈로그 카테고리 리빌드"
"Rebuild Flat Catalog Product","플랫 카탈로그 카테고리 상품"
"Recent Orders","최근 주문"
"Refresh","새로고침"
"Reload captcha","보안문자(Captcha)를 리로드"
"Remove","삭제"
"Required","필수"
"Reset","초기화"
"Reset Filter","필터 재설정"
"Reset Password","비밀번호 초기화"
"Reset a Password","비밀번호 재설정"
"Results","결과"
"Revenue","수익"
"Reviews","리뷰"
"Root Category","최상위 카테고리 추가"
"Samples","샘플"
"Save","저장"
"Save & Generate","저장하고 생성하기"
"Save Account","계정 저장"
"Save Cache Settings","캐시 설정 저장"
"Save Config","설정 저장"
"Save Currency Rates","환율 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Search","검색"
"Search Index","검색 색인"
"Search entire store here...","검색"
"Select All","모두 선택"
"Select Category","카테고리 선택"
"Separate Email","별도 이메일"
"Shipments","배송"
"Shipping","배송료"
"Shipping Address","배송지 주소"
"Shipping Address: ","배송지 주소: "
"Shopping Cart","장바구니"
"Show By","정렬순서"
"Show Reviews","리뷰 보기"
