"Address","주소 "
"Advanced Settings","고급 설정"
"Allowed Credit Card Types","허용된 신용카드 타입"
"Billing Agreement Signup","결제약관"
"Billing Information","결제 정보"
"City","시/군 "
"Close","닫기"
"Company","회사"
"Configure","설정"
"Continue","계속"
"Country","국가"
"Custom","사용자 정의"
"Discount","할인"
"Don't have a PayPal account? Simply enter your email address.","페이팔 계정이 없으세요? 간단히 이메일주소만 입력하세요."
"Dynamic","동적"
"Edit","수정"
"Edit Shopping Cart","장바구니 수정"
"Email Address","이메일 주소"
"Enabled","활성화"
"Fax","팩스"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","거래를 완료할 수 없습니다. 사이트 관리자에게 문의주시기 바랍니다."
"Invoice ID","청구서 ID"
"Items in Your Shopping Cart","장바구니 항목"
"Learn More","더 알아보기"
"Login","로그인"
"N/A","해당없음"
"No","아니오"
"Order","주문"
"Order ID","주문 ID"
"Password","비밀번호"
"Payment Action","결제 방법"
"Payment Method","결제방법"
"Place Order","주문하기"
"Please agree to all the terms and conditions before placing the order.","이용약관에 동의하신 후 계속해 주십시오."
"Please select a shipping method...","배송방법을 선택하세요"
"Please select region, state or province","지역을 선택하세요."
"Position","기본"
"Price","가격"
"Product","상품"
"Product Name","상품명"
"Qty","수량"
"Review Order","주문 검토"
"Schedule","스케줄"
"Shipping","배송료"
"Shipping Address","배송지 주소"
"Shipping Information","배송 정보"
"Shipping Method","배송 방법"
"Sort Order","정렬 순서"
"State/Province","시/도"
"Street Address","도로명주소"
"Submitting order information...","주문 정보를 전송..."
"Subtotal","소계"
"Test Mode","테스트 모드"
"Title","타이틀"
"Transaction ID","트랜잭션 ID"
"VAT Number","VAT 번호 "
"View","보기"
"Yes","네"
"You will be redirected to the PayPal website when you place an order.","주문을 하시면 PayPal 웹사이트로 이동됩니다."
"Zip/Postal Code","우편번호"
