"* Required Fields","* 필수 항목"
"Add New Address","새 주소 추가"
"Add New Condition","신규 조건 추가"
"Add to Cart","장바구니에 추가"
"Add to Compare","비교하기에 추가"
"Add to Wishlist","위시리스트에 추가"
"Address","주소 "
"After Adding a Product Redirect to Shopping Cart","제품을 장바구니에 담은 후에는 장바구니 페이지로 이동"
"Allow Guest Checkout","비회원 체크아웃을 허용"
"Apply","적용"
"Apply Coupon","쿠폰 적용"
"Are you sure you would like to remove this item from the shopping cart?","장바구니에서 이 항목을 제거 하시겠습니까?"
"Back","이전"
"Back to Billing Information","결제 정보로 돌아가기"
"Back to Shipping Information","쇼핑정보로 돌아가기"
"Back to Shopping Cart","장바구니로 돌아가기"
"Billing Address","청구 주소"
"Billing Information","결제 정보"
"Cancel","취소"
"Cancel Coupon","쿠폰 취소"
"Change","변경"
"Change Billing Address","구매자 주소 변경"
"Checkbox Text","체크박스 텍스트"
"Checkout","결제"
"Checkout Conditions","체크아웃 조건"
"Checkout Options","체크아웃 옵션"
"Checkout Terms and Conditions","체크아웃 이용약관"
"City","시/군 "
"Clear Shopping Cart","장바구니 비우기"
"Close","닫기"
"Company","회사"
"Condition Name","조건명"
"Confirm Password","비밀번호 확인"
"Content","콘텐츠"
"Content Height","컨텐츠 높이"
"Content Height (css)","컨텐츠 높이 (css)"
"Continue","계속"
"Continue Shopping","계속 쇼핑하기"
"Continue to Billing Information","결제 정보를 계속하기"
"Country","국가"
"Create Billing Address","구매자 주소 등록하기"
"Create Shipping Address","배송 주소 등록하기"
"Customer Information","고객 정보"
"Delete Condition","조건 삭제"
"Details","상세 정보"
"Disabled","비활성화"
"Display Cart Summary","장바구니 요약 노출"
"Display item quantities","상품 수량 표시"
"Display number of items in cart","장바구니에 상품 수량 표시"
"Edit","수정"
"Edit Address","주소 편집"
"Edit Billing Address","구매자 주소 편집"
"Edit Condition","조건 수정"
"Edit Shipping Address","구매자 주소 편집"
"Edit Terms and Conditions","이용약관 수정"
"Edit Your Cart","장바구니 수정"
"Edit item parameters","항목 매개 변수 수정"
"Email Address","이메일 주소"
"Enable Onepage Checkout","원페이지 체크아웃 활성화"
"Enable Terms and Conditions","이용약관 활성화"
"Enabled","활성화"
"Enter a New Address","새 주소를 입력"
"Estimate Shipping and Tax","배송비 및 세금 미리 보기"
"Excl. Tax","세금 제외"
"Fax","팩스"
"Forgot an Item?","잊으신 상품이 있나요?"
"Forgot your password?","비밀번호를 잊으셨나요?"
"Gift Message","선물 메시지"
"Grouped Product Image","그룹 상품 이미지"
"Incl. Tax","세금 포함"
"Items","항목"
"Login","로그인"
"Terms and Conditions","이용약관"
"Move to Wishlist","위시리스트로 이동"
"My Cart","장바구니"
"My Cart Link","내 장바구니 링크"
"New Address","신규 주소"
"New Condition","신규 조건"
"New Terms and Conditions","신규 이용약관"
"No Payment Methods","결제 방법 없음"
"Order #","주문번호"
"Order Review","주문 검토"
"Password","비밀번호"
"Payment Failed Email Sender","결제 실패 송신자"
"Payment Failed Emails","결제 실패 이메일"
"Payment Failed Template","결제 실패 템플릿"
"Payment Information","결제 정보"
"Payment Method","결제방법"
"Place Order","주문하기"
"Please agree to all Terms and Conditions before placing the order.","이용약관에 동의하신 후 계속해주세요."
"Please agree to all the terms and conditions before placing the order.","이용약관에 동의하신 후 계속해 주십시오."
"Please select region, state or province","지역을 선택하세요."
"Price","가격"
"Proceed to Checkout","결제하기"
"Product","상품"
"Product Name","상품명"
"Products","상품"
"Qty","수량"
"Qty:","수량:"
"Quantity","수량"
"Quote Lifetime (days)","견적 유효기간(일)"
"Remove Item","항목 삭제"
"Remove This Item","항목 삭제"
"Remove item","항목 삭제"
"Review Order","주문 검토"
"Sales","판매"
"Save Condition","조건 저장"
"Save in address book","주소록에 저장"
"See price before order confirmation.","판매가를 잘 확인하신 후 주문을 확정해주세요."
"Select Shipping Method","배송 방법 선택"
"Select a shipping address from your address book or enter a new address.","주소록에서 배송 주소를 선택하거나 새로운 주소를 입력하세요."
"Send Payment Failed Email Copy Method","결제 실패정보 메일 추가 발송 방법"
"Send Payment Failed Email Copy To","결제 실패정보 메일 추가 발송처"
"Send To","배송지"
"Separate by "","".","컴마(,) 로 구분."
"Ship to Multiple Addresses","복수 주소로 배송"
"Shipping Address","배송지 주소"
"Shipping Information","배송 정보"
"Shipping Method","배송 방법"
"Shipping Methods","배송 방법"
"Shipping To","배송 주소"
"Shopping Cart","장바구니"
"Shopping Cart is Empty","장바구니가 비어있습니다."
"State/Province","시/도"
"Status","상태"
"Store View","스토어뷰"
"Street Address","도로명주소"
"Submitting order information...","주문 정보를 전송..."
"Subtotal","소계"
"Terms and Conditions Information","이용약관 정보"
"Text","텍스트"
"Thank you for your purchase!","주문해 주셔서 감사합니다!"
"The product does not exist.","상품이 존재하지 않습니다."
"This condition no longer exists.","조건이 더이상 존재하지 않습니다."
"Total","총합계"
"Unit Price","단가"
"Update","확인"
"Update Cart","장바구니 업데이트"
"Update Qty &amp; Addresses","수량 및 주소 편집"
"Update Shopping Cart","장바구니 업데이트"
"VAT Number","VAT 번호 "
"View Shopping Cart","장바구니 보기"
"What's this?","이게 뭐죠?"
"You have no items in your shopping cart.","장바구니가 비어있습니다."
"Zip/Postal Code","우편번호"
