"Add","추가"
"Add New Row","신규 열 추가"
"Availability:","재고상태:"
"Back","이전"
"Canceled","취소됨"
"Date","날짜"
"Default Link Title","기본 링크 타이틀"
"Default Maximum Number of Downloads","기본 최대 다운로드 수"
"Default Sample Title","기본 샘플 타이틀"
"Delete","삭제"
"Disable Guest Checkout if Cart Contains Downloadable Items","장바구니에 다운로드 상품이 있을 경우 비회원 주문 비활성화"
"Downloadable Information","다운로드 정보"
"Downloadable Product Options","다운로드 상품 옵션"
"Downloadable Product Section","다운로드 상품 항목"
"Edit","수정"
"Edit item parameters","항목 매개 변수 수정"
"Excl. Tax","세금 제외"
"File","파일"
"From:","보낸 사람:"
"Gift Message","선물 메시지"
"Guest checkout will only work with shareable.","비회원 주문은 공유 가능 상품만 가능합니다."
"In stock","재고 있음"
"Incl. Tax","세금 포함"
"Invalid download link type.","잘못된 다운로드 링크 타입 입니다."
"Invoiced","청구됨"
"Links can be purchased separately","링크는 별도 구매가 가능합니다."
"List","리스트"
"Max. Downloads","최대 다운로드"
"Message:","메시지:"
"My Downloadable Products","다운로드 상품"
"Open Links in New Window","새로운 창에서 링크열기"
"Order #","주문번호"
"Order Item Status to Enable Downloads","주문 상품의 상태를 다운로드 허용으로 변경"
"Order id cannot be null","주문 ID는 null 일 수 없습니다."
"Order item id cannot be null","주문 품목 ID는 null 일 수 없습니다."
"Ordered","주문됨"
"Out of stock","품절"
"Pending","보류 중"
"Please set resource file and link type.","리소스 파일과 링크 타입을 지정하십시오."
"Please specify product link(s).","상품 링크를 지정하십시오."
"Price","가격"
"Qty","수량"
"Refunded","환불됨"
"Remaining Downloads","남아있는 다운로드"
"Remove","삭제"
"Remove Item","항목 삭제"
"Sample","샘플"
"See price before order confirmation.","판매가를 잘 확인하신 후 주문을 확정해주세요."
"Shareable","공유가능"
"Shipped","배송됨"
"Sorry, there was an error getting requested content. Please contact the store owner.","죄송합니다, 요청한 컨텐츠를 받아오는중 문제가 발생했습니다. 관리자에게 문의하십시오."
"Sort Order","정렬 순서"
"Start Download","다운로드 시작"
"Status","상태"
"Subtotal","소계"
"The link has expired.","이 링크는 만료 되었습니다."
"The link is not available.","이 링크는 유효하지 않습니다."
"Title","타이틀"
"Unlimited","무제한"
"Update","확인"
"Use Content-Disposition","컨텐츠 처분 사용"
"Use Default Value","기본값 사용"
"View Order","주문 보기"
"What's this?","이게 뭐죠?"
"You have not purchased any downloadable products yet.","다운로드 가능한 상품을 구매내역이 없습니다."
"attachment","첨부"
"download","다운로드"
"inline","인라인"
"sample","샘플"
