"* Required Fields","* 필수 항목"
"-- Please Select --","--선택하세요--"
"Account Information","계정 정보"
"Action","동작"
"Actions","동작"
"Active","활성화"
"Add","추가"
"Add New Address","새 주소 추가"
"Add Products","상품 추가"
"Add to Cart","장바구니에 추가"
"Address","주소 "
"Allow Reorder","재주문 허용"
"Amount","금액"
"Apply","적용"
"Apply Coupon Code","쿠폰 코드 적용"
"Are you sure you want to cancel this order?","이 주문을 정말로 취소하시겠습니까?"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Are you sure?","확실합니까?"
"Back","이전"
"Back to Billing Agreements","구매 및 결제 계약으로 돌아가기"
"Back to My Orders","주문내역으로 돌아가기"
"Bestsellers","베스트 셀러"
"Billing","구매"
"Billing Address","청구 주소"
"Billing Agreements","결제약관"
"Billing Last Name","구매자 성(이름)"
"Cancel","취소"
"Canceled","취소됨"
"City","시/군 "
"Clear Shopping Cart","장바구니 비우기"
"Close","닫기"
"Comma-separated.","콤마 구분."
"Comment","코멘트"
"Comments History","코멘트 이력"
"Company","회사"
"Configure","설정"
"Continue","계속"
"Country","국가"
"Create Order","주문 생성"
"Customer","고객"
"Customer Group","고객 그룹"
"Customer Last Name","고객 성"
"Customer Name","고객 이름"
"Date","날짜"
"Delete","삭제"
"Discount","할인"
"Discount Amount","할인 금액"
"Display Order ID in Header","헤더에 주문 번호를 표시"
"Edit","수정"
"Email","이메일 주소"
"Email Address","이메일 주소"
"Enable","활성"
"Enabled","활성화"
"Error to Show in Shopping Cart","장바구니 표시 오류"
"Excl. Tax","세금 제외"
"First Name","이름"
"From","보낸 사람"
"From:","보낸 사람:"
"General","일반"
"General Information","일반 정보"
"Gift Message","선물 메시지"
"Gift Options","선물 메시지"
"Go to Home Page","홈페이지 가기 "
"Grand Total","합계"
"Grand Total to be Charged","실제 청구될 금액"
"Guest","비회원"
"Home","홈 "
"Incl. Tax","세금 포함"
"Information","정보"
"Invalid item option format.","잘못된 아이템 옵션 포맷입니다."
"Invalid value(s) for Qty to Ship","배송 수량에 대한 잘못된 값"
"Invoice","청구서"
"Invoice Comment Email Sender","청구서 코멘트 이메일 발송자"
"Invoice Comment Email Template","청구서 코멘트 이메일 템플릿"
"Invoice Comment Email Template for Guest","비회원을 위한 청구서 코멘트 이메일 템플릿"
"Invoice Date","청구 날짜"
"Invoice Email Template for Guest","비회원 청구 메일 템플릿"
"Invoiced","청구됨"
"Invoices","청구서"
"Item","항목"
"Item Status","항목 상태"
"Item ordered qty","주문 수량"
"Items","항목"
"Items Ordered","주문 항목"
"Items Shipped","배송된 항목"
"Last Name","성"
"Logo for PDF Print-outs (200x50)","PDF 인쇄 로고(200x50)"
"Message","메세지"
"Message:","메시지:"
"Minimum Order Amount","최소 주문 금액"
"Move to Wishlist","위시리스트로 이동"
"My Orders","주문 내역"
"N/A","해당없음"
"Name","이름 "
"New Invoice","신규 청구서"
"New Order Status","새 주문 진행상태"
"Newsletter Subscription","뉴스레터 구독"
"No","아니오"
"No Payment Methods","결제 방법 없음"
"No items","항목 없음"
"No ordered items","주문 항목 없음"
"Notify Customer by Email","고객에게 이메일로 통보"
"OK","확인"
"Order","주문"
"Order #","주문번호"
"Order # ","주문번호 "
"Order Address Information","주문 주소 정보"
"Order Comment","주문 코멘트"
"Order Comment Email Sender","주문 코멘트 이메일 발송자"
"Order Comment Email Template","주문 코멘트 이메일 템플릿"
"Order Comment Email Template for Guest","비회원을 위한 주문 코멘트 이메일 템플릿"
"Order Comments","주문 코멘트"
"Order Date","주문일"
"Order Date: ","주문 날짜: "
"Order Grand Total","주문 총합계"
"Order History","주문 이력"
"Order ID","주문 ID"
"Order Information","주문 정보"
"Order Status","주문 진행상태"
"Order Status Information","주문 상태 정보"
"Order Total","주문 합계"
"Order Totals","주문 합계"
"Order View","주문 보기"
"Ordered","주문됨"
"Orders","주문"
"PDF Invoices","PDF 청구서"
"PDF Print-outs","PDF 인쇄"
"Payment Information","결제 정보"
"Payment Method","결제방법"
"Payment Method:","결제 방법:"
"Pending","보류 중"
"Pending Payment","보류 중인 지불"
"Please enter positive number in this field.","이 필드에는 양수를 입력해 주십시오."
"Price","가격"
"Print All Invoices","모든 청구서 인쇄"
"Print All Shipments","모든 배송 인쇄"
"Print Invoices","청구서 인쇄"
"Print Order","주문 인쇄"
"Processing","결제 완료"
"Product","상품"
"Product Name","상품명"
"Products","상품"
"Qty","수량"
"Qty Invoiced","청구 수량"
"Qty Ordered","주문 수량"
"Qty Shipped","출하 수량"
"Qty to Ship","배송 수량"
"Recent Orders","최근 주문"
"Recently Compared Products","최근 비교한 상품"
"Recently Viewed Products","최근 본 상품"
"Refresh","새로고침"
"Refunded","환불됨"
"Related Orders","관련된 주문"
"Remove","삭제"
"Remove Coupon Code","쿠폰 코드 삭제"
"Reorder","재주문"
"Revenue","수익"
"Row Subtotal","행 소계"
"Row Total","행 합계"
"Save Order Address","주문 주소 저장"
"Save in address book","주소록에 저장"
"Schedule","스케줄"
"Select All","모두 선택"
"Send Email","이메일 전송"
"Send Tracking Information","추적 정보 보내기"
"Ship To","받는 분"
"Ship to:","배송:"
"Shipments","배송"
"Shipped","배송됨"
"Shipping","배송료"
"Shipping & Handling","배송료"
"Shipping &amp; Handling","배송료"
"Shipping Address","배송지 주소"
"Shipping Amount","배송 금액"
"Shipping Information","배송 정보"
"Shipping Method","배송 방법"
"Shipping Method:","배송 방법:"
"Shopping Cart","장바구니"
"Some of the products below do not have all the required options.","아래 제품 중의 일부에서 필수 옵션을 선택하지 않았습니다."
"State/Province","시/도"
"Status","상태"
"Status:","상태:"
"Street Address","도로명주소"
"Submit Comment","코멘트 전송"
"Submit Invoice","청구서 전송"
"Submit Order","주문 제출"
