"Action","동작"
"Add to Cart","장바구니에 추가"
"Add to Compare","비교하기에 추가"
"Add to Wishlist","위시리스트에 추가"
"Any","모든"
"Are you sure?","확실합니까?"
"Bestsellers","베스트 셀러"
"Customer","고객"
"Customer Name","고객 이름"
"Customers","고객"
"Customers Reviews","고객 리뷰"
"Dashboard","대시보드"
"Day","일"
"Description","상세 설명"
"Downloads","다운로드"
"Email","이메일 주소"
"Filter","필터"
"First Name","이름"
"From","보낸 사람"
"General","일반"
"Guest","비회원"
"Invoiced","청구됨"
"Items in Cart","개의 장바구니 항목"
"Last Name","성"
"Month","월"
"Name","이름 "
"New Accounts","새 계정"
"No","아니오"
"Order Status","주문 진행상태"
"Orders","주문"
"Out of stock","품절"
"Price","가격"
"Product Name","상품명"
"Product Reviews","상품 리뷰"
"Products","상품"
"Products Reviews","상품 리뷰"
"Recently Compared Products","최근 비교한 상품"
"Recently Viewed Products","최근 본 상품"
"Recently Viewed/Compared Products","최근 본 상품/비교한 상품"
"Results","결과"
"Revenue","수익"
"Review","리뷰"
"Reviews","리뷰"
"Search Query","검색 쿼리"
"Shipping","배송료"
"Shopping Cart","장바구니"
"Subtotal","소계"
"Tax","세금"
"Title","타이틀"
"To","받는 사람"
"Total","총합계"
"Total Invoiced vs. Paid Report","총 청구금액 대비 결제 보고서"
"Year","연도"
"Yes","네"
"Your Recently Viewed","최근에 본 것"
