"* Required Fields","* 필수 항목"
"Add All to Cart","모두 장바구니에 담기"
"Add to Cart","장바구니에 추가"
"Add to Compare","비교하기에 추가"
"Add to Wishlist","위시리스트에 추가"
"Are you sure you want to remove this product from your wishlist?","이 상품을 귀하의 희망목록에서 삭제하시겠습니까?"
"Back","이전"
"Cannot specify product.","상품을 지정할 수 없습니다."
"Click for price","클릭하여 가격확인"
"Comment","코멘트"
"Comment:","코멘트:"
"Edit","수정"
"Email Sender","이메일 송신자"
"Email Template","이메일 템플릿"
"Email addresses, separated by commas","콤마로 구분된 이메일 주소"
"Enabled","활성화"
"In stock","재고 있음"
"Last Added Items","마지막 담긴 상품"
"Message","메세지"
"Options Details","옵션 정보"
"Out of stock","품절"
"Please, enter your comments...","귀하의 의견을 입력해 주세요."
"Price","가격"
"Product","상품"
"Product Details and Comment","상품 상세 정보와 코멘트"
"Qty","수량"
"Remove Item","항목 삭제"
"Remove This Item","항목 삭제"
"Remove item","항목 삭제"
"Share Options","공유 옵션"
"Sharing Information","공유 정보"
"View Details","자세히 보기"
"View Product","상품 보기"
"What's this?","이게 뭐죠?"
"Wishlist","위시리스트"
