"-- Please Select --","--선택하세요--"
"Add Secret Key to URLs","URL에 비밀키 추가"
"Add Store Code to Urls","스토어 코드를 Url에 추가"
"Admin","관리자"
"Admin Base URL","관리자 기본 URL"
"Admin User Emails","관리자 이메일"
"Advanced","고급"
"Allow Countries","허용된 국가"
"Allow Symlinks","심볼릭 링크 허용"
"Anchor Text for Next","다음에 대 한 앵커 텍스트"
"Anchor Text for Previous","앵커 텍스트에 대 한 이전"
"Are you sure?","확실합니까?"
"Auto-redirect to Base URL","기본 URL로 자동 이동"
"Back","이전"
"Backup Options","백업 옵션"
"Base Link URL","기본 링크 URL"
"Base URL","기본 URL"
"Browser Capabilities Detection","브라우저 기능 감지"
"CSS Settings","CSS 설정"
"Cache Storage Management","캐시 저장소 관리"
"Cancel","취소"
"Code","코드"
"Cookie Domain","쿠키 도메인"
"Cookie Lifetime","쿠키 활성시간"
"Cookie Path","쿠키 경로"
"Cookie Restriction Mode","쿠키 제한 모드"
"Country","국가"
"Create Store","스토어 생성"
"Create Store View","스토어뷰 생성"
"Create Website","웹사이트 생성"
"Custom Design","커스텀 디자인"
"Custom Email 1","커스텀 이메일 1"
"Custom Email 2","커스텀 이메일 2"
"Customer Support","고객 지원"
"Dashboard","대시보드"
"Date From","시작 날짜"
"Date To","종료 날짜"
"Debug","디버그"
"Default","기본"
"Default Country","기본 국가"
"Default No-route URL","기본 No-route URL"
"Default Pages","기본 페이지"
"Default Store","기본 스토어"
"Default Store View","기본 스토어뷰"
"Default Title","기본 타이틀"
"Default Web URL","기본 웹 URL"
"Delete","삭제"
"Delete Store","스토어 삭제"
"Delete Store View","스토어뷰 삭제"
"Design","디자인"
"Design Change","디자인 변경"
"Developer","개발자"
"Disable Email Communications","이메일 사용 비활성화"
"Disable Modules Output","모듈 출력 비활성화"
"Edit Design Change","디자인 변경 수정"
"Edit Store","스토어 수정"
"Edit Store View","스토어뷰 수정"
"Enable Charts","차트 활성화"
"Enabled","활성화"
"Enabled for Admin","관리자에 사용"
"European Union Countries","EU 국가"
"First Day of Week","주의 첫번째 날"
"Flush Cache Storage","캐시 저장소 비우기"
"Flush OpenMage Cache","마젠토 캐시 비우기"
"Footer","꼬리말"
"Forgot Password Email Template","이메일 분실 템플릿"
"General","일반"
"General Settings","일반 설정"
"Global","글로벌"
"Header","머리말"
"Host","호스트"
"How many links to display at once.","얼마나 많은 링크를 한번에 표시하겠습니까?"
"Input type ""%value%"" not found in the input types list.","입력 타입 ""%value%""은(는) 입력 타입 리스트에 없습니다."
"Invalid date","잘못된 날짜"
"JavaScript Settings","자바스크립트 설정"
"Layout","레이아웃"
"Locale","언어"
"Locale Options","언어 옵션"
"Login is Case Sensitive","로그인은 대소문자를 구분합니다"
"Mail Sending Settings","메일 보내기 설정"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","URL 마지막에 '/' (슬래시)를 반드시 넣어주십시오.예) http://yourdomain/magento/"
"Manage Stores","스토어 관리"
"Merge CSS Files","CSS 파일 병합"
"Merge JavaScript Files","자바스크립트 파일 병합"
"Name","이름 "
"New Store","신규 스토어"
"New Store View","신규 스토어뷰"
"No","아니오"
"PHP SOAP extension is required.","PHP SOAP 확장기능이 필요합니다."
"Pagination","페이지 목록"
"Pagination Frame","페이지 목록 프레임"
"Pagination Frame Skip","페이지 목록 프레임 넘기기"
"Please enter a number 0 or greater in this field.","0 이상의 숫자를 입력해 주십시오."
"Please enter a number 1 or greater in this field.","1이상의 숫자를 넣어주십시오."
"Please enter a number greater than 0 in this field.","0보다 큰 숫자를 입력해 주십시오."
"Please enter a valid $ amount. For example $100.00.","올바른 $ 금액을 입력해 주십시오. 예: $ 100.00"
"Please enter a valid credit card number.","올바른 신용카드 번호를 입력해 주세요."
"Please enter a valid date.","올바른 날짜를 입력해 주십시오."
"Please enter a valid month (1-12).","올바른 월 (1-12)를 입력해 주세요."
"Please enter a valid number in this field.","올바른 숫자를 입력해 주십시오."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","올바른 전화번호를 입력해 주십시오. 예: (123) 456-789, 123-456-7890"
"Please enter a valid zip code.","올바른 우편번호를 입력해 주십시오."
"Please make sure your passwords match.","비밀번호가 맞는지 확인해 주십시오."
"Please select State/Province.","시/도 선택 하십시오."
"Please select an option.","옵션을 선택해주세요."
"Please select one of the options.","위의 옵션 중 하나를 선택 하십시오."
"Please use letters only (a-z or A-Z) in this field.","이 필드에는 글자(a-z또는 A-Z)만 사용해 주세요."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","이 날짜 형식을 이용해 주시기 바랍니다: 일/월/년. 예를 들어 2006년 3월 17일은 17/03/2006 입니다."
"Port (25)","포트 (25)"
"Recovery Link Expiration Period (hours)","복구 링크 유효기간(시간)"
"Root Category","최상위 카테고리 추가"
"Save","저장"
"Save Store","스토어 저장"
"Save Store View","스토어뷰 저장"
"Security","보안"
"Sender Email","보내는 사람 이메일"
"Sender Name","보내는 사람 이름"
"Services","서비스"
"Session Validation Settings","세션 유효성 검사 설정"
"Set as Default","기본값으로 설정"
"Sort Order","정렬 순서"
"Startup Page","시작 페이지"
"Status","상태"
"Store","스토어"
"Store Email Addresses","스토어 이메일 주소"
"Store Hours of Operation","스토어 영업 시간"
"Store Information","스토어 정보"
"Store Name","스토어 이름"
"Store View","스토어뷰"
"Store View Information","스토어뷰 정보"
"Store view doesn't exist","스토어뷰가 존재하지 않습니다."
"System","시스템"
"Template Settings","템플릿 설정"
"The store does not exist","스토어가 존재하지 않습니다."
"The value is not within the specified range.","지정된 범위에 해당하지 않습니다."
"The website does not exist.","웹사이트가 존재하지 않습니다."
"Themes","테마"
"This is a required field.","필수 항목 입니다."
"This store cannot be deleted.","해당 스토어는 삭제할 수 없습니다."
"This store view cannot be deleted.","해당 스토어뷰는 삭제할 수 없습니다."
"This website cannot be deleted.","해당 웹사이트는 삭제할 수 없습니다."
"Timezone","시간대"
"Translate Inline","인라인 번역"
"Url Options","Url 옵션"
"Use HTTP Only","HTTP만 사용"
"None","없음"
"Use Secure URLs in Admin","관리자에 보안 URL 사용"
"Use Web Server Rewrites","웹서버 Rewrites 기능을 사용"
"VAT Number","VAT 번호 "
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT 유효성 검사"
"Validate HTTP_VIA","HTTP_VIA 유효성 검사"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR 유효성 검사"
"Validate REMOTE_ADDR","REMOTE_ADDR 유효성 검사"
"Web","웹"
"Website","웹사이트"
"Weekend Days","주말"
"Yes","네"
