"* Required Fields","* Campos Obligatorios"
"ALL GROUPS","TODOS LOS GRUPOS"
"Account Information","Información de Cuenta"
"Action","Acción"
"Add New Address","Añadir nueva dirección"
"Additional Address Entries","Añadir información de dirección"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Addresses","Direcciones"
"All","Todos"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los paises"
"Amount","Cantidad"
"Approved","Aprobado"
"Are you sure you want to delete this address?","¿Seguro que quiere eliminar esta dirección?"
"Are you sure?","¿Está usted seguro?"
"Back","Atrás"
"Back to Login","Ir al Ingreso"
"CSV","csv"
"Cancel","Cancelar"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Contact Information","Información de Contacto"
"Country","País"
"Create","Crear"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create an Account","Crear una Cuenta"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Group","Grupo de Cliente"
"Customer Groups","Grupos de Clientes"
"Customers","Clientes"
"Date","Fecha"
"Date Added","Fecha Añadida"
"Day","Día"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación"
"Default Shipping Address","Dirección de envío por defecto"
"Delete","Borrar"
"Delete Address","Eliminar dirección"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar Dirección"
"Edit Address Entry","Editar dirección"
"Edit Newsletters","Editar Boletines"
"Email","Correo"
"Email Address","Correo Electrónico"
"Email Sender","Remitente del Correo"
"First Name","Nombre"
"Forgot Your Password?","¿Olvidó su contraseña?"
"General Subscription","Suscripción general"
"Guest","Invitado"
"IP Address","Dirección IP"
"Invalid current password","Contraseña actual incorrecta"
"Last Name","Apellido"
"Lifetime Sales","Ventas de por vida"
"Log Out","Salir"
"Login","Ingreso"
"Login Information","Información de ingreso"
"Login or Create an Account","Ingresar o crear una cuenta"
"Month","Mes"
"My Account","Mi Cuenta"
"My Orders","Mis pedidos"
"Name","Nombre"
"New Address Entry","Nueva dirección"
"New Password","Nueva contraseña"
"Newsletter","Boletín"
"Newsletters","Boletines"
"Orders","Pedidos"
"Password","Contraseña"
"Password:","Contraseña:"
"Pending","Pendiente"
"Personal Information","Información personal"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del Producto"
"Product Reviews","Comentarios del Producto"
"Product Tags","Etiquetas del Producto"
"Qty","Cant."
"Recent Orders","Pedidos recientes"
"Register","Registrar"
"Registered Customers","Clientes registrados"
"Remove","Remover"
"Retrieve your password here","Recupera tu contraseña aquí"
"Save","Guardar"
"Save Address","Grabar dirección"
"Save Password","Grabar contraseña"
"Shopping Cart","Carro de Compra"
"Sign Up for Newsletter","Suscribirse al Boletín"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Street Address","Dirección"
"Subject","Asunto"
"Tag Name","Nombre de Etiqueta"
"Tax Class","Clase de Impuesto"
"Telephone","Teléfono"
"Text","Texto"
"To Cart","Al carro"
"Type","Tipo"
"Unknown","Desconocido"
"Use as my default billing address","Utilizar como mi dirección de facturación"
"Use as my default shipping address","Utilizar mi dirección de <strong>facturación</strong> por defecto"
"View","Ver"
"View Order","Ver pedido"
"Website","Sitio Web"
"Wishlist","Listado"
"You are currently subscribed to 'General Subscription'.","Actualmente está suscrito a 'Suscripción general'."
"You are currently subscribed to our newsletter.","Actualmente está suscrito a nuestro Boletín."
"You have no additional address entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no default billing address in your address book.","No tiene dirección de envío en su libreta de direcciones."
"You have no default shipping address in your address book.","No hay ninguna dirección de envío por defecto en tu libreta de direcciones."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"You have placed no products yet.","No ha elegido ningún producto."
"Your account balance is: %s","El balance de tu cuenta es: <strong>%s</strong>"
"Zip/Postal Code","Zip/Código postal"
