"Action","Acción"
"Add New Template","Añadir Nueva Plantilla"
"Are you sure that you want to delete this template?","¿Está seguro que quiere borrar esta plantilla?"
"Back","Atrás"
"Cancel","Cancelar"
"Convert to Plain Text","Convertir a texto plano"
"Customer","Cliente"
"Date Added","Fecha Añadida"
"Date Updated","Fecha de actualización"
"Delete","Borrar"
"Delete Template","Borrar plantilla"
"Edit Template","Editar plantilla"
"Email","Correo"
"Guest","Invitado"
"Message","Mensaje"
"New Template","Nueva plantilla"
"Newsletter","Boletín"
"No Templates Found","No se han encontrado plantillas"
"Preview","Previsualización"
"Preview Template","Previsión de la Plantilla"
"Reset","Resetear"
"Save Template","Guardar plantilla"
"Sender","Remitente"
"Sign up for our newsletter","Suscribirse al Boletín"
"Status","Estado"
"Store","Tienda"
"Subject","Asunto"
"Subscribe","Suscribir"
"Template Content","Plantilla de contenido"
"Template Information","Plantilla de información"
"Template Name","Nombre de plantilla"
"Template Subject","Tema de la Plantilla"
"Template Type","Tipo de plantilla"
"There was a problem with the subscription: %s","Se produjo un error con la suscripción: %s"
"Type","Tipo"
"Website","Sitio Web"
