"1 Day Freight","Entrega en 1 dia"
"2nd Day Air AM","Via aérea el 2Día AM"
"2nd Day Air AM Letter","Carta Via aérea el 2Día AM"
"3 Day Freight","Entrega en 3 dias"
"3 Day Select","Elegir 3 dias"
"Calculate Handling Fee","Calcular Tarifa por Transporte"
"Commercial","Comercial"
"Configuration","Configuración"
"Customer Packaging","Envio de cliente"
"Drop Box","Entrega de caja"
"FedEx Box","Caja FedEx"
"FedEx Envelope","Sobre de FedEx"
"FedEx Pak","Pack de FedEx"
"First Overnight","De la noche a la mañana"
"Flat","Plano"
"Ground","Tierra"
"Ground Commercial","Terreno comercial"
"Ground Residential","Terreno residencial"
"Home Delivery","Entrega en casa"
"Intl Economy Freight","Reparto económico internacional"
"Large","Largo"
"Letter","Carta"
"Next Afternoon","Tarde siguiente"
"Next Day Air Intra (Puerto Rico)","Next Day Air (Puerto Rico)"
"Next Day Air Saver","Vía aérea económica al siguiente dia"
"Non-rectangular","No rectangular"
"None","Ninguno"
"Order #%s","orden #%s"
"Other","Otro"
"Password","Contraseña"
"Pounds","Libras"
"Priority Mail","Correo prioritario"
"Priority Overnight","Prioridad de la noche a la mañana"
"Regular Pickup","Entrega normal"
"Request Courier","Petición de mensajero"
"Required","Obligatorio"
"Residential","Residencial"
"Sample","Muestra"
"Second Day Service","Servicio dos dias"
"Sender","Remitente"
"Sort Order","Ordenar por tipo"
"Standard Overnight","Standard de la noche a la mañana"
"Station","Estación"
"Title","Titulo"
"User ID","ID de Usuario"
"Yes","Si"
"Your Packaging","Su Embalaje"
