"# of Uses","# de Usos"
"Action","Acción"
"Add","Añadir"
"Add New Tag","Añadir Nueva Etiqueta"
"Add Tags","Añadir Etiqueta"
"Add Your Tags:","Añadir Sus Etiquetas:"
"Add to Cart","Añadir al Carro"
"Add to Wishlist","Añadir a Lista de deseos"
"All Tags","Todas las etiquetas"
"Approved","Aprobado"
"Are you sure you want to delete this tag?","¿Usted está seguro que quieres eliminar esta etiqueta?"
"Are you sure you want to do this?","Está seguro que quiere hacer eso?"
"Are you sure?","¿Está usted seguro?"
"Back","Atrás"
"Back to Tags List","Volver a la Lista de Etiquetas"
"Block Information","Información de bloque"
"CSV","csv"
"Change status","Cambie estado"
"Click on a tag to view your corresponding products.","Haga clic en una etiqueta para ver los productos correspondientes."
"Country","País"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes Etiquetados '%s'"
"Delete","Borrar"
"Delete Tag","Eliminar Etiqueta"
"Disabled","Desabilitado"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Correo"
"First Name","Nombre"
"General Information","Información general"
"Grid","Rejilla"
"Last Name","Apellido"
"List","Lista"
"My Recent Tags","Mis Etiquetas Reciente"
"My Tags","Mis etiquetas"
"Name","Nombre"
"New Tag","Nueva etiqueta"
"No matches found.","No se encontraron coincidencias."
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular Tags","Etiquetas más Populares"
"Price","Precio"
"Product Name","Nombre del Producto"
"Product Tags","Etiquetas del Producto"
"Products","Productos"
"Products Tagged with '%s'","Productos Etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Remove","Remover"
"Save Tag","Etiqueta Guardada"
"Status","Estado"
"Tag","Etiqueta"
"Tag Name","Nombre de Etiqueta"
"Tags","Etiquetas"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Unable to find any products tagged with '%s' in the current store","No se puede encontrar cualquier producto con la etiqueta '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se puede quitar la etiqueta. Por favor, vuelva a intentarlo más tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar las etiquetas. Use comillas simples (') para las frases."
"View All Tags","Ver Todas las Etiquetas"
"View Customers","Ver Clientes"
"View Products","Ver Productos"
"You have not tagged any products yet.","No ha etiquetado ningún producto todavía."
