"--Please Select--","Elegir"
"Card Verification Number","Número de verificación de la tarjeta"
"Card Verification Number Visual Reference","Referencia Visual del Número de Verificación de la Tarjeta"
"Close","Cerrar"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Types","Tipos de Tarjetas de Crédito"
"Credit Card Verification","Verificación de la Tarjeta de Crédito"
"Enabled","Habilitado"
"Expiration Date","Fecha de finalización"
"Maximum Order Total","Total máximo del pedido"
"Minimum Order Total","Total mínimo del pedido"
"Payment Action","Acción de Pago"
"Payment authorization error.","Error de autorización del Pago."
"Sort Order","Ordenar por tipo"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, póngase en contacto con nosotros o intente de nuevo más tarde."
"Title","Titulo"
"What is this?","¿Qué es esto?"
