"* Required Fields","* Campos Obligatorios"
"Address","Dirección"
"Address Information","Información de dirección"
"Already registered?","¿Está registrado?"
"Back","Atrás"
"Checkout as Guest","Comprar como invitado"
"Checkout as a Guest or Register","Compre como Invitado o Regístrese"
"City","Ciudad"
"Close","Cerrar"
"Company","Compañía"
"Confirm Password","Confirmar contraseña"
"Country","País"
"Create an Account","Crear una Cuenta"
"Easy access to your order history and status","Fácil acceso para su historial de pedidos y estado"
"Email Address","Correo Electrónico"
"Fast and easy check out","Compra rápida y fácil"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot your password?","¿Olvidó su contraseña?"
"General Options","Opciones Generales"
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingreso"
"Login Information","Información de ingreso"
"Login or Create an Account","Ingresar o crear una cuenta"
"Password","Contraseña"
"Personal Information","Información personal"
"Register","Registrar"
"Register and save time!","¡Registrate y ahorra tiempo!"
"Registered Customers","Clientes registrados"
"Select State/Province...","Seleccionar Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una"
"Ship to different address","Envío a una dirección diferente"
"Ship to this address","Envío a esta dirección"
"Sign Up for Newsletter","Suscribirse al Boletín"
"State/Province","Estado/Provincia"
"Street Address","Dirección"
"Telephone","Teléfono"
"Welcome, %s!","Bienvenido, %s!"
"Zip/Postal Code","Zip/Código postal"
