"Active","Activo"
"Add Attribute Mapping","Añadir atributo de mapeo"
"Add New Attribute","Añadir Nuevo Atributo"
"Add to Google Base","Añadir a Google Base"
"Are you sure?","¿Está usted seguro?"
"Attribute","Atributo"
"Attribute Set","Attribute Conjunto"
"Attribute Set and Item Type","Configuración de Atributo y Tipo de Item"
"Attributes","Características"
"Attributes Set","Configuración de Atributos"
"Available Products","Productos Disponibles"
"Captcha confirmation error: %s","Error de Confirmación Captcha: %s"
"Catalog","Catálogo"
"Clicks","Clics"
"ClientLogin","IngresoCliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","El mapeo actual se recargará. ¿Continuar?"
"Custom attribute, no mapping","Atributos personalizados, sin mapeo"
"Delete","Borrar"
"Delete Mapping","Borrar Mapeo"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item ""%s"""
"Expires","Vencimineto"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Tipo de Item Google Base"
"Google Base Item type","Tipo de Item Google Base"
"Hide","Ocultar"
"Invalid Product Model for Google Base Item","Modelo de Producto incorrecto para Item Google Base"
"Item Type was deleted","Tipo de Item borrado"
"Item Types","Tipos de Item"
"Manage Attribute Mapping","Gestionar Mapeo de Atributos"
"Manage Attributes","Administrar Atributos"
"Manage Items","Gestionar Items"
"No items were deleted from Google Base","No se borraron items de Google Base"
"No items were published","No hay items publicados"
"No products were added to Google Base","No hay productos agregados a Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, elija el conjunto de atributos y el Tipo de Elemento Google para cargar atributos"
"Product Name","Nombre del Producto"
"Publish","Publicado"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Grabar Mapeo"
"Synchronize","Sincronizar"
"Target Country","País Destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualiza las estadísticas del item y retira los items que no están disponibles en Google Base. ¿Continuar?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","No se úede conectar a Google Base. Por favor, verifique las configuraiones de la cuenta."
"View Available Products","Ver Productos Disponibles"
"View Item in Google Base","Ver Item en Google Base"
"Yes","Si"
