"%d Review(s)","%d Revisiones(s)"
"(Posted on %s)","(Posteado on %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add Your Review","A&ntilde;ada su revisi&oacute;n"
"Approved","Aprobado"
"Are you sure you want to do this?","Está seguro que quiere hacer eso?"
"Are you sure?","¿Está usted seguro?"
"Average Customer Rating","Clasificaci&oacute;n de Cliente Media"
"Average Customer Rating:","Clasificaci&oacute;n media de Cliente:"
"Back","Atrás"
"Back to My Reviews","Vuelta a mis Revisiones"
"Back to Product Reviews","Vuelta a Revisiones de Productos"
"Be the first to review this product","Sea el primero en revisar este producto"
"Customer","Cliente"
"Customer Reviews","Revisiones de Clientes"
"Customers Reviews","Clientes Comentarios"
"Delete","Borrar"
"Guest","Invitado"
"How do you rate this product?","C&oacute;mo clasificar&iacute;as a este producto?"
"Manage Ratings","Gestionar valoraciones"
"My Product Reviews","Mis revisiones de Producto"
"My Recent Reviews","Mis revisiones recientes"
"Name","Nombre"
"Nickname","Apodo"
"Pending","Pendiente"
"Please select one of each of the ratings above","Por favor, seleccione una de las clasificaciones de arriba"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del Producto"
"Product Rating:","Clasificaci&oacute;n del Producto:"
"Product Review (submitted on %s):","<strong>Revisi&oacute;n de producto</strong> (enviada en %s):"
"Product Reviews","Comentarios del Producto"
"Products Reviews","Comentarios de Productos"
"Qty","Cant."
"Rating:","Clasificaci&oacute;n:"
"Review","Revisar"
"Review Details","Detalles de Clasificacion"
"Review by %s","Clasificado por %s"
"Reviews","Comentarios"
"Reviews and Ratings","Opiniones y Clasificaciones"
"Save Review","Guardar Opinion"
"Status","Estado"
"Submit Review","Enviar Opinion"
"Summary Rating","Resumen de Clasificación"
"Summary of Review","Resumen de Opinion"
"Summary of Your Review","Resumen de Su Opinion"
"Title","Titulo"
"Type","Tipo"
"View All Reviews","Ver Todas las Opiniones"
"View Details","Ver Detalles"
"Write Your Own Review","Escriba su Propia Opinion"
"You have submitted no reviews.","No ha enviado comentarios."
"Your Rating:","Su Clasificación:"
"Your Review (submitted on %s):","Su opinión (enviada en %s):"
