"* Required Fields","* Campos Obligatorios"
"Add New Address","Añadir nueva dirección"
"Add to Cart","Añadir al Carro"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de deseos"
"Address","Dirección"
"Address %s of %s","Dirección <span class=""shipment-count"">%s</span> de %s"
"Already registered?","¿Está registrado?"
"Apply","Aplicar"
"Apply Coupon","Usar Cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Estas seguro de que quieres eliminar este artículo del carro de compra?"
"Back","Atrás"
"Billing Address","Dirección de facturación"
"Billing Information","Información de Facturación"
"Cancel","Cancelar"
"Card Verification Number Visual Reference","Referencia Visual del Número de Verificación de la Tarjeta"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkout","Comprar"
"Checkout as Guest","Comprar como invitado"
"Checkout as a Guest or Register","Compre como Invitado o Regístrese"
"Checkout with Multiple Addresses","Comprar con Múltiples Direcciones"
"City","Ciudad"
"Close","Cerrar"
"Company","Compañía"
"Confirm Password","Confirmar contraseña"
"Continue to Billing Information","Continuar con la Información de Facturación"
"Continue to Review Your Order","Continue la Revisión de Su Pedido"
"Country","País"
"Create Billing Address","Crear dirección de facturación"
"Create Shipping Address","Crear Dirección de Envío"
"Default Billing","Dirección prederterminada"
"Default Shipping","Envío Predeterminado"
"Disabled","Desabilitado"
"Discount Codes","Códigos de descuento"
"Easy access to your order history and status","Fácil acceso para su historial de pedidos y estado"
"Edit","Editar"
"Edit Address","Editar Dirección"
"Edit Billing Address","Editar Dirección de Facturación"
"Edit Items","Editar Artículos"
"Edit Shipping Address","Editar Dirección de Envío"
"Edit Your Cart","Editar su carro"
"Email Address","Correo Electrónico"
"Enabled","Habilitado"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your destination to get a shipping estimate.","Ingrese su destino para hacer una estimación del envío."
"Estimate Shipping and Tax","Calcular Envío e Impuestos"
"Fast and easy check out","Compra rápida y fácil"
"Forgot an Item?","¿Olvidó un Artículo?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Solicitar una Cotización"
"Gift Message","Mensaje del Regalo"
"Grand Total:","Total:"
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingreso"
"Move","Mover"
"Move to Wishlist","Mover a Listado"
"Order Review","Revisar Pedido"
"Order Success","Pedido Procesado correctamente"
"Password","Contraseña"
"Payment Information","Información de Pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Lugar del pedido"
"Please select shipping methods for all addresses","Por favor seleccione el método de envío para todas las direcciones"
"Price","Precio"
"Proceed to Checkout","Proceder a Comprar"
"Product","Producto"
"Product Name","Nombre del Producto"
"Products","Productos"
"Qty","Cant."
"Qty:","Cant:"
"Register","Registrar"
"Register and save time!","¡Registrate y ahorra tiempo!"
"Remove Item","Eliminar Artículo"
"Remove This Item","Eliminar Este Artículo"
"Review Order","Revisar Pedido"
"Select Address","Seleccione dirección"
"Select Addresses","Seleccionar direcciones"
"Select Shipping Method","Seleccione método de pago"
"Select State/Province...","Seleccionar Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o introduzca una"
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío en su libreta de direcciones o introduzca una<a href=""#"" onclick=""shipping.newAddress(true)
You will receive an order confirmation email with details of your order and a link to track its progress.,Usted recibirá una confirmación del pedido por correo electrónico con los detalles de su pedido y un enlace para seguir el progreso.
Your Checkout Progress,Su progreso de facturación
&laquo
&laquo
You may check out as a guest or register with us for future convenience:,Puede comprar como invitado o registrarte con nosotros para ventajas futuras:
Continue Shopping,Continuar comprando
Zip/Postal Code,Codigo Postal/Zip
Update Qty &amp
Product Name,Nombre del producto
Your order number is %s,Tu número de orden es %s
* Required Fields,* Campos requeridos
Items,Artículos
Continue to Shipping Information,Continuar con la Información de Envío
Ship to this address"""
"Send Payment Failed Email Copy Method","Enviar Pago Erroneo por Correo Electronico con Metodo"
"Send Payment Failed Email Copy To","Enviar Pago Erroneo por Correo Electronico con Copia a"
"Ship to Multiple Addresses","Envíar a Múltiples Direcciones"
"Ship to different address","Envío a una dirección diferente"
"Ship to this address","Envío a esta dirección"
"Shipping Address","Dirección de Embarque"
"Shipping Information","Información de Envío"
"Shipping Method","Método de Envío"
"Shipping Methods","Métodos de Envío"
"Shipping method has not been selected yet","Aún no ha seleccionado el método de envío"
"Shopping Cart","Carro de Compra"
"Shopping Cart Sidebar","Carro de Compra Barra Lateral"
"Shopping Cart is Empty","El Carro de Compra está Vacío"
"Show Content as","Mostrar Contenido como"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo sentimos, pago y envío para invitados no está habilitada. Vuelva a intentarlo o póngase en contacto con propietario de la tienda."
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay citas disponibles para este pedido en este momento."
"State/Province","Estado/Provincia"
"Status","Estado"
"Street Address","Dirección"
"Submitting order information...","Agregue otra información..."
"Telephone","Teléfono"
"Terms and Conditions","Terminos y Condiciones"
"Terms and Conditions Information","Información de Terminos y Condiciones"
"Terms and conditions","Terminos y condiciones"
"Text","Texto"
"Thank you for your purchase!","¡Gracias por su compra!"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, póngase en contacto con nosotros o intente de nuevo más tarde."
"Total for this address","Total para esta dirección"
"Unit Price","Precio Unidad"
"Update Qty &amp; Addresses","Actualizar cantidad &amp; de Direcciones"
"Update Shopping Cart","Actualizar el Carro de Compra"
"Update Total","Actualizar Total"
"Use Billing Address","Usar Dirección de Facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y pronto recibirá un correo electrónico con los detalles de la orden. Una vez que el pedido ha sido enviado, usted recibirá otro email con un enlace para el seguimiento de su progreso."
"You have no items in your shopping cart.","No tiene artículos en su carro de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Usted recibirá un correo electrónico de confirmación de pedido con los detalles de su pedido y un enlace para el seguimiento de su progreso."
"Your Checkout Progress","Su Progreso de Compra"
"Your order number is ","Su número de orden es "
"Zip/Postal Code","Zip/Código postal"
