"* Required Fields","* Campos Obligatorios"
"--Please Select--","Elegir"
"<label>Make Check payable to:</label> %s","<label>Haga el Cheque a Nombre de:</label> %s"
"Card Verification Number","Número de verificación de la tarjeta"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Number: xxxx-%s","<strong>Número de tarjeta de crédito:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","<strong>Tipo de tarjeta de crédito:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Tipos de Tarjetas de Crédito"
"Currency","Divisa"
"Day","Día"
"Enabled","Habilitado"
"Expiration Date","Fecha de finalización"
"Expiration Date: %s/%s","Fecha de finalización: %s/%s"
"Make Check payable to: %s","Haga el cheque a nombre de: %s"
"Maximum Order Total","Total máximo del pedido"
"Minimum Order Total","Total mínimo del pedido"
"Month","Mes"
"N/A","N/D"
"Name on the Card: %s","<strong>Nombre que aparece en la tarjeta:</strong> <span class=""nowrap"">%s</span>"
"Password","Contraseña"
"Payment Method","Método de pago"
"Payment Methods","Formas de Pago"
"Payment Methods Section","Sección Formas de Pago"
"Purchase Order Number","Orden de Compra Número"
"Purchase Order Number: %s","Orden de Compra Número: %s"
"Saved CC","Guardar CC"
"Send Check to","Enviar Comprobante a"
"Send Check to:","Enviar Comprobante a:"
"Shipping Amount","Cantidad Despachada"
"Sort Order","Ordenar por tipo"
"Tax Amount","Monto del Impuesto"
"Title","Titulo"
"What is this?","¿Qué es esto?"
