"%s Item(s)","%s Artículo(s)"
"(Shift-)Click or drag to change value","(Mayús-)Clic o arrastrar para cambiar el valor"
"- Click on any of the time parts to increase it","Haga clic en cualquier parte del tiempo para incrementarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Presione la tecla del ratón en uno de los botones de encima para una selección rápida."
"- Use the %s buttons to select month","- Use el botón %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Use el botón %s para seleccionar el año"
"- or Shift-click to decrease it","- o Mayús-clic para disminuirlo"
"- or click and drag for faster selection.","- o clic y arrastrar para una selección rápida."
"-- Please Select --","Elegir"
"About the calendar","Acerca del calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">Aquí</a> si nada a ocurrido"
"Close","Cerrar"
"Close Window","Cerrar Ventana"
"Default welcome msg!","Mensaje de bienvenida predeterminado!"
"Empty","Vacío"
"For latest version visit: %s","Por la última versión visitada: %s"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener saludable a OpenMage"
"Interface Language","Idioma de la Interfaz"
"Items %s to %s of %s total","%s Artículos a %s de %s total"
"Next","Siguiente"
"Page:","Página:"
"Previous","Anterior"
"Redirecting...","Redirigir..."
"Report All Bugs","Reportar todos los errores"
"Search","Buscar"
"Select Store","Seleccionar Tienda"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de ésta tienda no será tenido en cuenta ni despachado."
"View All","Ver todo"
"Welcome, %s!","Bienvenido, %s!"
"Your Language","Su Lenguaje"
"Your Language:","Su Lenguaje:"
"per page","por página"
