"* Required Fields","* Campos Obligatorios"
"Close","Cerrar"
"Created At","Creado el"
"Customer","Cliente"
"Delete","Borrar"
"Disable","Desactivar"
"Disabled","Desabilitado"
"Edit","Editar"
"Email","Correo"
"Email Address","Correo Electrónico"
"Enable","Habilitar"
"Enabled","Habilitado"
"Login","Ingreso"
"Name","Nombre"
"Password","Contraseña"
"Permissions","Permisos"
"Reject","Rechazar"
"Role Name","Nombre del rol"
"Save","Guardar"
"Status","Estado"
"System","Sistema"
"User ID","ID de Usuario"
"User Name","Nombre de usuario"
