" and ","y"
"(For US 2-letter state names)","Para US las 2 letras del nombre del Estado"
"(If left empty will be auto-generated)","si se deja en blanco será autogenerado"
"(Leave empty for first spreadsheet)","(Dejar en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos deberán ser añadidos/actualizados a esta tienda si la columna 'tienda' está en blanco o falta en el archivo de importación)"
"(Shift-)Click or drag to change value","(Mayús-)Clic o arrastrar para cambiar el valor"
"(Starting with)","Comenzar con"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","Elegido 'No', solamente los campos mapeados serán importados. Eligiendo 'mapeado', usar 'columna1', 'columna2', etc."
"(You have to increase php memory_limit before changing this value)","Deberá incrementar php memory_limit antes de cambiar este valor"
"(\t for tab)","t para tab"
"* Required Fields","* Campos Obligatorios"
"- Click on any of the time parts to increase it","Haga clic en cualquier parte del tiempo para incrementarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Presione la tecla del ratón en uno de los botones de encima para una selección rápida."
"- Use the %s buttons to select month","- Use el botón %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Use el botón %s para seleccionar el año"
"- or Shift-click to decrease it","- o Mayús-clic para disminuirlo"
"- or click and drag for faster selection.","- o clic y arrastrar para una selección rápida."
"-- Please Select --","Elegir"
"-- Please select --","Elegir"
"--Please Select--","Elegir"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"2YTD","2 YTD"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Error 404</h1><p>Página no encontrada.</p>"
"About the calendar","Acerca del calendario"
"Account Created in:","Cuenta Creada en:"
"Account Created on (%s):","Cuenta Creada el (%s):"
"Account Created on:","Cuenta Creada el:"
"Account Information","Información de Cuenta"
"Account status","Estado de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Actions XML","Acciones XML"
"Active","Activo"
"Add","Añadir"
"Add Exception","Añadir Excepción"
"Add Field Mapping","Añadir Mapeo de Campo"
"Add Field with URL:","Añadir Campo con URL:"
"Add New","Añadir Nuevo"
"Add New Block","Añadir Nuevo Bloque"
"Add New Image","Añadir Nueva Imagen"
"Add New Profile","Añadir Nuevo Perfil"
"Add New Role","Añadir Nuevo Rol"
"Add New Template","Añadir Nueva Plantilla"
"Add New User","Añadir Nuevo Usuario"
"Add after","Añadir después"
"Address Type:","Tipo de Dirección:"
"Advanced Admin Section","Seccion Admin Avanzada"
"Advanced Profiles","Perfiles Avanzados"
"Advanced Section","Sección Avanzada"
"All","Todos"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Todo el Caché"
"All Files","Todos los archivos"
"All Store Views","Todas las vistas de tienda"
"All Tags","Todas las etiquetas"
"All Websites","Todos los sitios web"
"All countries","Todos los paises"
"All fields","Todos los campos"
"Amounts","Montos"
"Any","Cualquiera"
"Any Attribute Set","Cualquier conjunto de atributos"
"Any Group","Cualquier grupo"
"Any Status","Cualquier estado"
"Any Store","Cualquier tienda"
"Any Type","Cualquier Tipo"
"Any Visibility","Cualquier Visibilidad"
"Archive file name:","Nombre de Archivo:"
"Are you sure that you want to delete this template?","¿Está seguro que quiere borrar esta plantilla?"
"Are you sure that you want to strip tags?","¿Está seguro de que quiere deshacer el etiquetado?"
"Are you sure you want to do this?","Está seguro que quiere hacer eso?"
"Area","Área"
"Assigned","Asignada"
"Attribute Set Name:","Nombre de Conjunto de Atributos:"
"Attributes","Características"
"Average Order Amount","Promedio de Monto de Pedidos"
"Average Orders","Promedio de Pedidos"
"Back","Atrás"
"Back to Login","Ir al Ingreso"
"Backup","Respaldo"
"Backup options","Opciones de respaldo"
"Backups","Copias de seguridad"
"Base currency","Moneda Base"
"Bestsellers","Más vendidos"
"Billing Address","Dirección de facturación"
"Block Information","Información de bloque"
