"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impuesto."
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"* Required Fields","* Campos Obligatorios"
"-- Please Select --","Elegir"
"A name is required","Se requiere un nombre"
"ALL GROUPS","TODOS LOS GRUPOS"
"Action","Acción"
"Add","Añadir"
"Add Attribute","Añadir Atributo"
"Add Design Change","Añadir Cambio de Diseño"
"Add Group","Añadir Grupo"
"Add New","Añadir Nuevo"
"Add New Attribute","Añadir Nuevo Atributo"
"Add New Attribute Set","Añadir Nuevo Conjunto de Atributos"
"Add New Group","Añadir Nuevo Grupo"
"Add New Images","Añadir Nueva Imagenes"
"Add New Option","Añadir Nueva Opción"
"Add New Row","Añadir Nueva Fila"
"Add New Search Term","Añadir Nuevo Termino de Busqueda"
"Add New Set","Añadir Nuevo Conjunto"
"Add Product","Añadir Producto"
"Add Product To Websites","Añadir Producto a Sitio Web"
"Add Root Category","Añadir Categoria Raiz"
"Add Subcategory","Añadir Subcategoria"
"Add Tax","Añadir Impuesto"
"Add Tier","Añadir Nivel"
"Add to Cart","Añadir al Carro"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de deseos"
"Additional Information","Información Adicional"
"All","Todos"
"All Product Types","Todos los Tipos de Productos"
"All Websites","Todos los sitios web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos de este conjunto serán borrados! ¿Seguro que quieres borrar este conjunto de atributos?"
"Allowed File Extensions","Permitir Extenciones de Archivo"
"Allowed file extensions to upload","Permitir extenciones de archivo a subir"
"Amount","Cantidad"
"Apply To","Aplica A"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Usted esta seguro que quieres eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Usted esta seguro de que quieres eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Usted esta seguro de que quieres eliminar este elemento de los productos comparar?"
"Are you sure?","¿Está usted seguro?"
"Assign","Asignar"
"Assign product link","Asignar enlace del producto"
"Assign product to category","Asignar producto a la categoría"
"Assigned Products","Productos Asignados"
"Associated Products","Productos Asociados"
"Attrib. Set Name","Nombre del Atributo Establecido"
"Attribute Information","Atributo Información"
"Attribute Model","Atributo Modelo"
"Attribute Name:","Atributo Nombre:"
"Attribute Set","Attribute Conjunto"
"Attribute group with the ""/name/"" name already exists","Atributo grupo con el nombre ""/name/"" ya existe"
"Attribute with the same code already exists","Atributo con el mismo código ya existe"
"Attributes","Características"
"Autogenerate","Autogenerar"
"Availability:","Disponibilidad:"
"Back","Atrás"
"Backend Model","Backend Modelo"
"Backend Table","Backend Tabla"
"Backend Table Title","Backend Titulo de Tabla"
"Backorders","Pedidos Pendientes"
"Best Value","Mejor Valoración"
"Block after Info Column","Bloquear después columna de información"
"Bottom/Left","Boton/Izquierda"
"Bottom/Right","Boton/Derecha"
"Browse By","Buscar Por"
"Bundle Items","Agrupar artículos"
"Buy %1$s for %2$s","Compra %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s por %2$s (%3$s incl. impuesto) c/u"
"Buy %1$s for %2$s each","Compra %1$s por %2$s c/u"
"Can be used only with catalog input type Dropdown","Sólo se puede utilizar con el tipo de entrada de catálogo desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo se puede utilizar con el tipo de entrada de catálogo desplegable, Selección Múltiple y Precio"
"Can't create image.","No se puede crear la imagen."
"Cancel","Cancelar"
"Cart Item Attribute","Compras Articulo Atributo"
"Catalog","Catálogo"
"Catalog Price Scope","Catalogo Precio Alcance"
"Catalog Section","Catalogo Sección"
"Catalog, Search","Catalogo, Busqueda"
"Categories","Categorias"
"Categories Sitemap","Categorias Mapeo del Sitio"
"Category","Categoría"
"Category API","Categoría API"
"Category Data","Categoría Data"
"Category Products","Categoría Productos"
"Category Top Navigation","Categoría Top de Navigación"
"Category URL Suffix","Categoría Sufijo URL "
"Category attributes API","Categoría atributos API"
"Category move error","Categoría error al mover"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambie o Recuperar atributo vista de tienda"
"Change status","Cambie estado"
"Check items to add to the cart or","Compruebe los elementos a añadir al carro o"
"Choose an Option...","Elegir una Opción..."
"Clear All","Limpiar Todo"
"Close Window","Cerrar Ventana"
"Collapse All","Contraer Todo"
"Comparable on Front-end","Comparable en Front-end"
"Compare Products","Comparar Productos"
"Conditions Combination","Condiciones Combinación"
"Configurable Product","Configurable Producto"
"Configurable Product Settings","Configurable Producto Configurables"
"Copy From Configurable","Copie de Configurable"
"Country/State","Pais/Estado"
"Create","Crear"
"Create (Upload)","Crear (Subir)"
"Create Empty","Crear Vacío"
"Create Product Settings","Crear Producto Configurables"
"Create Simple Associated Product","Crear Simple Asociado a Producto"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Cross-sells","Ventas-cruzadas"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones Personalizadas"
"Customer Group","Grupo de Cliente"
"Customers Reviews","Clientes Comentarios"
"Customers Tagged Product","Clientes Etiquetado de Productos"
"Data Type for Saving in Database","Tipo de Datos de Ahorro en Base de Datos"
"Date & Time Custom Options","Fecha y Hora de Opciones Personalizadas"
"Date Subscribed","Fecha Suscrito"
"Declare attribute value saving scope","Declarar valor del atributo ahorro alcance"
"Default Qty","Cant por Defecto"
"Delete","Borrar"
"Delete Attribute","Eliminar Atributo"
"Delete Attribute Set","Eliminar Conjunto de Atributos"
"Delete Category","Eliminar Categoría"
"Delete Option","Eliminar Opción"
"Delete Row","Eliminar Fila"
"Delete Search","Eliminar Busqueda"
"Delete Selected Group","Eliminar Grupo Selecionado"
"Delete category","Eliminar categoría"
"Delete product","Eliminar producto"
"Depends on design theme","Depende del tema de diseño"
"Description","Descripción"
"Design","Diseño"
"Disabled","Desabilitado"
"Display in Suggested Terms","Pantalla en Términos Sugeridos"
"Double click on a group to rename it","Haga clic en un grupo para cambiarle el nombre"
"Double click on above image to view full picture","Haga clic en la imagen para verla en tamaño completo"
"Downloadable Information","Información para Descargar"
"Duplicate","Duplicado"
"Duplicate website tier price customer group and quantity.","Duplicar página web del grupo de clientes precio de nivel y cantidad."
"Duplicate website, country and state tax found.","Duplicar página web, el país y estatdo con impuesto encontrado."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo del Producto"
"Edit Product Attribute ""%s""","Editar Atributo del Producto ""%s"""
