"%s's Wishlist","Listados %s"
"* Required Fields","* Campos Obligatorios"
"Add All to Cart","Añadir todo al carro"
"Add to Cart","Añadir al Carro"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de deseos"
"Are you sure you want to remove this product from your wishlist?","¿Seguro que quieres eliminar este producto de su lista de deseos?"
"Are you sure you would like to remove this item from the wishlist?","¿Estás seguro de que quieres eliminar este elemento de la lista de deseos?"
"Back","Atrás"
"Can't save description %s","No se puede guardar descripción %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si desea agregar un enlace a un canal rss a su lista de deseos."
"Comment","Comentario"
"Date Added","Fecha Añadida"
"Edit","Editar"
"Email Sender","Remitente del Correo"
"Email Template","Plantilla de Correo"
"Email address can't be empty.","La dirección de correo electrónico no puede estar vacía."
"Email addresses, separated by commas","Direcciones de correo, separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones Generales"
"Go to Wishlist","Ir a Lista de deseos"
"In stock","En existencia"
"Last Added Items","Últimos artículos agregados"
"Message","Mensaje"
"My Wishlist","Mi Listado"
"My Wishlist (%d item)","Mi Lista de deseos (%d artículo)"
"My Wishlist (%d items)","Mi Lista de deseos (%d artículos)"
"Out of stock","Sin existencia"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor ingrese una dirección de correo válida, separadas por comas. Por ejemplo johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Por favor, ingrese sus comentarios..."
"Price","Precio"
"Product","Producto"
"Qty","Cant."
"RSS Feed","Canal RSS"
"RSS link to %s's wishlist","Enlace RSS a %s's lista de deseos"
"Remove Item","Eliminar Artículo"
"Remove This Item","Eliminar Este Artículo"
"Share Wishlist","Compartir Lista de deseos"
"Share Your Wishlist","Compartir su Lista de deseos"
"Sharing Information","Compartir Información"
"Update Wishlist","Actualizar Lista de deseos"
"View Details","Ver Detalles"
"View Product","Ver Producto"
"Wishlist","Listado"
"Wishlist Section","Sección Lista de deseos"
"Wishlist Sharing","Compartiendo Lista de deseos"
"Wishlist is empty now.","Lista de deseos está ahora vacía"
"You have no items in your wishlist.","No tiene artículos en su Lista de deseos."
