"* Required Fields","* Campos Obligatorios"
"-- Please Select --","Elegir"
"About Your Order","Sobre tu pedido"
"Account Information","Información de Cuenta"
"Action","Acción"
"Actions","Acciones"
"Active","Activo"
"Add","Añadir"
"Add New Address","Añadir nueva dirección"
"Add to Cart","Añadir al Carro"
"Address","Dirección"
"Amount","Cantidad"
"Apply","Aplicar"
"Are you sure you want to do this?","Está seguro que quiere hacer eso?"
"Are you sure?","¿Está usted seguro?"
"Back","Atrás"
"Back to My Orders","Volver a mis pedidos"
"Backordered","Pendientes de"
"Bestsellers","Más vendidos"
"Billing Address","Dirección de facturación"
"CSV","csv"
"Cancel","Cancelar"
"Canceled","Cancelado"
"Carrier/Method","Método/Despacho"
"City","Ciudad"
"Close","Cerrar"
"Closed","Cerrado"
"Comment","Comentario"
"Comments History","Historial de Comentarios"
"Company","Compañía"
"Contents","Contenidos"
"Country","País"
"Coupons","Cupones"
"Create","Crear"
"Created At","Creado el"
"Credit Memo","Nota de crédito"
"Credit Memos","Notas de Crédito"
"Customer","Cliente"
"Customer Group","Grupo de Cliente"
"Date","Fecha"
"Delete","Borrar"
"Discount","Descuento"
"Edit","Editar"
"Email","Correo"
"Email Address","Correo Electrónico"
"Enable","Habilitar"
"Enabled","Habilitado"
"First Name","Nombre"
"From","De"
"From:","De:"
"General Information","Información general"
"Gift Message","Mensaje del Regalo"
"Go to Home Page","Ir a Inicio"
"Grand Total","Total"
"Guest","Invitado"
"Home","Inicio"
"Invoice #%s","Factura #%s"
"Invoiced","Facturado"
"Invoices","Facturas"
"Items Ordered","Artículos Pedidos"
"Last Name","Apellido"
"Message","Mensaje"
"Message:","Mensaje:"
"Mixed","Mezclado"
"Most Viewed","Más Vistos"
"Move to Wishlist","Mover a Listado"
"My Orders","Mis pedidos"
"My Orders - Details","Mis Pedidos - Detalles"
"N/A","N/D"
"Name","Nombre"
"Number of Refunded Orders","Número de Pedidos Devueltos"
"Offline Refunded","Reembolsado fuera de línea"
"Online Refunded","Reembolsado en línea"
"Order #%s","orden #%s"
"Order Date: %s","<p><strong>Fecha de Pedido:</strong> %s</p>"
"Order Details","Detalles del Pedido"
"Order History","Historial de pedidos"
"Order Status","Estado del Pedido"
"Order Subtotal","Subtotal del Pedido"
"Order Totals","Total de pedidos"
"Ordered","Pedido"
"Orders","Pedidos"
"Partial","Parcial"
"Payment Information","Información de Pago"
"Payment Method","Método de pago"
"Pending","Pendiente"
"Price","Precio"
"Print All Invoices","Imprimir todas las facturas"
"Print Invoice","Imprimir Factura"
"Product","Producto"
"Product Name","Nombre del Producto"
"Products","Productos"
"Qty","Cant."
"Qty Ordered","Cant""."" pedida"
"Qty Shipped","Cant""."" Embarcada"
"Quantity Ordered","Cantidad Pedida"
"Rate","Tasa"
"Recent Orders","Pedidos recientes"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed Products","Productos Vistos Recientemente"
"Remove","Remover"
"Returned","Devuelto"
"Revenue","Ingreso"
"Select All","Seleccionar todos"
"Shipment","Despacho"
"Shipments","Envios"
"Shipped","Despachado"
"Shipping","Envio"
"Shipping & Handling","Gastos de Envío y Manipulación"
"Shipping Address","Dirección de Embarque"
"Shipping Amount","Cantidad Despachada"
"Shipping Information","Información de Envío"
"Shipping Method","Método de Envío"
"Shopping Cart","Carro de Compra"
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay citas disponibles para este pedido en este momento."
"State/Province","Estado/Provincia"
"Status","Estado"
"Store Credit","Crédito de la tienda"
"Street Address","Dirección"
"Tax","Impuestos"
"Tax Amount","Monto del Impuesto"
"Telephone","Teléfono"
"Title","Titulo"
"To","a"
"To:","A:"
"Total Shipping","Total Despachado"
"Track Order","Rastrear Pedido"
"Type","Tipo"
"Unknown Status","Estado desconocido"
"View","Ver"
"View All","Ver todo"
"View Order","Ver pedido"
"Website","Sitio Web"
"Wishlist","Listado"
"Yes","Si"
"You have placed no orders.","No tiene pedidos"
"Zip/Postal Code","Zip/Código postal"
