" [deleted]"," [borrado]"
"(\t for tab)","(t for tab)"
"* Required Fields","* Campos Requeridos"
"-- Please Select --","-- Por favor Seleccione --"
"-- Please Select Billing Agreement--","-- Por favor Seleccione Acuerdo de Facturación--"
"-- Please Select a Category --","-- Por favor Seleccione una Categoría --"
"-- Please select --","-- Por favor Seleccione --"
"--Please Select--","--Por favor elegí--"
"1 Hour","1 hora"
"12 Hours","12 horas"
"2 Hours","2 horas"
"24 Hours","24 horas"
"6 Hours","6 horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fehler</h1><p>Seite nicht gefunden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Aviso</strong>: El Captcha es sensible al uso de mayúsculas y minúsculas."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"API Key","Clave API"
"Abandoned Carts","Carritos abandonados"
"About the calendar","Sobre el calendario"
"Account Created in:","Cuenta creada en:"
"Account Information","Información de la cuenta"
"Account Status","Estado de cuenta"
"Action","Acción"
"Actions","Acciones"
"Active","Activo"
"Add","Agregar"
"Add New","Agregar nuevo"
"Add New Block","Agregar nuevo bloque"
"Add New Image","Añadir nueva imagen"
"Add New Role","Añadir Nuevo Cargo"
"Add New Template","Agregar nueva plantilla"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Add New User","Añadir nuevo usuario"
"Add New Variable","Agregar nueva Variable"
"Add Products","Agregar Productos"
"Add URL Rewrite","Añadir Reescritura URL"
"Add URL Rewrite for a Category","Editar la URL para una categoría"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Add after","Agregar después de"
"Additional Cache Management","Gestión de memoria caché adicional"
"Admin","Administrador"
"All","Todos"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Toda la Cache"
"All Files","Todos los archivos"
"All Reviews","Todas las reseñas"
"All Store Views","Todas las vistas de tienda"
"All Websites","Todos los sitios web"
"All countries","Todos los países"
"All valid rates have been saved.","Todas las tarifas válidas han sido guardadas."
"Always (during development)","Siempre (durante el desarrollo)"
"Amounts","Montos"
"An error occurred while clearing the JavaScript/CSS cache.","Ocurrió un error al borrar la memoria caché de JavaScript/CSS."
"An error occurred while clearing the image cache.","Error al borrar la caché de imagen."
"An error occurred while deleting this role.","Ocurrió un error al eliminar esta función."
"An error occurred while saving account.","Ocurrió un error al guardar la cuenta."
"An error occurred while saving this role.","Error al guardar esta funcion."
"Any","Cualquiera"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"As low as:","Tan bajo como:"
"Assigned","Asignado"
"Attributes","Atributos"
"Authorize","Autorizar"
"Automatic (equalize price ranges)","Automático (igualar los rangos de precios)"
"Automatic (equalize product counts)","Automático (igualar el producto cuentas)"
"Back","Volver"
"Backup","Copia de seguridad"
"Backup Name","Nombre de la copia de seguridad"
"Backup options","Opciones de copia de seguridad"
"Backups","Copias de seguridad"
"Base currency","Moneda base"
"Bcc","CCO"
"Bestsellers","Más vendidos"
"Billing Address","Dirección de facturación"
"Billing Address: ","Dirección de facturación: "
"Billing Agreement","Acuerdo de pago"
"Billing Agreements","Acuerdos de pago"
"Block Information","Información de bloque"
"Blocks","Bloques"
"Both (without and with tax)","Ambos (con y sin impuestos)"
"Browse Files...","Buscar archivos..."
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"Cache Control","Control de caché"
"Cache Management","Gestión de caché"
"Cache Type","Cache-Art"
"Cancel","Cancelar"
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"Cannot add tracking number.","No se puede agregar el número de seguimiento."
"Cannot do shipment for the order separately from invoice.","No se puede realizar envíos para el pedido independientemente de la factura."
"Cannot do shipment for the order.","No se puede hacer el envío para el pedido."
"Cannot save shipment.","No se puede guardar el envío."
"Cannot send shipment information.","No puede enviar la información del envío."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"Card Verification Number","Verificación de la tarjeta de crédito"
"Catalog","Catálogo"
"Catalog Price Rules","Reglas de precio de catálogo"
"Catalog Rewrites","Reescribir el catálogo"
"Categories","Categorías"
"Category","Categoría"
"Category:","Categoría:"
"Checkbox","Casilla de verificación"
"Child Transactions","Transacciones hijas"
"Choose Store View:","Elija vista de tienda:"
"Clear","Limpiar"
"Close","Cerrar"
"Code","Código"
"Complete","Completo"
"Config form fieldset clone model required to be able to clone fields","Config forma de campos modelo clon necesario para ser capaz de clonar campos"
"Configuration","Configuración"
"Confirm New Password","Confirmar contraseña nueva"
"Confirmed email:","Correo electrónico confirmado:"
"Continue","Continuar"
"Convert to Plain Text","Convertir a texto sin formato"
"Cookie (unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupons","Cupones"
"Create","Crear"
"Create DB Backup","Crear copia de seguridad de la BD"
"Create New Attribute","Crear nuevo atributo"
"Created At","Creado el"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card Type","Tipo de la tarjeta de crédito"
"Credit Memo History","Historial de facturas rectificadas"
"Credit Memo Totals","Totales de factura rectificada"
"Credit Memos","Facturas rectificativas"
"Currency","Moneda"
"Current Configuration Scope:","Ámbito de la configuración actual:"
"Current Month","Mes actual"
"Custom","Personalizado"
"Custom Variables","Variables personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo de Clientes:"
"Customer Groups","Grupos de Clientes"
"Customer Name","Cliente nombre"
