"* Required Fields","* Campos Requeridos"
"ALL GROUPS","TODOS LOS GRUPOS"
"Account Dashboard","Mi Perfil"
"Account Information","Información de la cuenta"
"Account Sharing Options","Opciones de Cuenta para compartir"
"Action","Acción"
"Add New Address","Nueva dirección"
"Add New Customer","Agregar nuevo cliente"
"Add New Customer Group","Agregar nuevo grupo de clientes"
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Address Templates","Plantillas para direcciones"
"Addresses","Direcciones"
"Admin","Administrador"
"All","Todos"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Always optional.","Siempre opcional."
"Amount","Monto"
"Approved","Aprobado"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
"Are you sure?","¿Estás seguro?"
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Volver"
"Bad request.","Solicitud incorrecta."
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando una cuenta en nuestra tienda, podr&aacute; realizar sus pedidos online de manera &aacute;gil, guardar m&uacute;ltiples direcciones de entrega, ver y realizar un seguimiento de sus pedidos a trav&eacute;s de su cuenta y mucho m&aacute;s."
"Cancel","Cancelar"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Empresa"
"Config","Configuraci&oacute;"
"Configure","Configurar"
"Confirm New Password","Confirmar contraseña nueva"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Confirmed","Confirmado"
"Contact Information","Información de Contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Create New Customer Account","Crear New Customer Account"
"Create Order","Crear pedido"
"Create an Account","Crear una cuenta"
"Create customer","Crear un Cliente"
"Create customer address","Crear direcci&oacute;n de cliente"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Direcci&oacute;n del cliente"
"Customer Configuration","Configuración del cliente"
"Customer Group","Grupo del cliente"
"Customer Groups","Grupos de Clientes"
"Customer Information","Información del cliente"
"Customer Login","Inicio de sesi&oacute;n del Cliente"
"Customer Since","Cliente desde"
"Customer View","Vista de cliente"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Only","Clientes solamente"
"Customers Section","Sección de clientes"
"Date","Fecha"
"Date Added","Fecha creación"
"Date of Birth","Fecha de nacimiento"
"Day","Día"
"Days in Wishlist","Dias en la Lista de Deseos"
"Default Addresses","Direcciones (predeterminado)"
