"(Excl. Tax)","(Excl. Impuesto)"
"(Incl. Tax)","(Incl. impuesto)"
"* Required Fields","* Campos Requeridos"
"Add New Address","Nueva dirección"
"Add New Condition","Añadir nueva condición"
"Add to Cart","Agregar al Carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a lista que quieres"
"Address","Dirección"
"Address %s of %s","Direcci&oacute;n %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de añadir un artículo redirigir al carrito de compras"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Already registered?","Se encuentra registrado?"
"An error occurred in the process of payment","Ocurri&oacute; un error al procesar el pago"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Estás seguro que querés quitar este artículo del carrito de compras?"
"Back","Volver"
"Back to Billing Information","Volver a información de facturación"
"Back to Select Addresses","Volver a direcciones"
"Back to Shipping Information","Volver a información de envío"
"Back to Shopping Cart","Volver a Carrito de Compras"
"Based on your selection, you may be interested in the following items:","De acuerdo a los productos seleccionados, tal vez te interesen los siguientes:"
"Billing Address","Dirección de facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Informaci&oacute;n de Facturaci&oacute;n - %s"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar el cupón"
"Cannot process the item.","No se puede procesar el elemento."
"Card Verification Number Visual Reference","Número de verificación de tarjeta de referencia visual"
"Cart Subtotal:","Subtotal del Carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto del Checkbox"
"Checkout","Cobro"
"Checkout Conditions","Condiciones de pago"
"Checkout Options","Opciones de pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"Checkout as Guest","Finalizar Pedido como Visitante"
"Checkout as a Guest or Register","Finalizar Pedido como Visitante o Usuario Registrado"
"Checkout with Multiple Addresses","Finalizar Pedido con m&uacute;ltiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar carrito de compra"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Haga <a href=""%s"" onclick=""this.target='_blank'"" title=""Clic aqu&iacute; para imprimir una copia"">clic aqu&iacute;</a> para imprimir una copia de su confirmaci&oacute;n de orden."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de la condición"
"Configurable Product Image","Imagen de producto configurable"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Contenido altura"
"Content Height (css)","Contenido altura (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a la información de facturación"
"Continue to Review Your Order","Continuar a: Revisar su Pedido"
"Continue to Shipping Information","Continuar con la Informaci&oacute;n de env&iacute;"
"Country","País"
"Coupon code ""%s"" is not valid.","El c&oacute;digo de cup&oacute;n ""%s"" no es v&aacute;lido."
"Create Billing Address","Crear la dirección de facturación"
"Create Shipping Address","Crear la dirección de envío"
"Customer Address is not valid.","La direcci&oacute;n del Cliente no es v&aacute;lida."
"Customer Information","Información del cliente"
"Data saving problem","Problema de guardar los datos"
"Default Billing","Facturación predeterminada"
"Default Shipping","Envío predetermindado"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Deshabilitado"
"Discount Codes","C&oacute;digos de Descuento"
"Display Cart Summary","Mostrar resumen del carrito"
"Display Shopping Cart Sidebar","Visualizar Sidebar del Carrito"
"Display item quantities","Artikelmengen anzeigen"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Easy access to your order history and status","F&aacute;cil acceso a tu historial y estado de Pedidos"
"Edit","Editar"
"Edit Address","Editar dirección"
"Edit Billing Address","Modificar dirección de facturación"
"Edit Condition","Editar condición"
"Edit Items","Editar elementos"
"Edit Shipping Address","Modificar dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar carrito"
"Edit item","Editar artículo"
"Edit item parameters","Editar parámetros del artículo"
"Email Address","Correo Electrónico"
"Enable Onepage Checkout","Habilitar proceso de pago en una sola página"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enabled","Habilitado"
