"* Required Fields","* Campos Requeridos"
"-- Please Select --","-- Por favor Seleccione --"
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A name is required","Un Nombre es requerido"
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","a la mañana"
"Action","Acción"
"Actual Price","Precio actual"
"Add","Agregar"
"Add Attribute","Agregar Atributo"
"Add Design Change","Añadir cambio de diseño"
"Add Group","Añadir grupo"
"Add New","Agregar nuevo"
"Add New Attribute","Añadir nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Group","Nuevo grupo"
"Add New Images","Añadir nuevas imágenes"
"Add New Option","Nueva opción"
"Add New Row","Agregar nueva fila"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Add New Set","Agregar Nuevo Set"
"Add Product","Añadir artículo"
"Add Product To Websites","Añadir artículo a sitios web"
"Add Root Category","Añadir categoría raíz"
"Add Subcategory","Añadir subcategoría"
"Add Tax","Añadir impuestos"
"Add Tier","Agregar Promoci&oacute;n"
"Add to Cart","Agregar al Carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a lista que quieres"
"Additional Information","Informaci&oacute;n Adicional"
"All","Todos"
"All Product Types","Todos los Tipos de Producto"
"All Websites","Todos los sitios web"
"All products","Todos los artículos"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos de este set ser&aacute;n eliminados! Esta seguro que quiere eliminar este Set de Atributos?"
"Allow All Products per Page","Permitir todos los artículos por página"
"Allowed File Extensions","Extensiones de archivo permitidas"
"Allowed file extensions to upload","Extensiones de archivo permitidas para upload"
"Amount","Monto"
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Anclar título personalizado"
"Apply To","Aplicar A"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","�Est&aacute; seguro que desea eliminar todos los productos para Comparar?"
"Are you sure you would like to remove this item from the compare products?","�Est&aacute; seguro que desea eliminar este producto a comparar?"
"Are you sure?","¿Estás seguro?"
"As low as:","Tan bajo como:"
"Assign","Asignar"
"Assigned Products","Productos asignados"
"Associated Products","Artículos asociados"
"Attrib. Set Name","Nombre del set de Atributos"
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre del atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attribute group with the ""/name/"" name already exists","El grupo de atributos ""/name/"" ya existe"
"Attribute with the same code already exists","Ya existe un atributo con el mismo c&oacute;digo"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Los nombres de atributos pueden especificarse por tienda."
"Autogenerate","Generar autom&aacute;ticamente"
"Availability:","Disponibilidad:"
"Back","Volver"
"Backend Model","Administración del sitio modelo"
"Backorders","Pedidos pendientes"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Block after Info Column","Bloque después de la columna Info"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Browse By","Navegar por"
"Bundle Items","Elementos en paquete"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impuestos) cada uno"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada uno"
"Cache Lifetime (Seconds)","Caché ciclo de vida caché (segundos)"
"Can't create image.","No fue posible crear la im&aacute;gen."
"Cancel","Cancelar"
"Cart Item Attribute","Atributo de artículo del carrito de compras"
"Catalog","Catálogo"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Link","Enlace al catálgo de artículos"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Category","Categoría"
"Category Flat Data","Datos planos de categoría"
"Category Link Block Template","Modelo del bloque de enlaces de categorías"
"Category Link Inline Template","Modelo de enlaces en línea a categorías"
"Category Products","Artículos de la categoría"
"Category Top Navigation","Navegación superior en categoría"
"Category URL Suffix","Sufijo URL de categoría"
"Center","Centro"
"Change","Cambio"
"Change status","Cambiar estado"
"Check items to add to the cart or","Selecciona artículos a añadir al carrito o"
"Choose an Option...","Elegir una opción..."
"Clear All","Borrar todo"
"Clear Price","Eliminar precio"
"Click for price","Haga click para ver precio"
