"-- Please Select --","-- Por favor Seleccione --"
"Add Secret Key to URLs","Agregar clave secreta a las direcciones URL"
"Add Store Code to Urls","Agregar código de tienda a las direcciones URL"
"Admin","Administrador"
"Admin Base URL","Admin dirección URL básica"
"Admin User Emails","Correos electrónicos del usuario administrador"
"Advanced","Avanzado"
"Allow Countries","Países permitidos"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IP permitidas (separadas por comas)"
"Anchor Text for Next","Texto de ancla para página siguiente"
"Anchor Text for Previous","Texto de ancla para página anterior"
"Are you sure?","¿Estás seguro?"
"Auto-redirect to Base URL","Redireccionar automáticamente a la dirección URL básica"
"Back","Volver"
"Backup Options","Opciones de copia de seguridad"
"Base Link URL","Dirección URL básica de enlace"
"Base URL","URL base"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"CSS Settings","Configuración CSS"
"Cache Storage Management","Administración de almacenamiento de memoria caché"
"Cancel","Cancelar"
"Card type does not match credit card number.","El tipo de tarjeta no corresponde con el número de la tarjeta de crédito."
"Code","Código"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
"Copyright","Derechos de autor"
"Country","País"
"Create Store","Crear Tienda"
"Create Store View","Crear Vista de Tienda"
"Create Website","Crear sitio web"
"Credit card number does not match credit card type.","Número de la tarjeta de crédito no corresponde al tipo de la tarjeta."
"Custom Admin Path","Ruta de administración personalizada"
"Custom Admin URL","URL de administración personalizada"
"Custom Design","Diseño personalizado"
"Custom Email 1","Correo electrónico personalizado 1"
"Custom Email 2","Correo electrónico personalizado 2"
"Custom Variables","Variables personalizadas"
"Customer Support","Soporte al cliente"
"Dashboard","Panel de control"
"Date From","Fecha desde"
"Date To","Fecha hasta"
"Debug","Depurar"
"Default","Por defecto"
"Default Country","País (predeterminado)"
"Default No-route URL","Dirección URL de ruta No predeterminada"
"Default Pages","Páginas (predeterminado)"
