"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"* Required Fields","* Campos Requeridos"
"Address","Dirección"
"Address Information","Información de dirección"
"Already registered?","Se encuentra registrado?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando una cuenta en nuestra tienda, podr&aacute; realizar sus pedidos online de manera &aacute;gil, guardar m&uacute;ltiples direcciones de entrega, ver y realizar un seguimiento de sus pedidos a trav&eacute;s de su cuenta y mucho m&aacute;s."
"Checkout as Guest","Finalizar Pedido como Visitante"
"Checkout as a Guest or Register","Finalizar Pedido como Visitante o Usuario Registrado"
"City","Ciudad"
"Close","Cerrar"
"Company","Empresa"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Easy access to your order history and status","F&aacute;cil acceso a tu historial y estado de Pedidos"
"Email Address","Correo Electrónico"
"Enable ""Remember Me""","Activar ""Recordarme"""
"Enable Persistence","Activar persistencia"
"Fast and easy check out","R&aacute;pido y f&aacute;cil CheckOut"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Forgot your password?","¿Olvidaste tu contraseña?"
"General Options","Opciones generales"
"If you have an account with us, please log in.","Si posee una cuenta, por favor inicie sesi&oacute;n."
"Loading next step...","Cargando pr&oacute;ximo paso..."
"Login","Entrar"
"Login Information","Informaci&oacute;n de sesi&oacute;n"
"New Customers","Nuevos Clientes"
"Password","Contraseña"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Persistent Shopping Cart","Carrito de compras persistente"
"Personal Information","Información Personal"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Registered Customers","Clientes registrados"
"Remember Me","Recordarme"
"Save in address book","Guardar en libreta de direcciones"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Submit","Enviar"
"VAT Number","Número de IVA"
"Welcome, %s!","Bienvenido/a, %s!"
"What's this?","¿Qué es esto?"
"Zip/Postal Code","Código Postal"
