"Add Option","Agregar opción"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Attribute Properties","Propiedades de atributo"
"Attribute object is undefined","Objeto de campo indefinido"
"Attribute with the same code","Atributo con el mismo código"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Date","Fecha"
"Decimal Number","Número decimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","El orden predeterminado del listado de artículos no existe en los listados de artículos disponibles."
"Default Value","Valor predeterminado"
"Delete","Eliminar"
"Dropdown","Lista desplegable"
"Email","Correo electrónico"
"Entity is not initialized","La entidad no está inicializada"
"Entity object is undefined","Objeto de entidad indefinido"
"Form Element with the same attribute","Elemento de formulario con el mismo atributo"
"Form Fieldset with the same code","Conjunto de campos de formulario con el mismo código"
"Form Type with the same code","Tipo de formulario con el mismo código"
"Input Validation for Store Owner","Validación de entrada para el dueño de la tienda"
"Integer Number","Número entero"
"Invalid alias, already exists in joint attributes","Alias inválido, ya existe en los atributos comunes"
"Invalid date","Fecha inválida"
"Invalid joint fields","Campos combinados no válidos"
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo combinado o una expresión de atributos con este alias"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) o números (0-9)"
"Multiple Select","Selección múltiple"
"No","No 	"
"None","Ninguno"
"Required","Obligatorio"
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (no se comparte con otros artículos)"
"Values Required","Valor obligatorio"
"Yes","Si"
"Yes/No","Sí/No"
